,Unnamed: 0,Unnamed: 0.1,_id,ltable_ID,rtable_ID,ltable_3.5mm jack,ltable_Battery,ltable_Clock Speed,ltable_Card slot,ltable_GPS Support,ltable_GPU,ltable_Internal Storage,ltable_NFC,ltable_Name,ltable_OS,ltable_Price,ltable_Primary Camera,ltable_Resolution,ltable_SIM,ltable_Secondary Camera,ltable_Sensors,ltable_Weight,rtable_3.5mm jack,rtable_Battery,rtable_GPS Support,rtable_GPU,rtable_Internal Storage,rtable_Card slot,rtable_NFC,rtable_Name,rtable_OS,rtable_Price,rtable_Primary Camera,rtable_Clock Speed,rtable_SIM,rtable_Secondary Camera,rtable_Sensors,rtable_Weight,rtable_Resolution,Class
10,10,121,121,3194,53,Yes,3300.0,Octa-core 2.2 GHz Cortex-A53,"microSD, up to 256 GB (dedicated slot)",Yes,Adreno 506,"16 GB, 2 GB RAM",,Samsung Galaxy J7 V,Android 7.0.1 (Nougat),About 240 USD,"8 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Nano-SIM,5 MP,"Accelerometer, gyro, proximity, compass",167.3 g (5.89 oz),Yes,3000.0,Yes,,16 GB,Dedicated Slot,,"Samsung Galaxy J7 Nxt (Black, 16 GB)Â Â (2 GB RAM)",Android Nougat 7,"‚¹9,990",13MP,1.6 GHz,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g,1280 x 720 Pixels,0
11,11,131,131,2680,60,Yes,4000.0,Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB",Yes,Mali-400MP2,"16 GB, 2 GB RAM",,Micromax Canvas Juice 3+ Q394,Android 5.0 (Lollipop),,"8 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Dual SIM (Micro-SIM, dual stand-by)",5 MP,"Accelerometer, gyro, proximity, compass",152 g (5.36 oz),,4000.0,,,8 GB,,,"Micromax JUICE 3 (COSMIC GREY, 8 GB)Â Â (2 GB RAM)",Android Lollipop V5.1,"‚¹7,999",8MP,1.3 GHz,,,,,1280 x 720 Pixels,1
12,12,132,132,1474,60,Yes,4000.0,Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB",Yes,Mali-400MP2,"8 GB, 2 GB RAM",,Micromax Canvas Juice 3 Q392,Android 5.1 (Lollipop),,"8 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Dual SIM,2 MP,"Accelerometer, proximity",150 g (5.29 oz),,4000.0,,,8 GB,,,"Micromax JUICE 3 (COSMIC GREY, 8 GB)Â Â (2 GB RAM)",Android Lollipop V5.1,"‚¹7,999",8MP,1.3 GHz,,,,,1280 x 720 Pixels,1
13,13,136,136,462,77,Yes,2000.0,Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB",Yes,Mali-400MP2,"8 GB, 2 GB RAM",,Micromax Canvas Amaze Q395,Android 5.0 (Lollipop),,"13 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Dual SIM (Micro-SIM, dual stand-by)",5 MP,"Accelerometer, gyro, proximity, compass",-,,2000.0,,,8 GB,,,"Micromax Canvas Amaze (Black, 8 GB)Â Â (2 GB RAM)",Android Lollipop 5.1,"‚¹6,990",13MP,1.3 GHz,,,,,1280 x 720 Pixels,1
14,14,138,138,2607,77,Yes,2230.0,Quad-core 1.2 GHz Cortex-A53,"microSD, up to 32 GB (dedicated slot)",Yes,Adreno 306,"8 GB, 1 GB RAM",,Micromax Canvas Amaze 4G Q491,Android 5.1.1 (Lollipop),,"8 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Dual SIM (Micro-SIM, dual stand-by)",2 MP,"Accelerometer, gyro, proximity, compass",-,,2000.0,,,8 GB,,,"Micromax Canvas Amaze (Black, 8 GB)Â Â (2 GB RAM)",Android Lollipop 5.1,"‚¹6,990",13MP,1.3 GHz,,,,,1280 x 720 Pixels,0
15,15,145,145,1001,77,Yes,2400.0,Octa-core 1.4 GHz Cortex-A7,"microSD, up to 32 GB",Yes,Mali-450MP4,"16 GB, 2 GB RAM",,Micromax Canvas Nitro 2 E311,Android 4.4.2 (KitKat),About 150 EUR,"13 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Dual SIM,5 MP,"Accelerometer, proximity",143 g (5.04 oz),,2000.0,,,8 GB,,,"Micromax Canvas Amaze (Black, 8 GB)Â Â (2 GB RAM)",Android Lollipop 5.1,"‚¹6,990",13MP,1.3 GHz,,,,,1280 x 720 Pixels,0
16,16,146,146,3070,77,Yes,2260.0,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"microSD, up to 32 GB (uses SIM 2 slot)",Yes,Adreno 405,"16 GB, 2 GB RAM",,Micromax Canvas Knight 2 E471,Android 5.0 (Lollipop),About 230 EUR,"13 MP, autofocus, dual-LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)",5 MP,"Accelerometer, proximity",-,,2000.0,,,8 GB,,,"Micromax Canvas Amaze (Black, 8 GB)Â Â (2 GB RAM)",Android Lollipop 5.1,"‚¹6,990",13MP,1.3 GHz,,,,,1280 x 720 Pixels,0
17,17,147,147,1475,77,Yes,2000.0,Quad-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB",Yes,Adreno 302,"4 GB, 1 GB RAM",,Micromax A121 Canvas Elanza 2,Android 4.3 (Jelly Bean),About 120 EUR,"8 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Dual SIM,2 MP,"Accelerometer, proximity",159 g (5.61 oz),,2000.0,,,8 GB,,,"Micromax Canvas Amaze (Black, 8 GB)Â Â (2 GB RAM)",Android Lollipop 5.1,"‚¹6,990",13MP,1.3 GHz,,,,,1280 x 720 Pixels,0
18,18,163,163,2725,81,Yes,2600.0,Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53),No,Yes,Mali-T760MP8,"32/64/128 GB, 3 GB RAM",Yes,Samsung Galaxy S6 edge,"Android 5.0.2 (Lollipop), upgradable to 7.0 (Nougat)",About 420 EUR,"16 MP (f/1.9, 28mm, 1/2.6"", 1.12 Ã‚Âµm), OIS, autofocus, LED flash, check quality","1440 x 2560 pixels, 16:9 ratio (~577 ppi density)",Nano-SIM,"5 MP (f/1.9, 22mm), 1440p@30fps, dual video call, Auto HDR","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",132 g (4.66 oz),Yes,3600.0,,,32 GB,,Yes,"Samsung Galaxy S7 Edge (Black Onyx, 32 GB)Â Â (4 GB RAM)",Android Marshmallow 6,"‚¹35,900",12MP,2.3 GHz,Nano SIM,5MP,"Accelerometer, Barometer, Fingerprint Sensor, Gyro Sensor, Geo-magnetic Sensor, Hall Sensor, HR Sensor, Proximity Sensor, RGB Light Sensor",157 g,2560 X 1440 Pixels,0
19,19,181,181,920,123,Yes,1300.0,Quad-core 1.3 GHz,"microSD, up to 32 GB",Yes,,"4 GB, 512 MB RAM",,Micromax Bharat 2 Ultra,Android 6.0 (Marshmallow),About 2900 INR,"2 MP, LED flash","480 x 800 pixels, 5:3 ratio (~233 ppi density)","Dual SIM (Micro-SIM, dual stand-by)",VGA,Accelerometer,120 g (4.23 oz),,1300.0,,,4 GB,Dedicated Slot,,"Micromax Bharat 2 (Grey, 4 GB)Â Â (512 MB RAM)",Android Marshmallow 6,"‚¹3,099",2MP,1.3 GHz,,0.3MP,,,480 x 800 Pixels,1
20,20,183,183,1152,123,Yes,1600.0,,"microSD, up to 32 GB",Yes,,"8 GB, 1 GB RAM",,Micromax Bharat 2+,Android 7.0 (Nougat),About 50 EUR,"5 MP, LED flash","480 x 800 pixels, 5:3 ratio (~233 ppi density)","Dual SIM (Micro-SIM, dual stand-by)",2 MP,Accelerometer,120 g (4.23 oz),,1300.0,,,4 GB,Dedicated Slot,,"Micromax Bharat 2 (Grey, 4 GB)Â Â (512 MB RAM)",Android Marshmallow 6,"‚¹3,099",2MP,1.3 GHz,,0.3MP,,,480 x 800 Pixels,0
21,21,196,196,905,125,Yes,3300.0,Octa-core (4x1.6 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)Octa-core 1.6 GHz Cortex-A53,"microSD, up to 256 GB (dedicated slot)",Yes,Adreno 405Mali-T830 MP1,"16 GB, 2 GB RAM",Yes,Samsung Galaxy J7 (2016),"Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat)",About 230 EUR,"13 MP (f/1.9, 28mm), autofocus, LED flash, check quality","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","5 MP, f/1.9, LED flash","Accelerometer, proximity",170 g (6.00 oz),Yes,3000.0,Yes,,32 GB,Dedicated Slot,,"Samsung Galaxy J7 Nxt (Gold, 32 GB)Â Â (3 GB RAM)",Android Nougat 7,"‚¹11,900",13MP,1.6 GHz,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g,1280 x 720 Pixels,0
22,22,202,202,3194,125,Yes,3300.0,Octa-core 2.2 GHz Cortex-A53,"microSD, up to 256 GB (dedicated slot)",Yes,Adreno 506,"16 GB, 2 GB RAM",,Samsung Galaxy J7 V,Android 7.0.1 (Nougat),About 240 USD,"8 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Nano-SIM,5 MP,"Accelerometer, gyro, proximity, compass",167.3 g (5.89 oz),Yes,3000.0,Yes,,32 GB,Dedicated Slot,,"Samsung Galaxy J7 Nxt (Gold, 32 GB)Â Â (3 GB RAM)",Android Nougat 7,"‚¹11,900",13MP,1.6 GHz,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g,1280 x 720 Pixels,0
23,23,214,214,93,133,Yes,3000.0,Octa-core 2.0 GHz Cortex-A53,"microSD, up to 256 GB",Yes,Adreno 506,"64 GB, 4 GB RAM or 32 GB, 3 GB RAM",Yes,Motorola Moto G5S Plus,"Android 7.1 (Nougat), planned upgrade to Android 8.0 (Oreo)",About 210 EUR,"Dual: 13 MP, f/2.0, autofocus, dual-LED dual-tone flash, check quality","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","8 MP, f/2.0, LED flash","Fingerprint (front-mounted), accelerometer, gyro, proximity",168 g (5.93 oz),,3000.0,,650 MHz Adreno 506,64 GB,Hybrid Slot,,"Moto G5s Plus (Lunar Grey, 64 GB)Â Â (4 GB RAM)",Android Nougat 7.1,"‚¹14,380",13MP + 13MP,2 GHz,Dual Nano SIM,8MP,"Fingerprint Reader, Accelerometer, Gyroscope, Ambient Light, Proximity",,1920 x 1080 Pixels,1
24,24,216,216,2390,134,Yes,3300.0,Octa-core 2.0 GHz Cortex-A53,"microSD, up to 256 GB (uses SIM 2 slot)",Yes,Adreno 506,"32/64 GB, 4 GB RAM",Yes,Samsung Galaxy C7,"Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat)",About 250 EUR,"16 MP, f/1.9, autofocus, dual-LED dual-tone flash, check quality","1080 x 1920 pixels, 16:9 ratio (~386 ppi density)","Hybrid Dual SIM (Nano-SIM, dual stand-by)","8 MP, f/1.9","Fingerprint (front-mounted), accelerometer, proximity, compass",169 g (5.96 oz),Yes,3300.0,Yes,,64 GB,Hybrid Slot,,"Samsung Galaxy C7 Pro (Navy Blue, 64 GB)Â Â (4 GB RAM)",Android Marshmallow 6.0,"‚¹24,900",16MP,2.2 GHz,,16MP,,,1920 x 1080 Pixels,0
25,25,246,246,3266,134,Yes,3000.0,Octa-core (4x2.4 GHz & 4x1.7 GHz),"microSD, up to 256 GB (uses SIM 2 slot)",Yes,,"32 GB, 4 GB RAM",,Samsung Galaxy C7 (2017),Android 7.1 (Nougat),About 400 EUR,"Dual: 13 MP (f/1.7, AF) + 5 MP (f/1.9, no AF), autofocus, LED flash","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Hybrid Dual SIM (Nano-SIM, dual stand-by)","16 MP, f/1.9","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",180 g (6.35 oz),Yes,3300.0,Yes,,64 GB,Hybrid Slot,,"Samsung Galaxy C7 Pro (Navy Blue, 64 GB)Â Â (4 GB RAM)",Android Marshmallow 6.0,"‚¹24,900",16MP,2.2 GHz,,16MP,,,1920 x 1080 Pixels,0
26,26,307,307,1625,162,Yes,3000.0,Octa-core (4x2.7 GHz Mongoose M3 & 4x1.8 GHz Cortex-A55) - EMEAOcta-core (4x2.7 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver) - USA & China,"microSD, up to 400 GB (uses SIM 2 slot) - dual SIM model only",Yes,Mali-G72 MP18 - EMEAAdreno 630 - USA & China,"64/128/256 GB, 4 GB RAM",Yes,Samsung Galaxy S9,Android 8.0 (Oreo),About 840 EUR,"12 MP (f/1.5-2.4, 26mm, 1/2.5"", 1.4 Ã‚Âµm, Dual Pixel PDAF), phase detection autofocus, OIS, LED flash, check quality","1440 x 2960 pixels, 18.5:9 ratio (~570 ppi density)","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","8 MP (f/1.7, 25mm, 1/3.6"", 1.22 Ã‚Âµm), autofocus, 1440p@30fps, dual video call, Auto HDR","Iris scanner, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",163 g (5.75 oz),Yes,3000.0,,ARM Heimdall MP18,64 GB,Hybrid Slot,Yes,"Samsung Galaxy S9 (Midnight Black, 64 GB)Â Â (4 GB RAM)",Android Oreo 8,"‚¹57,900",12MP,2.7 GHz,Nano SIM,8MP,,163 g,2960 x 1440 Pixels,1
27,27,328,328,2885,171,Yes,4000.0,Quad-core 1.1 GHz Cortex-A7,"microSD, up to 32 GB",Yes,Adreno 304,"8 GB, 1 GB RAM",,Micromax Vdeo 4,Android 6.0 (Marshmallow),About 90 EUR,"8 MP, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Dual SIM (Micro-SIM),2 MP,"Accelerometer, proximity",-,Yes,4000.0,Yes,A304 at 400 MHz,8 GB,Dedicated Slot,,"Micromax Vdeo 4 (Champagne, 8 GB)Â Â (1 GB RAM)",Android Marshmallow 6,"‚¹6,248",8MP,1.1 GHz,Micro SIM and Micro SIM,2MP,"Gravity Sensors, Proximity Sensor, Light Sensor, Accelerometer",,1280 x 720 pixels,1
28,28,329,329,2072,179,Yes,2200.0,Octa-core 1.3 GHz Cortex-A53,"microSD, up to 256 GB (dedicated slot)",Yes,Mali-T720MP3,"32 GB, 3 GB RAM",,HTC Desire 628,Android 5.1 (Lollipop),About 200 EUR,"13 MP (f/2.0, 28mm), autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Dual SIM (Nano-SIM, dual stand-by)","5 MP (f/2.4, 28mm), 1080p","Accelerometer, proximity",142 g (5.01 oz),,2200.0,Yes,,32 GB,Dedicated Slot,,"HTC Desire 628 (Cobalt White, 32 GB)Â Â (3 GB RAM)",Android Lollipop 5.1,"‚¹9,000",13MP,1.3 GHz,Nano-SIM,5MP,,142 g,1280 x 720 Pixels,1
29,29,353,353,2449,184,Yes,3100.0,Hexa-core (4x1.3 GHz Cortex A7 & 2x1.7 GHz Cortex A15),"microSD, up to 64 GB (dedicated slot)",Yes,Mali-T624 MP4,"16 GB (11 GB user available), 2 GB RAM",Yes,Samsung Galaxy Note 3 Neo,"Android 4.3 (Jelly Bean), 4.4.2 (KitKat), upgradable to 5.1.1 (Lollipop)",About 320 EUR,"8 MP (f/2.6, 31mm), autofocus, LED flash, check quality","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Micro-SIM,"2 MP (f/2.4, 27mm), 1080p","Accelerometer, gyro, proximity, compass",162.5 g (5.71 oz),Yes,3000.0,Yes,,32 GB,Dedicated Slot,,"Samsung Galaxy J7 Nxt (Black, 32 GB)Â Â (3 GB RAM)",Android Nougat 7,"‚¹11,900",13MP,1.6 GHz,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g,1280 x 720 Pixels,0
30,30,365,365,3194,184,Yes,3300.0,Octa-core 2.2 GHz Cortex-A53,"microSD, up to 256 GB (dedicated slot)",Yes,Adreno 506,"16 GB, 2 GB RAM",,Samsung Galaxy J7 V,Android 7.0.1 (Nougat),About 240 USD,"8 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Nano-SIM,5 MP,"Accelerometer, gyro, proximity, compass",167.3 g (5.89 oz),Yes,3000.0,Yes,,32 GB,Dedicated Slot,,"Samsung Galaxy J7 Nxt (Black, 32 GB)Â Â (3 GB RAM)",Android Nougat 7,"‚¹11,900",13MP,1.6 GHz,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g,1280 x 720 Pixels,0
31,31,379,379,3025,205,Yes,1300.0,Quad-core 1.1 GHz,"microSD, up to 32 GB",Yes,,"4 GB, 512 MB RAM",,Micromax Bharat 2 Q402,Android 6.0 (Marshmallow),About 50 EUR,"2 MP, LED flash","480 x 800 pixels, 5:3 ratio (~233 ppi density)","Dual SIM (Micro-SIM, dual stand-by)",VGA,Accelerometer,120 g (4.23 oz),Yes,1300.0,Yes,Mali-400 512 MHz,4 GB,Dedicated Slot,,"Micromax Bharat 2 Ultra (Black, 4 GB)Â Â (512 MB RAM)",Android Marshmallow 6.0,"‚¹2,890",2MP,1.5 GHz,Micro SIM and Normal SIM,0.3MP,Gravity Sensors,120 g,480 x 800 Pixels,1
32,32,411,411,2121,238,Yes,2000.0,Quad-core 1.6 GHz,"microSD, up to 64 GB (dedicated slot)",Yes,,"8 GB (2.8 GB user available), 2 GB RAM",Yes,Samsung Galaxy Camera 2 GC200,Android 4.3 (Jelly Bean),About 330 EUR,"16.3 MP (1/2.3""), autofocus, 21x optical zoom, OIS, pop-up Xenon flash, AF light","720 x 1280 pixels, 16:9 ratio (~306 ppi density)",No,No,"Accelerometer, gyro, compass",283 g (9.98 oz),Yes,3000.0,Yes,,16 GB,Dedicated Slot,,"Samsung Galaxy J7 Nxt (Gold, 16 GB)Â Â (2 GB RAM)",Android Nougat 7.0,"‚¹9,990",13MP,1.6 GHz,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g,1280 x 720 Pixels,0
