All-Words,end,filename,n-gram,start
"government"".",50,./markedupfiles/003.txt,1,50
<n>Ms,51,./markedupfiles/003.txt,1,51
Hewitt</n>,52,./markedupfiles/003.txt,1,52
was,53,./markedupfiles/003.txt,1,53
speaking,54,./markedupfiles/003.txt,1,54
at,55,./markedupfiles/003.txt,1,55
a,56,./markedupfiles/003.txt,1,56
gender,57,./markedupfiles/003.txt,1,57
and,58,./markedupfiles/003.txt,1,58
productivity,59,./markedupfiles/003.txt,1,59
seminar,60,./markedupfiles/003.txt,1,60
organised,61,./markedupfiles/003.txt,1,61
by,62,./markedupfiles/003.txt,1,62
the,63,./markedupfiles/003.txt,1,63
Equal,64,./markedupfiles/003.txt,1,64
Opportunities,65,./markedupfiles/003.txt,1,65
Commission,66,./markedupfiles/003.txt,1,66
(EOC).,67,./markedupfiles/003.txt,1,67
Mothers,68,./markedupfiles/003.txt,1,68
can,69,./markedupfiles/003.txt,1,69
currently,70,./markedupfiles/003.txt,1,70
take,71,./markedupfiles/003.txt,1,71
up,72,./markedupfiles/003.txt,1,72
to,73,./markedupfiles/003.txt,1,73
six,74,./markedupfiles/003.txt,1,74
months',75,./markedupfiles/003.txt,1,75
paid,76,./markedupfiles/003.txt,1,76
leave,77,./markedupfiles/003.txt,1,77
-,78,./markedupfiles/003.txt,1,78
and,79,./markedupfiles/003.txt,1,79
six,80,./markedupfiles/003.txt,1,80
unpaid.,81,./markedupfiles/003.txt,1,81
<n>Ms,82,./markedupfiles/003.txt,1,82
Hewitt</n>,83,./markedupfiles/003.txt,1,83
told,84,./markedupfiles/003.txt,1,84
the,85,./markedupfiles/003.txt,1,85
seminar:,86,./markedupfiles/003.txt,1,86
"""Clearly",87,./markedupfiles/003.txt,1,87
one,88,./markedupfiles/003.txt,1,88
of,89,./markedupfiles/003.txt,1,89
the,90,./markedupfiles/003.txt,1,90
things,91,./markedupfiles/003.txt,1,91
we,92,./markedupfiles/003.txt,1,92
need,93,./markedupfiles/003.txt,1,93
to,94,./markedupfiles/003.txt,1,94
do,95,./markedupfiles/003.txt,1,95
in,96,./markedupfiles/003.txt,1,96
the,97,./markedupfiles/003.txt,1,97
future,98,./markedupfiles/003.txt,1,98
is,99,./markedupfiles/003.txt,1,99
to,100,./markedupfiles/003.txt,1,100
extend,101,./markedupfiles/003.txt,1,101
the,102,./markedupfiles/003.txt,1,102
period,103,./markedupfiles/003.txt,1,103
of,104,./markedupfiles/003.txt,1,104
payment,105,./markedupfiles/003.txt,1,105
for,106,./markedupfiles/003.txt,1,106
maternity,107,./markedupfiles/003.txt,1,107
leave,108,./markedupfiles/003.txt,1,108
beyond,109,./markedupfiles/003.txt,1,109
the,110,./markedupfiles/003.txt,1,110
first,111,./markedupfiles/003.txt,1,111
six,112,./markedupfiles/003.txt,1,112
months,113,./markedupfiles/003.txt,1,113
into,114,./markedupfiles/003.txt,1,114
the,115,./markedupfiles/003.txt,1,115
second,116,./markedupfiles/003.txt,1,116
six,117,./markedupfiles/003.txt,1,117
months.,118,./markedupfiles/003.txt,1,118
"""We",119,./markedupfiles/003.txt,1,119
are,120,./markedupfiles/003.txt,1,120
looking,121,./markedupfiles/003.txt,1,121
at,122,./markedupfiles/003.txt,1,122
how,123,./markedupfiles/003.txt,1,123
quickly,124,./markedupfiles/003.txt,1,124
we,125,./markedupfiles/003.txt,1,125
can,126,./markedupfiles/003.txt,1,126
do,127,./markedupfiles/003.txt,1,127
that,128,./markedupfiles/003.txt,1,128
because,129,./markedupfiles/003.txt,1,129
obviously,130,./markedupfiles/003.txt,1,130
there,131,./markedupfiles/003.txt,1,131
are,132,./markedupfiles/003.txt,1,132
cost,133,./markedupfiles/003.txt,1,133
implications,134,./markedupfiles/003.txt,1,134
because,135,./markedupfiles/003.txt,1,135
the,136,./markedupfiles/003.txt,1,136
taxpayer,137,./markedupfiles/003.txt,1,137
reimburses,138,./markedupfiles/003.txt,1,138
the,139,./markedupfiles/003.txt,1,139
employers,140,./markedupfiles/003.txt,1,140
for,141,./markedupfiles/003.txt,1,141
the,142,./markedupfiles/003.txt,1,142
cost,143,./markedupfiles/003.txt,1,143
of,144,./markedupfiles/003.txt,1,144
"that.""",145,./markedupfiles/003.txt,1,145
<n>Ms,146,./markedupfiles/003.txt,1,146
Hewitt</n>,147,./markedupfiles/003.txt,1,147
also,148,./markedupfiles/003.txt,1,148
announced,149,./markedupfiles/003.txt,1,149
a,150,./markedupfiles/003.txt,1,150
new,151,./markedupfiles/003.txt,1,151
drive,152,./markedupfiles/003.txt,1,152
to,153,./markedupfiles/003.txt,1,153
help,154,./markedupfiles/003.txt,1,154
women,155,./markedupfiles/003.txt,1,155
who,156,./markedupfiles/003.txt,1,156
want,157,./markedupfiles/003.txt,1,157
to,158,./markedupfiles/003.txt,1,158
work,159,./markedupfiles/003.txt,1,159
in,160,./markedupfiles/003.txt,1,160
male,161,./markedupfiles/003.txt,1,161
dominated,162,./markedupfiles/003.txt,1,162
sectors,163,./markedupfiles/003.txt,1,163
saying,164,./markedupfiles/003.txt,1,164
sexism,165,./markedupfiles/003.txt,1,165
at,166,./markedupfiles/003.txt,1,166
work,167,./markedupfiles/003.txt,1,167
was,168,./markedupfiles/003.txt,1,168
still,169,./markedupfiles/003.txt,1,169
preventing,170,./markedupfiles/003.txt,1,170
women,171,./markedupfiles/003.txt,1,171
reaching,172,./markedupfiles/003.txt,1,172
their,173,./markedupfiles/003.txt,1,173
full,174,./markedupfiles/003.txt,1,174
potential.,175,./markedupfiles/003.txt,1,175
Plans,176,./markedupfiles/003.txt,1,176
include,177,./markedupfiles/003.txt,1,177
funding,178,./markedupfiles/003.txt,1,178
for,179,./markedupfiles/003.txt,1,179
universities,180,./markedupfiles/003.txt,1,180
to,181,./markedupfiles/003.txt,1,181
help,182,./markedupfiles/003.txt,1,182
female,183,./markedupfiles/003.txt,1,183
science,184,./markedupfiles/003.txt,1,184
and,185,./markedupfiles/003.txt,1,185
engineering,186,./markedupfiles/003.txt,1,186
graduates,187,./markedupfiles/003.txt,1,187
find,188,./markedupfiles/003.txt,1,188
jobs,189,./markedupfiles/003.txt,1,189
and,190,./markedupfiles/003.txt,1,190
"""taster",191,./markedupfiles/003.txt,1,191
"courses""",192,./markedupfiles/003.txt,1,192
for,193,./markedupfiles/003.txt,1,193
men,194,./markedupfiles/003.txt,1,194
and,195,./markedupfiles/003.txt,1,195
women,196,./markedupfiles/003.txt,1,196
in,197,./markedupfiles/003.txt,1,197
non-traditional,198,./markedupfiles/003.txt,1,198
jobs.,199,./markedupfiles/003.txt,1,199
Women,200,./markedupfiles/003.txt,1,200
in,201,./markedupfiles/003.txt,1,201
full-time,202,./markedupfiles/003.txt,1,202
work,203,./markedupfiles/003.txt,1,203
earn,204,./markedupfiles/003.txt,1,204
19%,205,./markedupfiles/003.txt,1,205
less,206,./markedupfiles/003.txt,1,206
than,207,./markedupfiles/003.txt,1,207
men,208,./markedupfiles/003.txt,1,208
according,209,./markedupfiles/003.txt,1,209
to,210,./markedupfiles/003.txt,1,210
the,211,./markedupfiles/003.txt,1,211
Equal,212,./markedupfiles/003.txt,1,212
Opportunities,213,./markedupfiles/003.txt,1,213
Commission,214,./markedupfiles/003.txt,1,214
(EOC).,215,./markedupfiles/003.txt,1,215
The,216,./markedupfiles/003.txt,1,216
minister,217,./markedupfiles/003.txt,1,217
told,218,./markedupfiles/003.txt,1,218
delegates,219,./markedupfiles/003.txt,1,219
that,220,./markedupfiles/003.txt,1,220
getting,221,./markedupfiles/003.txt,1,221
rid,222,./markedupfiles/003.txt,1,222
of,223,./markedupfiles/003.txt,1,223
"""career",224,./markedupfiles/003.txt,1,224
"sexism""",225,./markedupfiles/003.txt,1,225
was,226,./markedupfiles/003.txt,1,226
vital,227,./markedupfiles/003.txt,1,227
to,228,./markedupfiles/003.txt,1,228
closing,229,./markedupfiles/003.txt,1,229
the,230,./markedupfiles/003.txt,1,230
gender,231,./markedupfiles/003.txt,1,231
pay,232,./markedupfiles/003.txt,1,232
gap.,233,./markedupfiles/003.txt,1,233
"""Career",234,./markedupfiles/003.txt,1,234
sexism,235,./markedupfiles/003.txt,1,235
limits,236,./markedupfiles/003.txt,1,236
opportunities,237,./markedupfiles/003.txt,1,237
for,238,./markedupfiles/003.txt,1,238
women,239,./markedupfiles/003.txt,1,239
of,240,./markedupfiles/003.txt,1,240
all,241,./markedupfiles/003.txt,1,241
ages,242,./markedupfiles/003.txt,1,242
and,243,./markedupfiles/003.txt,1,243
prevents,244,./markedupfiles/003.txt,1,244
them,245,./markedupfiles/003.txt,1,245
from,246,./markedupfiles/003.txt,1,246
achieving,247,./markedupfiles/003.txt,1,247
their,248,./markedupfiles/003.txt,1,248
full,249,./markedupfiles/003.txt,1,249
potential.,250,./markedupfiles/003.txt,1,250
"""It",251,./markedupfiles/003.txt,1,251
is,252,./markedupfiles/003.txt,1,252
simply,253,./markedupfiles/003.txt,1,253
wrong,254,./markedupfiles/003.txt,1,254
to,255,./markedupfiles/003.txt,1,255
assume,256,./markedupfiles/003.txt,1,256
someone,257,./markedupfiles/003.txt,1,257
cannot,258,./markedupfiles/003.txt,1,258
do,259,./markedupfiles/003.txt,1,259
a,260,./markedupfiles/003.txt,1,260
job,261,./markedupfiles/003.txt,1,261
on,262,./markedupfiles/003.txt,1,262
the,263,./markedupfiles/003.txt,1,263
grounds,264,./markedupfiles/003.txt,1,264
of,265,./markedupfiles/003.txt,1,265
their,266,./markedupfiles/003.txt,1,266
"sex,""",267,./markedupfiles/003.txt,1,267
she,268,./markedupfiles/003.txt,1,268
said.,269,./markedupfiles/003.txt,1,269
Earlier,270,./markedupfiles/003.txt,1,270
she,271,./markedupfiles/003.txt,1,271
told,272,./markedupfiles/003.txt,1,272
BBC,273,./markedupfiles/003.txt,1,273
Radio,274,./markedupfiles/003.txt,1,274
4's,275,./markedupfiles/003.txt,1,275
Today,276,./markedupfiles/003.txt,1,276
programme:,277,./markedupfiles/003.txt,1,277
"""What",278,./markedupfiles/003.txt,1,278
we,279,./markedupfiles/003.txt,1,279
are,280,./markedupfiles/003.txt,1,280
talking,281,./markedupfiles/003.txt,1,281
about,282,./markedupfiles/003.txt,1,282
here,283,./markedupfiles/003.txt,1,283
is,284,./markedupfiles/003.txt,1,284
the,285,./markedupfiles/003.txt,1,285
fact,286,./markedupfiles/003.txt,1,286
that,287,./markedupfiles/003.txt,1,287
about,288,./markedupfiles/003.txt,1,288
six,289,./markedupfiles/003.txt,1,289
out,290,./markedupfiles/003.txt,1,290
of,291,./markedupfiles/003.txt,1,291
20,292,./markedupfiles/003.txt,1,292
women,293,./markedupfiles/003.txt,1,293
work,294,./markedupfiles/003.txt,1,294
in,295,./markedupfiles/003.txt,1,295
jobs,296,./markedupfiles/003.txt,1,296
that,297,./markedupfiles/003.txt,1,297
are,298,./markedupfiles/003.txt,1,298
low-paid,299,./markedupfiles/003.txt,1,299
and,300,./markedupfiles/003.txt,1,300
typically,301,./markedupfiles/003.txt,1,301
dominated,302,./markedupfiles/003.txt,1,302
by,303,./markedupfiles/003.txt,1,303
women,304,./markedupfiles/003.txt,1,304
so,305,./markedupfiles/003.txt,1,305
we,306,./markedupfiles/003.txt,1,306
have,307,./markedupfiles/003.txt,1,307
got,308,./markedupfiles/003.txt,1,308
very,309,./markedupfiles/003.txt,1,309
segregated,310,./markedupfiles/003.txt,1,310
employment.,311,./markedupfiles/003.txt,1,311
"""Unfortunately",312,./markedupfiles/003.txt,1,312
in,313,./markedupfiles/003.txt,1,313
some,314,./markedupfiles/003.txt,1,314
cases,315,./markedupfiles/003.txt,1,315
this,316,./markedupfiles/003.txt,1,316
reflects,317,./markedupfiles/003.txt,1,317
very,318,./markedupfiles/003.txt,1,318
old-fashioned,319,./markedupfiles/003.txt,1,319
and,320,./markedupfiles/003.txt,1,320
stereotypical,321,./markedupfiles/003.txt,1,321
ideas,322,./markedupfiles/003.txt,1,322
about,323,./markedupfiles/003.txt,1,323
the,324,./markedupfiles/003.txt,1,324
appropriate,325,./markedupfiles/003.txt,1,325
jobs,326,./markedupfiles/003.txt,1,326
for,327,./markedupfiles/003.txt,1,327
women,328,./markedupfiles/003.txt,1,328
or,329,./markedupfiles/003.txt,1,329
indeed,330,./markedupfiles/003.txt,1,330
for,331,./markedupfiles/003.txt,1,331
men.,332,./markedupfiles/003.txt,1,332
"""Career",333,./markedupfiles/003.txt,1,333
sexism,334,./markedupfiles/003.txt,1,334
is,335,./markedupfiles/003.txt,1,335
about,336,./markedupfiles/003.txt,1,336
saying,337,./markedupfiles/003.txt,1,337
that,338,./markedupfiles/003.txt,1,338
engineering,339,./markedupfiles/003.txt,1,339
for,340,./markedupfiles/003.txt,1,340
instance,341,./markedupfiles/003.txt,1,341
where,342,./markedupfiles/003.txt,1,342
only,343,./markedupfiles/003.txt,1,343
10%,344,./markedupfiles/003.txt,1,344
of,345,./markedupfiles/003.txt,1,345
employees,346,./markedupfiles/003.txt,1,346
are,347,./markedupfiles/003.txt,1,347
women,348,./markedupfiles/003.txt,1,348
is,349,./markedupfiles/003.txt,1,349
really,350,./markedupfiles/003.txt,1,350
a,351,./markedupfiles/003.txt,1,351
male-dominated,352,./markedupfiles/003.txt,1,352
industry.,353,./markedupfiles/003.txt,1,353
Construction,354,./markedupfiles/003.txt,1,354
is,355,./markedupfiles/003.txt,1,355
even,356,./markedupfiles/003.txt,1,356
worse.,357,./markedupfiles/003.txt,1,357
"""But",358,./markedupfiles/003.txt,1,358
it,359,./markedupfiles/003.txt,1,359
is,360,./markedupfiles/003.txt,1,360
also,361,./markedupfiles/003.txt,1,361
about,362,./markedupfiles/003.txt,1,362
saying,363,./markedupfiles/003.txt,1,363
childcare,364,./markedupfiles/003.txt,1,364
jobs,365,./markedupfiles/003.txt,1,365
are,366,./markedupfiles/003.txt,1,366
really,367,./markedupfiles/003.txt,1,367
there,368,./markedupfiles/003.txt,1,368
for,369,./markedupfiles/003.txt,1,369
women,370,./markedupfiles/003.txt,1,370
and,371,./markedupfiles/003.txt,1,371
not,372,./markedupfiles/003.txt,1,372
suitable,373,./markedupfiles/003.txt,1,373
for,374,./markedupfiles/003.txt,1,374
men.,375,./markedupfiles/003.txt,1,375
Career,376,./markedupfiles/003.txt,1,376
sexism,377,./markedupfiles/003.txt,1,377
goes,378,./markedupfiles/003.txt,1,378
both,379,./markedupfiles/003.txt,1,379
"ways.""",380,./markedupfiles/003.txt,1,380
She,381,./markedupfiles/003.txt,1,381
added,382,./markedupfiles/003.txt,1,382
that,383,./markedupfiles/003.txt,1,383
while,384,./markedupfiles/003.txt,1,384
progress,385,./markedupfiles/003.txt,1,385
had,386,./markedupfiles/003.txt,1,386
been,387,./markedupfiles/003.txt,1,387
made,388,./markedupfiles/003.txt,1,388
there,389,./markedupfiles/003.txt,1,389
was,390,./markedupfiles/003.txt,1,390
still,391,./markedupfiles/003.txt,1,391
a,392,./markedupfiles/003.txt,1,392
gap,393,./markedupfiles/003.txt,1,393
in,394,./markedupfiles/003.txt,1,394
pay,395,./markedupfiles/003.txt,1,395
figures.,396,./markedupfiles/003.txt,1,396
"""The",397,./markedupfiles/003.txt,1,397
average,398,./markedupfiles/003.txt,1,398
woman,399,./markedupfiles/003.txt,1,399
working,400,./markedupfiles/003.txt,1,400
full-time,401,./markedupfiles/003.txt,1,401
is,402,./markedupfiles/003.txt,1,402
being,403,./markedupfiles/003.txt,1,403
paid,404,./markedupfiles/003.txt,1,404
about,405,./markedupfiles/003.txt,1,405
80p,406,./markedupfiles/003.txt,1,406
for,407,./markedupfiles/003.txt,1,407
every,408,./markedupfiles/003.txt,1,408
pound,409,./markedupfiles/003.txt,1,409
a,410,./markedupfiles/003.txt,1,410
man,411,./markedupfiles/003.txt,1,411
is,412,./markedupfiles/003.txt,1,412
earning.,413,./markedupfiles/003.txt,1,413
For,414,./markedupfiles/003.txt,1,414
women,415,./markedupfiles/003.txt,1,415
working,416,./markedupfiles/003.txt,1,416
part-time,417,./markedupfiles/003.txt,1,417
it,418,./markedupfiles/003.txt,1,418
is,419,./markedupfiles/003.txt,1,419
"60p.""",420,./markedupfiles/003.txt,1,420
The,421,./markedupfiles/003.txt,1,421
Department,422,./markedupfiles/003.txt,1,422
for,423,./markedupfiles/003.txt,1,423
Trade,424,./markedupfiles/003.txt,1,424
and,425,./markedupfiles/003.txt,1,425
Industry,426,./markedupfiles/003.txt,1,426
will,427,./markedupfiles/003.txt,1,427
also,428,./markedupfiles/003.txt,1,428
provide,429,./markedupfiles/003.txt,1,429
funding,430,./markedupfiles/003.txt,1,430
to,431,./markedupfiles/003.txt,1,431
help,432,./markedupfiles/003.txt,1,432
a,433,./markedupfiles/003.txt,1,433
new,434,./markedupfiles/003.txt,1,434
pay,435,./markedupfiles/003.txt,1,435
experts,436,./markedupfiles/003.txt,1,436
panel,437,./markedupfiles/003.txt,1,437
run,438,./markedupfiles/003.txt,1,438
by,439,./markedupfiles/003.txt,1,439
the,440,./markedupfiles/003.txt,1,440
TUC.,441,./markedupfiles/003.txt,1,441
It,442,./markedupfiles/003.txt,1,442
has,443,./markedupfiles/003.txt,1,443
been,444,./markedupfiles/003.txt,1,444
set,445,./markedupfiles/003.txt,1,445
up,446,./markedupfiles/003.txt,1,446
to,447,./markedupfiles/003.txt,1,447
advise,448,./markedupfiles/003.txt,1,448
hundreds,449,./markedupfiles/003.txt,1,449
of,450,./markedupfiles/003.txt,1,450
companies,451,./markedupfiles/003.txt,1,451
on,452,./markedupfiles/003.txt,1,452
equal,453,./markedupfiles/003.txt,1,453
wage,454,./markedupfiles/003.txt,1,454
policies.,455,./markedupfiles/003.txt,1,455
Research,456,./markedupfiles/003.txt,1,456
conducted,457,./markedupfiles/003.txt,1,457
by,458,./markedupfiles/003.txt,1,458
the,459,./markedupfiles/003.txt,1,459
EOC,460,./markedupfiles/003.txt,1,460
last,461,./markedupfiles/003.txt,1,461
year,462,./markedupfiles/003.txt,1,462
revealed,463,./markedupfiles/003.txt,1,463
that,464,./markedupfiles/003.txt,1,464
many,465,./markedupfiles/003.txt,1,465
Britons,466,./markedupfiles/003.txt,1,466
believe,467,./markedupfiles/003.txt,1,467
the,468,./markedupfiles/003.txt,1,468
pay,469,./markedupfiles/003.txt,1,469
gap,470,./markedupfiles/003.txt,1,470
between,471,./markedupfiles/003.txt,1,471
men,472,./markedupfiles/003.txt,1,472
and,473,./markedupfiles/003.txt,1,473
women,474,./markedupfiles/003.txt,1,474
is,475,./markedupfiles/003.txt,1,475
the,476,./markedupfiles/003.txt,1,476
result,477,./markedupfiles/003.txt,1,477
of,478,./markedupfiles/003.txt,1,478
"""natural",479,./markedupfiles/003.txt,1,479
"differences""",480,./markedupfiles/003.txt,1,480
between,481,./markedupfiles/003.txt,1,481
the,482,./markedupfiles/003.txt,1,482
sexes.,483,./markedupfiles/003.txt,1,483
Women,484,./markedupfiles/003.txt,1,484
hold,485,./markedupfiles/003.txt,1,485
less,486,./markedupfiles/003.txt,1,486
than,487,./markedupfiles/003.txt,1,487
10%,488,./markedupfiles/003.txt,1,488
of,489,./markedupfiles/003.txt,1,489
the,490,./markedupfiles/003.txt,1,490
top,491,./markedupfiles/003.txt,1,491
positions,492,./markedupfiles/003.txt,1,492
in,493,./markedupfiles/003.txt,1,493
FTSE,494,./markedupfiles/003.txt,1,494
100,495,./markedupfiles/003.txt,1,495
companies,496,./markedupfiles/003.txt,1,496
the,497,./markedupfiles/003.txt,1,497
police,498,./markedupfiles/003.txt,1,498
the,499,./markedupfiles/003.txt,1,499
judiciary,500,./markedupfiles/003.txt,1,500
and,501,./markedupfiles/003.txt,1,501
trade,502,./markedupfiles/003.txt,1,502
unions,503,./markedupfiles/003.txt,1,503
according,504,./markedupfiles/003.txt,1,504
to,505,./markedupfiles/003.txt,1,505
their,506,./markedupfiles/003.txt,1,506
figures.,507,./markedupfiles/003.txt,1,507
And,508,./markedupfiles/003.txt,1,508
retired,509,./markedupfiles/003.txt,1,509
women,510,./markedupfiles/003.txt,1,510
have,511,./markedupfiles/003.txt,1,511
just,512,./markedupfiles/003.txt,1,512
over,513,./markedupfiles/003.txt,1,513
half,514,./markedupfiles/003.txt,1,514
the,515,./markedupfiles/003.txt,1,515
income,516,./markedupfiles/003.txt,1,516
of,517,./markedupfiles/003.txt,1,517
their,518,./markedupfiles/003.txt,1,518
male,519,./markedupfiles/003.txt,1,519
counterparts,520,./markedupfiles/003.txt,1,520
on,521,./markedupfiles/003.txt,1,521
average.,522,./markedupfiles/003.txt,1,522
Watchdog,0,./markedupfiles/002.txt,1,0
probes,1,./markedupfiles/002.txt,1,1
e-mail,2,./markedupfiles/002.txt,1,2
deletions,3,./markedupfiles/002.txt,1,3
The,4,./markedupfiles/002.txt,1,4
information,5,./markedupfiles/002.txt,1,5
commissioner,6,./markedupfiles/002.txt,1,6
says,7,./markedupfiles/002.txt,1,7
he,8,./markedupfiles/002.txt,1,8
is,9,./markedupfiles/002.txt,1,9
urgently,10,./markedupfiles/002.txt,1,10
asking,11,./markedupfiles/002.txt,1,11
for,12,./markedupfiles/002.txt,1,12
details,13,./markedupfiles/002.txt,1,13
of,14,./markedupfiles/002.txt,1,14
Cabinet,15,./markedupfiles/002.txt,1,15
Office,16,./markedupfiles/002.txt,1,16
orders,17,./markedupfiles/002.txt,1,17
telling,18,./markedupfiles/002.txt,1,18
staff,19,./markedupfiles/002.txt,1,19
to,20,./markedupfiles/002.txt,1,20
delete,21,./markedupfiles/002.txt,1,21
e-mails,22,./markedupfiles/002.txt,1,22
more,23,./markedupfiles/002.txt,1,23
than,24,./markedupfiles/002.txt,1,24
three,25,./markedupfiles/002.txt,1,25
months,26,./markedupfiles/002.txt,1,26
old.,27,./markedupfiles/002.txt,1,27
<n>Richard,28,./markedupfiles/002.txt,1,28
Thomas</n>,29,./markedupfiles/002.txt,1,29
"""totally",30,./markedupfiles/002.txt,1,30
"condemned""",31,./markedupfiles/002.txt,1,31
the,32,./markedupfiles/002.txt,1,32
deletion,33,./markedupfiles/002.txt,1,33
of,34,./markedupfiles/002.txt,1,34
e-mails,35,./markedupfiles/002.txt,1,35
to,36,./markedupfiles/002.txt,1,36
prevent,37,./markedupfiles/002.txt,1,37
their,38,./markedupfiles/002.txt,1,38
disclosure,39,./markedupfiles/002.txt,1,39
under,40,./markedupfiles/002.txt,1,40
freedom,41,./markedupfiles/002.txt,1,41
of,42,./markedupfiles/002.txt,1,42
information,43,./markedupfiles/002.txt,1,43
laws,44,./markedupfiles/002.txt,1,44
coming,45,./markedupfiles/002.txt,1,45
into,46,./markedupfiles/002.txt,1,46
force,47,./markedupfiles/002.txt,1,47
on,48,./markedupfiles/002.txt,1,48
1,49,./markedupfiles/002.txt,1,49
January.,50,./markedupfiles/002.txt,1,50
Government,51,./markedupfiles/002.txt,1,51
guidance,52,./markedupfiles/002.txt,1,52
said,53,./markedupfiles/002.txt,1,53
e-mails,54,./markedupfiles/002.txt,1,54
should,55,./markedupfiles/002.txt,1,55
only,56,./markedupfiles/002.txt,1,56
be,57,./markedupfiles/002.txt,1,57
deleted,58,./markedupfiles/002.txt,1,58
if,59,./markedupfiles/002.txt,1,59
they,60,./markedupfiles/002.txt,1,60
served,61,./markedupfiles/002.txt,1,61
"""no",62,./markedupfiles/002.txt,1,62
current,63,./markedupfiles/002.txt,1,63
"purpose""",64,./markedupfiles/002.txt,1,64
<n>Mr,65,./markedupfiles/002.txt,1,65
Thomas</n>,66,./markedupfiles/002.txt,1,66
said.,67,./markedupfiles/002.txt,1,67
The,68,./markedupfiles/002.txt,1,68
Tories,69,./markedupfiles/002.txt,1,69
and,70,./markedupfiles/002.txt,1,70
the,71,./markedupfiles/002.txt,1,71
Lib,72,./markedupfiles/002.txt,1,72
Dems,73,./markedupfiles/002.txt,1,73
have,74,./markedupfiles/002.txt,1,74
questioned,75,./markedupfiles/002.txt,1,75
the,76,./markedupfiles/002.txt,1,76
timing,77,./markedupfiles/002.txt,1,77
of,78,./markedupfiles/002.txt,1,78
the,79,./markedupfiles/002.txt,1,79
new,80,./markedupfiles/002.txt,1,80
rules.,81,./markedupfiles/002.txt,1,81
Tory,82,./markedupfiles/002.txt,1,82
leader,83,./markedupfiles/002.txt,1,83
<n>Michael,84,./markedupfiles/002.txt,1,84
Howard</n>,85,./markedupfiles/002.txt,1,85
has,86,./markedupfiles/002.txt,1,86
written,87,./markedupfiles/002.txt,1,87
to,88,./markedupfiles/002.txt,1,88
<n>Tony,89,./markedupfiles/002.txt,1,89
Blair</n>,90,./markedupfiles/002.txt,1,90
demanding,91,./markedupfiles/002.txt,1,91
an,92,./markedupfiles/002.txt,1,92
explanation,93,./markedupfiles/002.txt,1,93
of,94,./markedupfiles/002.txt,1,94
the,95,./markedupfiles/002.txt,1,95
new,96,./markedupfiles/002.txt,1,96
rules,97,./markedupfiles/002.txt,1,97
on,98,./markedupfiles/002.txt,1,98
e-mail,99,./markedupfiles/002.txt,1,99
retention.,100,./markedupfiles/002.txt,1,100
On,101,./markedupfiles/002.txt,1,101
Monday,102,./markedupfiles/002.txt,1,102
Lib,103,./markedupfiles/002.txt,1,103
Dem,104,./markedupfiles/002.txt,1,104
constitutional,105,./markedupfiles/002.txt,1,105
affairs,106,./markedupfiles/002.txt,1,106
committee,107,./markedupfiles/002.txt,1,107
chairman,108,./markedupfiles/002.txt,1,108
<n>Alan,109,./markedupfiles/002.txt,1,109
Beith</n>,110,./markedupfiles/002.txt,1,110
warned,111,./markedupfiles/002.txt,1,111
