All-Words,end,filename,n-gram,start,classtype,PRE_DIST_VERB,POST_DIST_VERB,PrecedingTitle,PRE_DIST_FROM_THE,PRE_DIST_FROM_POSITION,NEGATIVE_FEATURE,POSITIVE_FEATURE,Surrounding_Caps,Apostrophe,POST_IS_PREPOSITION,RELATIONSHIP,POST_IS_SPEAK_VERB,PRE_IS_SPEAK_VERB,INSTANCE_IS_POSITION,INSTANCE_IS_COUNTRY
England,329,./data/train/002.txt,1,329,False,1,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Northern,332,./data/train/002.txt,1,332,False,4,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Ireland,333,./data/train/002.txt,1,333,False,5,100,False,False,100,False,False,True,False,True,False,False,False,False,False
Similar,337,./data/train/002.txt,1,337,False,100,3,False,False,100,False,False,False,False,False,False,False,False,False,False
Scotland,348,./data/train/002.txt,1,348,False,2,100,False,False,100,True,False,True,False,False,False,False,False,False,False
Brown,0,./data/train/005.txt,1,0,True,100,100,False,False,100,False,False,False,False,False,False,False,False,False,False
Budget,3,./data/train/005.txt,1,3,False,100,100,False,False,100,False,False,False,False,False,False,False,False,False,False
Gordon,6,./data/train/005.txt,1,6,False,100,3,False,False,1,False,False,True,False,False,False,False,False,False,False
Brown's,7,./data/train/005.txt,1,7,False,100,2,False,False,2,False,False,True,True,False,False,False,False,False,False
Budget,17,./data/train/005.txt,1,17,False,2,100,False,True,100,True,False,False,False,False,False,False,False,False,False
Balls,23,./data/train/005.txt,1,23,False,100,3,False,False,100,True,False,True,False,False,False,False,False,False,False
Treasury,29,./data/train/005.txt,1,29,False,2,0,False,False,100,False,False,False,False,False,False,True,False,False,False
Balls,42,./data/train/005.txt,1,42,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Labour,45,./data/train/005.txt,1,45,False,100,1,False,False,100,True,False,True,False,False,False,False,False,False,False
Sir,62,./data/train/005.txt,1,62,False,3,100,True,False,100,False,False,True,False,False,False,False,False,False,False
Digby,63,./data/train/005.txt,1,63,False,4,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Jones,64,./data/train/005.txt,1,64,False,5,100,False,False,100,False,False,True,False,False,False,False,False,False,False
CBI,65,./data/train/005.txt,1,65,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Brown,70,./data/train/005.txt,1,70,False,100,1,False,False,100,False,False,True,False,False,False,False,False,False,False
Balls,84,./data/train/005.txt,1,84,False,100,100,False,False,100,True,True,True,False,False,False,False,False,False,False
Treasury,90,./data/train/005.txt,1,90,False,100,0,False,False,100,False,False,False,False,False,False,False,False,False,False
Labour,96,./data/train/005.txt,1,96,False,3,100,False,True,100,True,False,False,False,False,False,False,False,False,False
Brown,105,./data/train/005.txt,1,105,False,4,0,False,False,100,False,False,True,False,False,False,False,False,False,False
Labour,150,./data/train/005.txt,1,150,False,4,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Party's,151,./data/train/005.txt,1,151,False,5,100,False,False,100,False,False,True,True,False,False,False,False,False,False
Expectations,155,./data/train/005.txt,1,155,False,100,2,False,False,100,False,False,False,False,True,False,False,False,False,False
Consumer,171,./data/train/005.txt,1,171,False,100,1,False,False,100,False,False,False,False,False,False,False,False,False,False
Bank,184,./data/train/005.txt,1,184,False,100,100,False,False,100,False,False,False,False,True,False,False,False,False,False
England's,186,./data/train/005.txt,1,186,False,100,3,False,False,100,False,False,True,True,False,False,False,False,False,False
Monetary,187,./data/train/005.txt,1,187,False,100,2,False,False,100,False,False,True,False,False,False,False,False,False,False
Policy,188,./data/train/005.txt,1,188,False,100,1,False,False,100,False,False,True,False,False,False,False,False,False,False
I'm,211,./data/train/005.txt,1,211,False,100,100,False,False,100,False,False,False,False,False,False,False,False,False,False
Parliamentary,237,./data/train/005.txt,1,237,False,2,2,False,True,100,True,False,False,False,False,False,False,False,False,False
BBC,252,./data/train/005.txt,1,252,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Radio,253,./data/train/005.txt,1,253,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Today,255,./data/train/005.txt,1,255,False,100,3,False,False,100,False,False,False,False,False,False,False,False,False,False
Balls,258,./data/train/005.txt,1,258,False,100,0,False,False,100,False,False,True,False,False,False,True,False,False,False
Brown's,264,./data/train/005.txt,1,264,False,3,1,False,False,100,False,False,True,True,False,False,False,False,False,False
Budget,265,./data/train/005.txt,1,265,False,4,0,False,False,100,False,False,True,False,False,False,False,False,False,False
Sir,300,./data/train/005.txt,1,300,False,2,2,True,False,100,False,False,True,False,False,False,False,False,False,False
Digby,301,./data/train/005.txt,1,301,False,3,1,False,False,100,False,False,True,False,False,False,False,False,False,False
Jones,302,./data/train/005.txt,1,302,False,4,0,False,False,100,False,False,True,False,False,False,True,False,False,False
Please,325,./data/train/005.txt,1,325,False,4,1,False,False,100,False,False,False,False,False,False,False,False,False,False
Sir,335,./data/train/005.txt,1,335,False,3,100,True,False,100,True,False,True,False,False,False,False,False,False,False
Digby,336,./data/train/005.txt,1,336,False,4,3,False,False,100,False,False,True,False,False,False,False,False,False,False
Stability,357,./data/train/005.txt,1,357,False,100,0,False,False,100,False,False,False,False,False,False,False,False,False,False
Balls,417,./data/train/005.txt,1,417,False,4,0,False,False,100,False,False,True,False,False,False,False,False,False,False
Brown,423,./data/train/005.txt,1,423,False,3,0,False,False,100,False,False,True,False,False,False,False,False,False,False
Foreign,440,./data/train/005.txt,1,440,False,5,2,False,False,100,False,False,True,False,False,False,False,False,False,False
Gordon,445,./data/train/005.txt,1,445,False,2,2,False,False,100,False,False,True,False,False,False,False,False,False,False
Brown,446,./data/train/005.txt,1,446,False,3,1,False,False,100,False,False,True,False,False,False,False,False,False,False
Labour,454,./data/train/005.txt,1,454,False,4,100,False,False,100,False,False,False,False,False,False,False,False,False,False
Conservative,472,./data/train/005.txt,1,472,False,3,2,False,True,100,True,False,True,False,False,False,False,False,False,False
Party,473,./data/train/005.txt,1,473,False,4,1,False,False,100,True,False,True,False,False,False,False,False,False,False
Balls,480,./data/train/005.txt,1,480,False,4,0,False,False,100,False,False,True,False,False,False,True,False,False,False
Today,482,./data/train/005.txt,1,482,False,1,100,False,False,100,False,False,True,False,False,False,False,True,False,False
Prime,483,./data/train/005.txt,1,483,False,2,3,False,False,100,False,False,True,False,False,False,False,False,False,False
Tony,485,./data/train/005.txt,1,485,False,4,1,False,False,1,False,False,True,False,False,False,False,False,False,False
Blair,486,./data/train/005.txt,1,486,False,5,0,False,False,2,False,False,True,False,False,False,False,False,False,False
Dome,3,./data/train/006.txt,1,3,False,100,3,False,False,100,False,False,False,False,False,False,False,False,False,False
Millennium,11,./data/train/006.txt,1,11,False,2,3,False,False,100,False,False,True,False,False,False,False,False,False,False
Dome,12,./data/train/006.txt,1,12,False,3,2,False,False,100,False,False,True,False,False,False,False,False,False,False
Millennium,47,./data/train/006.txt,1,47,False,5,100,False,False,100,True,False,False,False,False,False,False,False,False,False
National,51,./data/train/006.txt,1,51,False,100,2,False,True,100,False,False,True,False,False,False,False,False,False,False
Audit,52,./data/train/006.txt,1,52,False,100,1,False,False,100,False,False,True,False,False,False,False,False,False,False
Dome,56,./data/train/006.txt,1,56,False,2,0,False,False,100,False,False,False,False,False,False,False,False,False,False
Finally,71,./data/train/006.txt,1,71,False,100,1,False,False,100,False,False,False,False,False,False,False,False,False,False
Greenwich,107,./data/train/006.txt,1,107,False,5,3,False,False,100,True,False,True,False,False,False,False,False,False,False
London,108,./data/train/006.txt,1,108,False,100,2,False,False,100,True,False,True,False,False,False,False,False,False,True
NAO,110,./data/train/006.txt,1,110,False,100,0,False,True,100,True,False,True,False,False,False,False,False,False,False
Dome,132,./data/train/006.txt,1,132,False,2,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Prime,134,./data/train/006.txt,1,134,False,4,3,False,False,1,False,False,True,False,False,False,False,False,False,False
John,136,./data/train/006.txt,1,136,False,100,1,False,False,3,False,False,True,False,False,False,False,False,False,False
Prescott,137,./data/train/006.txt,1,137,False,100,0,False,False,4,False,False,True,False,False,False,True,False,False,False
Delivery,145,./data/train/006.txt,1,145,False,2,100,False,False,100,False,False,False,False,True,False,False,False,False,False
Millennium,163,./data/train/006.txt,1,163,False,3,100,False,False,100,True,False,True,False,False,False,False,False,False,False
Village,164,./data/train/006.txt,1,164,False,4,100,False,False,100,True,False,True,False,False,False,False,False,False,False
Edward,173,./data/train/006.txt,1,173,False,100,2,False,False,100,False,True,True,False,False,False,False,False,False,False
Leigh,174,./data/train/006.txt,1,174,False,100,1,False,False,100,False,True,True,False,False,False,False,False,False,False
Commons,180,./data/train/006.txt,1,180,False,4,100,False,False,100,False,False,False,False,False,False,False,False,False,False
Dome,201,./data/train/006.txt,1,201,False,5,100,False,False,100,False,False,False,False,False,False,False,False,False,False
Dome,216,./data/train/006.txt,1,216,False,2,0,False,False,100,False,False,False,False,False,False,False,False,False,False
Every,221,./data/train/006.txt,1,221,False,4,100,False,False,100,True,False,False,False,False,False,False,False,False,False
Four,242,./data/train/006.txt,1,242,False,5,100,False,False,100,False,False,False,False,False,False,False,False,False,False
Millennium,246,./data/train/006.txt,1,246,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Exhibition,247,./data/train/006.txt,1,247,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Government,250,./data/train/006.txt,1,250,False,100,1,False,False,100,False,False,False,False,False,False,False,False,False,False
NAO,314,./data/train/006.txt,1,314,False,100,0,False,False,100,False,False,False,False,False,False,False,False,False,False
Sir,316,./data/train/006.txt,1,316,False,1,100,True,False,100,False,False,True,False,False,False,False,False,False,False
John,317,./data/train/006.txt,1,317,False,2,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Bourn,318,./data/train/006.txt,1,318,False,3,100,False,False,100,False,False,True,False,False,False,False,False,False,False
English,330,./data/train/006.txt,1,330,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Partnerships,331,./data/train/006.txt,1,331,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Fox,0,./data/train/007.txt,1,0,True,100,100,False,False,100,False,False,False,False,False,False,False,False,False,False
Blair's,2,./data/train/007.txt,1,2,True,100,100,False,False,100,False,False,True,True,False,False,False,False,False,False
Tory,3,./data/train/007.txt,1,3,False,100,3,False,False,100,False,False,True,False,False,False,False,False,False,False
Tony,5,./data/train/007.txt,1,5,False,100,1,False,False,100,False,False,True,False,False,False,False,False,False,False
Blair,6,./data/train/007.txt,1,6,False,100,0,False,False,100,False,False,True,False,False,False,False,False,False,False
Tories,27,./data/train/007.txt,1,27,False,2,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Tory,28,./data/train/007.txt,1,28,False,3,3,False,False,100,False,False,True,False,False,False,False,False,False,False
Liam,30,./data/train/007.txt,1,30,False,5,1,False,False,100,False,False,True,False,False,False,False,False,False,False
Fox,31,./data/train/007.txt,1,31,False,100,0,False,False,100,False,False,True,False,False,False,False,False,False,False
Blair,36,./data/train/007.txt,1,36,False,4,0,False,False,100,False,False,True,False,False,False,True,False,False,False
Labour,38,./data/train/007.txt,1,38,False,1,100,False,False,100,False,False,False,False,False,False,False,True,False,False
Tories,41,./data/train/007.txt,1,41,False,4,100,False,False,100,False,False,False,False,False,False,False,False,False,False
Fox,48,./data/train/007.txt,1,48,False,100,0,False,False,100,True,False,True,False,False,False,True,False,False,False
BBC,50,./data/train/007.txt,1,50,False,1,100,False,False,100,False,False,True,False,False,False,False,True,False,False
Radio,51,./data/train/007.txt,1,51,False,2,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Lord,86,./data/train/007.txt,1,86,False,1,100,True,False,100,False,False,True,False,False,False,False,False,False,False
Ashcroft,87,./data/train/007.txt,1,87,False,2,100,False,False,100,False,False,True,False,True,False,False,False,False,False
Labour's,99,./data/train/007.txt,1,99,False,100,100,False,False,100,False,False,False,True,False,False,False,False,False,False
Gateshead,148,./data/train/007.txt,1,148,False,100,100,False,False,100,True,False,False,False,True,False,False,False,False,False
Blair,152,./data/train/007.txt,1,152,False,100,2,False,False,100,True,False,True,False,False,False,False,False,False,False
Downing,171,./data/train/007.txt,1,171,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Street.,172,./data/train/007.txt,1,172,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Blair,233,./data/train/007.txt,1,233,False,3,0,False,False,100,False,False,True,False,False,False,True,False,False,False
Michael,240,./data/train/007.txt,1,240,False,1,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Howard,241,./data/train/007.txt,1,241,False,2,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Kennedy,244,./data/train/007.txt,1,244,False,5,1,False,False,100,False,False,True,False,False,False,False,False,False,False
Tory,250,./data/train/007.txt,1,250,False,4,100,False,False,100,True,False,False,False,False,False,False,False,False,False
Labour,254,./data/train/007.txt,1,254,False,100,100,False,True,100,True,False,False,False,False,False,False,False,False,False
Fox,268,./data/train/007.txt,1,268,False,5,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Blair,271,./data/train/007.txt,1,271,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Labour,296,./data/train/007.txt,1,296,False,2,3,False,False,100,True,False,False,False,False,False,False,False,False,False
BBC,312,./data/train/007.txt,1,312,False,1,100,False,False,100,False,False,True,False,False,False,False,True,False,False
News,313,./data/train/007.txt,1,313,False,2,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Tory,315,./data/train/007.txt,1,315,False,4,100,False,True,100,False,False,True,False,False,False,False,False,False,False
Labour's,318,./data/train/007.txt,1,318,False,100,100,False,False,100,False,False,False,True,False,False,False,False,False,False
Blair,327,./data/train/007.txt,1,327,False,2,0,False,False,100,False,False,True,False,False,False,False,False,False,False
Fox,341,./data/train/007.txt,1,341,False,3,0,False,False,100,False,False,True,False,False,False,False,False,False,False
Tory,356,./data/train/007.txt,1,356,False,2,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Treasurer,357,./data/train/007.txt,1,357,False,3,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Lord,358,./data/train/007.txt,1,358,False,4,3,True,False,100,False,False,True,False,False,False,False,False,False,False
Ashcroft,359,./data/train/007.txt,1,359,False,5,2,False,False,100,False,False,True,False,True,False,False,False,False,False
Lord,396,./data/train/007.txt,1,396,False,1,100,True,False,100,False,False,True,False,False,False,False,False,False,False
Ashcroft,397,./data/train/007.txt,1,397,False,2,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Meanwhile,398,./data/train/007.txt,1,398,False,3,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Lib,399,./data/train/007.txt,1,399,False,4,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Dem,400,./data/train/007.txt,1,400,False,5,3,False,False,100,False,False,True,False,False,False,False,False,False,False
Charles,402,./data/train/007.txt,1,402,False,100,1,False,False,100,False,False,True,False,False,False,False,False,False,False
Kennedy,403,./data/train/007.txt,1,403,False,100,0,False,False,100,False,False,True,False,False,False,False,False,False,False
Blair's,409,./data/train/007.txt,1,409,False,3,3,False,False,100,False,False,True,True,False,False,False,False,False,False
Kennedy,420,./data/train/007.txt,1,420,False,4,0,False,False,100,True,False,True,False,False,False,False,False,False,False
Lib,423,./data/train/007.txt,1,423,False,2,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Dem,424,./data/train/007.txt,1,424,False,3,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Manchester,432,./data/train/007.txt,1,432,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Liverpool,433,./data/train/007.txt,1,433,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Leicester,434,./data/train/007.txt,1,434,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Somerset,435,./data/train/007.txt,1,435,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Basingstoke,436,./data/train/007.txt,1,436,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Shrewsbury,437,./data/train/007.txt,1,437,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Dorset,438,./data/train/007.txt,1,438,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Torbay,440,./data/train/007.txt,1,440,False,100,3,False,False,100,False,False,True,False,False,False,False,False,False,False
Labour,455,./data/train/007.txt,1,455,False,2,100,False,False,100,False,False,False,False,False,False,False,False,False,False
Liberal,458,./data/train/007.txt,1,458,False,5,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Democrats,459,./data/train/007.txt,1,459,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
South,469,./data/train/007.txt,1,469,False,100,100,False,False,100,True,False,True,False,False,False,False,False,False,False
West,470,./data/train/007.txt,1,470,False,100,100,False,False,100,True,False,True,False,False,False,False,False,False,False
Liberal,477,./data/train/007.txt,1,477,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Democrats,478,./data/train/007.txt,1,478,False,100,100,False,False,100,False,True,True,False,False,False,False,False,False,False
Conservatives,481,./data/train/007.txt,1,481,False,100,100,False,False,100,False,True,False,False,False,False,False,False,False,False
Scotland,489,./data/train/007.txt,1,489,False,100,100,False,False,100,True,False,False,False,False,False,False,False,False,False
Wales.,491,./data/train/007.txt,1,491,False,100,100,False,False,100,True,False,True,False,False,False,False,False,False,False
Lib,493,./data/train/007.txt,1,493,False,100,100,False,True,100,True,False,True,False,False,False,False,False,False,False
Dems,494,./data/train/007.txt,1,494,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Blair,497,./data/train/007.txt,1,497,False,100,100,False,False,100,False,False,True,False,True,False,False,False,False,False
Labour,504,./data/train/007.txt,1,504,False,1,2,False,False,100,True,False,False,False,False,False,False,False,False,False
Women,0,./data/train/008.txt,1,0,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Women,5,./data/train/008.txt,1,5,False,100,1,False,False,100,False,False,True,False,False,False,False,False,False,False
Male,24,./data/train/008.txt,1,24,False,100,2,False,False,100,True,False,True,False,False,False,False,False,False,False
Commons,37,./data/train/008.txt,1,37,False,1,100,False,False,100,False,False,False,False,False,False,False,False,False,False
Birkbeck,41,./data/train/008.txt,1,41,False,5,1,False,False,100,False,False,True,False,False,False,False,False,False,False
College,42,./data/train/008.txt,1,42,False,100,0,False,False,100,False,False,True,False,False,False,False,False,False,False
Labour's,45,./data/train/008.txt,1,45,False,2,2,False,False,100,False,False,True,True,False,False,False,False,False,False
Yvette,46,./data/train/008.txt,1,46,False,3,1,False,False,100,False,False,True,False,False,False,False,False,False,False
Cooper,47,./data/train/008.txt,1,47,False,4,0,False,False,100,False,False,True,False,False,False,True,False,False,False
Commons,55,./data/train/008.txt,1,55,False,2,2,False,False,100,False,False,False,False,False,False,False,False,False,False
Whose,80,./data/train/008.txt,1,80,False,5,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Joni,90,./data/train/008.txt,1,90,False,4,1,False,False,1,False,False,True,False,False,False,False,False,False,False
Lovenduski,91,./data/train/008.txt,1,91,False,5,0,False,False,2,False,False,True,False,False,False,False,False,False,False
Westminster,105,./data/train/008.txt,1,105,False,100,3,False,False,100,True,False,True,False,False,False,False,False,False,False
Chamber,121,./data/train/008.txt,1,121,False,100,100,False,False,100,True,False,False,False,False,False,False,False,False,False
Barbara,130,./data/train/008.txt,1,130,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Follet,131,./data/train/008.txt,1,131,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Blair,136,./data/train/008.txt,1,136,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Babes,137,./data/train/008.txt,1,137,False,100,3,False,False,100,False,False,False,False,False,False,False,False,False,False
Conservatives,146,./data/train/008.txt,1,146,False,5,100,False,False,100,False,False,False,False,False,False,False,False,False,False
Labour,150,./data/train/008.txt,1,150,False,100,1,False,True,100,True,False,False,False,False,False,False,False,False,False
Former,177,./data/train/008.txt,1,177,False,5,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Liberal,178,./data/train/008.txt,1,178,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Democrat,179,./data/train/008.txt,1,179,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Jackie,181,./data/train/008.txt,1,181,False,100,100,False,False,1,False,False,True,False,False,False,False,False,False,False
Ballard,182,./data/train/008.txt,1,182,False,100,100,False,False,2,False,False,True,False,False,False,False,False,False,False
Gillian,206,./data/train/008.txt,1,206,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Shepherd,207,./data/train/008.txt,1,207,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Betty,218,./data/train/008.txt,1,218,True,100,100,False,False,100,False,False,False,False,False,False,False,False,False,False
Betty',228,./data/train/008.txt,1,228,False,4,100,False,False,100,False,False,False,True,False,False,False,False,False,False
Betty'.,242,./data/train/008.txt,1,242,False,100,2,False,False,100,False,False,True,False,False,False,False,False,False,False
Harriet,243,./data/train/008.txt,1,243,False,100,1,False,False,100,False,False,True,False,False,False,False,False,False,False
Harman,244,./data/train/008.txt,1,244,False,100,0,False,False,100,False,False,True,False,False,False,True,False,False,False
Well,258,./data/train/008.txt,1,258,False,3,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Another,266,./data/train/008.txt,1,266,False,100,100,False,False,100,True,False,False,False,False,False,False,False,False,False
Even,289,./data/train/008.txt,1,289,False,3,100,False,False,100,False,False,False,False,True,False,False,False,False,False
Liberal,324,./data/train/008.txt,1,324,False,100,100,False,False,100,True,False,True,False,False,False,False,False,False,False
Democrat,325,./data/train/008.txt,1,325,False,100,100,False,False,100,True,False,True,False,False,False,False,False,False,False
Sarah,326,./data/train/008.txt,1,326,False,100,100,False,False,100,True,False,True,False,False,False,False,False,False,False
Teather,327,./data/train/008.txt,1,327,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Lots,338,./data/train/008.txt,1,338,False,2,2,False,False,100,False,False,False,False,True,False,False,False,False,False
I've,348,./data/train/008.txt,1,348,False,100,1,False,False,100,False,False,False,False,False,False,False,False,False,False
Joni,371,./data/train/008.txt,1,371,False,100,100,False,False,1,False,True,True,False,False,False,False,False,False,False
Lovenduski,372,./data/train/008.txt,1,372,False,100,100,False,False,2,False,True,True,False,False,False,False,False,False,False
Margaret,381,./data/train/008.txt,1,381,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Moran,382,./data/train/008.txt,1,382,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Parliament,444,./data/train/008.txt,1,444,False,5,1,False,False,100,True,True,False,False,False,False,False,False,False,False
Lovenduski,460,./data/train/008.txt,1,460,True,3,100,False,False,1,False,False,True,False,False,False,False,False,False,False
House,519,./data/train/008.txt,1,519,False,4,100,False,False,100,True,False,False,False,True,False,False,False,False,False
Commons.,521,./data/train/008.txt,1,521,False,100,3,False,False,100,True,False,True,False,False,False,False,False,False,False
Library,531,./data/train/008.txt,1,531,False,4,100,False,False,100,True,False,True,False,False,False,False,False,False,False
Campbell,0,./data/train/009.txt,1,0,True,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
E-mail,1,./data/train/009.txt,1,1,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Ex-No,5,./data/train/009.txt,1,5,False,100,100,False,False,100,False,False,False,False,False,False,False,False,False,False
Alastair,9,./data/train/009.txt,1,9,False,100,1,False,False,100,False,False,True,False,False,False,False,False,False,False
Campbell,10,./data/train/009.txt,1,10,False,100,0,False,False,100,False,False,True,False,False,False,False,False,False,False
BBC,29,./data/train/009.txt,1,29,False,100,3,False,False,100,True,False,False,False,False,False,False,False,False,False
Campbell,32,./data/train/009.txt,1,32,False,100,0,False,False,100,True,False,True,False,False,False,False,False,False,False
Newsnight,40,./data/train/009.txt,1,40,False,2,3,False,False,100,False,False,True,False,True,False,False,False,False,False
Labour's,49,./data/train/009.txt,1,49,False,4,100,False,False,100,True,False,False,True,False,False,False,False,False,False
Campbell,76,./data/train/009.txt,1,76,False,100,0,False,False,100,True,False,True,False,False,False,False,False,False,False
