,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
65,Asian MPs,19,./data/test/./143.txt,2,18,False,100,0,1,0,False,False,False,100,False,False,False,False
66,West Ham,98,./data/test/./143.txt,2,97,False,100,0,4,0,False,False,False,100,False,False,False,False
67,General Kofi,245,./data/test/./209.txt,2,244,False,100,100,100,100,False,False,False,1,False,False,True,False
68,Fiscal Studies,304,./data/test/./021.txt,2,303,False,100,0,1,100,False,False,False,100,False,False,False,False
69,Fiscal Studies,387,./data/test/./021.txt,2,386,False,4,100,1,0,False,False,False,100,False,True,False,False
70,Terrorism Bill,94,./data/test/./182.txt,2,93,False,100,0,5,0,False,False,False,100,False,False,False,False
71,Law Lords,284,./data/test/./182.txt,2,283,False,5,0,1,0,False,False,False,100,False,False,False,False
72,Monday -,366,./data/test/./182.txt,2,365,False,100,0,2,0,False,False,False,100,False,False,False,False
73,Lib Dems,403,./data/test/./182.txt,2,402,False,100,0,1,0,False,False,False,100,False,False,False,False
74,Mr Blunkett,248,./data/test/./168.txt,2,247,False,100,100,1,1,True,False,False,100,False,False,False,False
75,John Stevens,187,./data/test/./151.txt,2,186,False,100,0,100,3,False,False,False,100,False,False,False,False
76,Mr Betts-Greens,86,./data/test/./145.txt,2,85,False,1,100,100,3,True,False,False,100,False,False,False,False
77,Law Commission,216,./data/test/./031.txt,2,215,False,100,0,1,1,False,False,False,100,False,False,False,False
78,Home Office,257,./data/test/./031.txt,2,256,False,100,0,4,100,False,False,False,100,False,False,False,False
79,Mr Blair,214,./data/test/./225.txt,2,213,False,100,0,1,0,True,False,False,100,False,False,False,False
80,Prime Minister,301,./data/test/./225.txt,2,300,False,100,2,5,100,False,False,False,1,False,False,True,False
81,Energy Act,327,./data/test/./146.txt,2,326,False,100,0,4,0,False,False,False,100,False,False,False,False
82,Field MP,493,./data/test/./218.txt,2,492,False,100,0,100,1,False,False,False,100,False,False,False,False
83,W Bush,7,./data/test/./280.txt,2,6,False,5,0,100,0,False,False,False,100,False,False,False,False
84,Liberal Democrats,565,./data/test/./257.txt,2,564,False,100,0,1,3,False,False,False,100,False,False,False,False
85,Workers Unions,331,./data/test/./069.txt,2,330,False,100,100,2,1,False,False,False,1,False,False,True,False
86,Dr Richard,144,./data/test/./121.txt,2,143,False,3,100,3,3,True,False,False,100,False,False,True,False
87,Audit Commission,443,./data/test/./121.txt,2,442,False,5,0,3,0,False,False,False,100,False,False,False,False
88,HI Europe,88,./data/test/./109.txt,2,87,False,100,0,1,1,False,False,False,100,False,False,False,False
89,Mr Blair,97,./data/test/./256.txt,2,96,False,3,0,2,1,True,False,False,100,False,False,False,False
90,Mr Brown,491,./data/test/./256.txt,2,490,False,4,1,2,2,True,False,False,100,False,False,False,False
91,Radio Five,570,./data/test/./256.txt,2,569,False,2,0,100,1,False,False,False,100,False,False,True,False
92,Information Act,77,./data/test/./242.txt,2,76,False,5,0,1,0,False,False,False,100,False,False,False,False
93,Dr Julian,214,./data/test/./242.txt,2,213,False,3,100,3,1,True,False,False,100,False,False,True,False
94,Cabinet Office,222,./data/test/./242.txt,2,221,False,100,0,5,1,False,False,False,100,False,False,False,False
95,Information Act,389,./data/test/./242.txt,2,388,False,100,0,1,0,False,False,False,100,False,False,False,False
96,UKIP Ex-chat,4,./data/test/./281.txt,2,3,False,100,0,100,100,False,False,False,100,False,False,False,False
97,Gilligan Labour,115,./data/test/./297.txt,2,114,False,100,0,3,0,False,False,False,100,False,False,False,False
98,Lib Dem,333,./data/test/./283.txt,2,332,False,2,1,1,1,False,False,False,100,True,False,False,False
99,NHS Labour,67,./data/test/./122.txt,2,66,False,100,0,1,3,False,False,False,100,False,False,False,False
100,Dr John,390,./data/test/./122.txt,2,389,False,3,100,1,1,True,False,False,100,False,False,True,False
101,UK. Meanwhile,482,./data/test/./122.txt,2,481,False,2,0,1,100,False,False,False,100,False,False,True,False
102,Constable Alastair,519,./data/test/./137.txt,2,518,False,4,100,4,1,False,False,False,1,False,False,True,False
103,Police Officers,526,./data/test/./137.txt,2,525,False,100,100,2,1,False,False,False,1,False,False,True,False
104,Age Concern,214,./data/test/./043.txt,2,213,False,100,0,2,1,False,False,False,100,False,False,False,False
105,First Minister,433,./data/test/./094.txt,2,432,False,100,0,1,0,False,False,False,100,False,False,False,False
106,British Empire,53,./data/test/./286.txt,2,52,False,100,0,4,0,False,False,False,100,False,False,False,False
107,Mr Brown,153,./data/test/./251.txt,2,152,False,4,100,1,0,True,False,False,100,False,False,False,False
108,Mr Browns,174,./data/test/./251.txt,2,173,False,100,100,1,3,True,False,False,100,False,False,False,False
109,Jack Straw,577,./data/test/./251.txt,2,576,False,100,100,5,100,False,False,False,1,False,False,True,False
110,Prime Minister,585,./data/test/./251.txt,2,584,False,100,100,2,100,False,False,False,1,False,False,True,False
111,Mr Brown,601,./data/test/./251.txt,2,600,False,5,0,1,0,True,False,False,100,False,False,False,False
112,Next Fridays,151,./data/test/./084.txt,2,150,False,5,0,2,2,False,False,False,100,False,False,False,False
113,New Labour,39,./data/test/./052.txt,2,38,False,2,1,1,2,False,False,False,100,True,False,False,False
114,Carters White,94,./data/test/./052.txt,2,93,False,2,2,2,1,False,False,False,1,True,False,True,False
115,New Labour,146,./data/test/./085.txt,2,145,False,100,0,5,0,False,False,False,100,False,False,False,False
116,Mr Lewis,311,./data/test/./085.txt,2,310,False,100,100,4,1,True,False,False,100,False,False,True,False
117,Potato Council,319,./data/test/./085.txt,2,318,False,100,0,5,1,False,False,False,100,False,False,False,False
118,British Empire,51,./data/test/./125.txt,2,50,False,100,0,4,0,False,False,False,100,False,False,False,False
119,Robert Kilroy-Silk,90,./data/test/./125.txt,2,89,False,100,2,2,2,False,False,False,1,False,False,True,False
120,Mr Croucher,177,./data/test/./125.txt,2,176,False,2,0,2,1,True,False,False,100,False,False,False,False
121,Lord Chancellor,6,./data/test/./290.txt,2,5,False,100,0,1,0,True,False,False,100,False,False,True,False
122,Mr Forsyth,3824,./data/test/./290.txt,2,3823,False,1,100,100,1,True,False,False,100,False,False,True,False
123,Mr Forsyth/,3848,./data/test/./290.txt,2,3847,False,100,100,100,3,True,False,False,100,False,False,True,False
124,However Mr Johnson,149,./data/test/./075.txt,3,147,False,2,1,2,0,False,False,False,100,False,True,False,False
125,Lord Dubs Succession,23,./data/test/./266.txt,3,21,False,5,0,4,0,True,False,False,100,False,False,False,False
126,Mr Afzal Mr,413,./data/test/./148.txt,3,411,False,2,100,2,1,True,False,False,100,False,False,True,False
127,Mr Brown -,312,./data/test/./175.txt,3,310,False,1,2,1,0,True,False,False,100,False,False,False,False
128,Mr Nasty TV,65,./data/test/./013.txt,3,63,False,100,3,100,100,True,False,False,100,False,False,True,False
129,Gordon Brown Prior,159,./data/test/./037.txt,3,157,False,2,0,2,0,False,False,False,1,True,False,True,False
130,Mr Blair Following,316,./data/test/./280.txt,3,314,False,1,100,5,0,True,False,False,100,False,False,False,False
131,Mr Brown Labours,284,./data/test/./257.txt,3,282,False,3,2,1,100,True,False,False,100,False,False,False,False
132,Mr McConnell Margaret,127,./data/test/./094.txt,3,125,False,3,100,3,1,True,False,False,100,False,False,True,False
133,Mr Barber Public,95,./data/test/./084.txt,3,93,False,1,100,4,1,True,False,False,100,False,False,False,False
134,Carters White House,95,./data/test/./052.txt,3,93,False,2,1,2,0,False,False,False,1,True,False,True,False
