All-Words,end,filename,n-gram,start,classtype,PRE_DIST_VERB,POST_DIST_VERB,PRE_DIST_STOPWORD,POST_DIST_STOPWORD,PrecedingTitle,Apostrophe,PRE_DIST_FROM_THE,PRE_DIST_FROM_POSITION
Amos,155,./markedupfiles/289.txt,1,155,False,100,100,4,0,False,False,False,2
Baroness,157,./markedupfiles/289.txt,1,157,False,100,100,1,1,False,False,False,4
Royall,158,./markedupfiles/289.txt,1,158,False,100,100,2,0,False,False,False,5
Blaisdon,160,./markedupfiles/289.txt,1,160,False,100,3,1,0,False,False,False,100
Lord,177,./markedupfiles/289.txt,1,177,False,5,100,2,1,True,False,False,100
Kinnock,178,./markedupfiles/289.txt,1,178,False,100,100,3,0,False,False,False,100
Wales,190,./markedupfiles/289.txt,1,190,False,100,100,2,2,False,False,False,100
Born,192,./markedupfiles/289.txt,1,192,False,100,100,4,0,False,False,False,100
Tredegar,196,./markedupfiles/289.txt,1,196,False,100,0,3,0,False,False,False,100
Lewis,206,./markedupfiles/289.txt,1,206,True,100,100,2,2,False,False,False,100
Boys',207,./markedupfiles/289.txt,1,207,False,100,100,3,1,False,True,False,100
School,208,./markedupfiles/289.txt,1,208,False,100,3,4,0,False,False,False,100
Pengam,211,./markedupfiles/289.txt,1,211,False,100,0,2,1,False,False,False,100
"""Eton",216,./markedupfiles/289.txt,1,216,False,4,100,1,0,False,False,False,100
From,220,./markedupfiles/289.txt,1,220,False,100,2,5,0,False,False,False,100
Cardiff,225,./markedupfiles/289.txt,1,225,False,1,3,1,1,False,False,False,100
University,226,./markedupfiles/289.txt,1,226,False,2,2,2,0,False,False,False,100
Glenys,233,./markedupfiles/289.txt,1,233,True,4,100,3,0,False,False,False,100
Labour,236,./markedupfiles/289.txt,1,236,False,100,3,1,2,False,False,False,100
MEP.,237,./markedupfiles/289.txt,1,237,False,100,2,2,1,False,False,False,100
After,238,./markedupfiles/289.txt,1,238,False,100,1,3,0,False,False,False,100
Workers',247,./markedupfiles/289.txt,1,247,False,3,3,1,2,False,True,False,100
Educational,248,./markedupfiles/289.txt,1,248,False,4,2,2,1,False,False,False,100
Association,249,./markedupfiles/289.txt,1,249,False,5,1,3,0,False,False,False,100
Bedwellty,265,./markedupfiles/289.txt,1,265,False,100,100,1,100,False,False,False,100
Labour,280,./markedupfiles/289.txt,1,280,False,1,2,1,100,False,False,False,100
James,294,./markedupfiles/289.txt,1,294,False,2,100,1,3,False,False,False,100
Callaghan's,295,./markedupfiles/289.txt,1,295,False,3,100,2,2,False,True,False,100
But,297,./markedupfiles/289.txt,1,297,False,5,100,4,0,False,False,False,100
Labour's,307,./markedupfiles/289.txt,1,307,False,100,100,1,2,False,True,False,100
Militant,322,./markedupfiles/289.txt,1,322,False,4,2,2,1,False,False,False,100
Tendency,323,./markedupfiles/289.txt,1,323,False,5,1,3,0,False,False,False,100
Margaret,347,./markedupfiles/289.txt,1,347,False,5,1,1,1,False,False,False,100
Thatcher,348,./markedupfiles/289.txt,1,348,False,100,0,2,0,False,False,False,100
John,365,./markedupfiles/289.txt,1,365,False,1,100,1,1,False,False,False,100
Major,366,./markedupfiles/289.txt,1,366,False,2,100,2,0,False,False,False,100
European,381,./markedupfiles/289.txt,1,381,False,1,100,2,1,False,False,False,100
Four,385,./markedupfiles/289.txt,1,385,False,5,3,2,2,False,False,False,100
European,393,./markedupfiles/289.txt,1,393,False,4,100,1,1,False,False,False,100
Commission,394,./markedupfiles/289.txt,1,394,False,5,100,2,0,False,False,False,100
Lord,406,./markedupfiles/289.txt,1,406,False,100,2,1,1,True,False,False,100
Kinnock,407,./markedupfiles/289.txt,1,407,False,100,1,2,0,False,False,False,100
British,415,./markedupfiles/289.txt,1,415,False,4,100,1,1,False,False,False,100
Council,416,./markedupfiles/289.txt,1,416,False,5,100,2,0,False,False,False,100
UK's,420,./markedupfiles/289.txt,1,420,False,100,100,1,1,False,True,False,100
Howard,0,./markedupfiles/262.txt,1,0,True,100,100,100,2,False,False,False,100
Blair,2,./markedupfiles/262.txt,1,2,True,100,100,100,0,False,False,False,100
Tony,5,./markedupfiles/262.txt,1,5,False,100,100,2,2,False,False,False,100
Blair's,6,./markedupfiles/262.txt,1,6,False,100,100,3,1,False,True,False,100
Gordon,9,./markedupfiles/262.txt,1,9,False,100,1,1,1,False,False,False,100
Brown,10,./markedupfiles/262.txt,1,10,False,100,0,2,0,False,False,False,100
Tory,19,./markedupfiles/262.txt,1,19,False,2,3,2,3,False,False,False,100
Michael,21,./markedupfiles/262.txt,1,21,False,4,1,4,1,False,False,False,100
Howard,22,./markedupfiles/262.txt,1,22,False,5,0,5,0,False,False,False,100
Howard,32,./markedupfiles/262.txt,1,32,False,100,2,100,2,False,False,False,100
"""How",34,./markedupfiles/262.txt,1,34,False,100,0,100,0,False,False,False,100
That,45,./markedupfiles/262.txt,1,45,False,100,0,2,1,False,False,False,100
Tory,55,./markedupfiles/262.txt,1,55,False,100,100,2,100,False,False,False,100
But,58,./markedupfiles/262.txt,1,58,False,100,100,5,3,False,False,False,100
Blair,60,./markedupfiles/262.txt,1,60,False,100,100,100,1,False,False,False,100
Labour.,82,./markedupfiles/262.txt,1,82,False,100,1,1,1,False,False,False,100
"""He",83,./markedupfiles/262.txt,1,83,False,100,0,2,0,False,False,False,100
The,122,./markedupfiles/262.txt,1,122,False,100,1,5,1,False,False,False,100
Africa,131,./markedupfiles/262.txt,1,131,False,2,0,1,0,False,False,False,100
But,137,./markedupfiles/262.txt,1,137,False,5,100,5,0,False,False,False,100
Blair,147,./markedupfiles/262.txt,1,147,False,100,2,4,2,False,False,False,100
Brown's,157,./markedupfiles/262.txt,1,157,True,100,100,3,1,False,True,False,100
Britain,158,./markedupfiles/262.txt,1,158,False,100,3,4,0,False,False,False,100
Robert,160,./markedupfiles/262.txt,1,160,False,100,1,1,2,False,False,False,100
Peston,161,./markedupfiles/262.txt,1,161,False,100,0,2,1,False,False,False,100
Blair,174,./markedupfiles/262.txt,1,174,False,100,0,100,1,False,False,False,100
November,177,./markedupfiles/262.txt,1,177,False,2,2,1,1,False,False,False,100
But,190,./markedupfiles/262.txt,1,190,False,100,1,3,0,False,False,False,100
Cabinet,200,./markedupfiles/262.txt,1,200,False,2,100,1,1,False,False,False,100
Brown,206,./markedupfiles/262.txt,1,206,False,100,0,2,0,False,False,False,100
Peston's,214,./markedupfiles/262.txt,1,214,False,100,0,3,2,False,True,False,100
Brown,219,./markedupfiles/262.txt,1,219,False,3,0,2,100,False,False,False,100
Blair,222,./markedupfiles/262.txt,1,222,False,2,1,5,1,False,False,False,100
"""There",223,./markedupfiles/262.txt,1,223,False,3,0,100,0,False,False,False,100
Blair,239,./markedupfiles/262.txt,1,239,False,4,100,100,2,False,False,False,100
Wednesday.,245,./markedupfiles/262.txt,1,245,False,100,100,1,1,False,False,False,100
The,271,./markedupfiles/262.txt,1,271,False,2,100,2,3,False,False,False,100
Tory,272,./markedupfiles/262.txt,1,272,False,3,100,3,2,False,False,False,100
"""He",289,./markedupfiles/262.txt,1,289,False,100,0,4,0,False,False,False,100
"""How",308,./markedupfiles/262.txt,1,308,False,100,0,5,0,False,False,False,100
Blair,337,./markedupfiles/262.txt,1,337,False,100,0,3,1,False,False,False,100
"""tittle",344,./markedupfiles/262.txt,1,344,False,1,100,1,1,False,False,False,100
Labour's,352,./markedupfiles/262.txt,1,352,False,2,0,2,1,False,True,False,100
"""from",363,./markedupfiles/262.txt,1,363,False,100,100,4,0,False,False,False,100
Later,368,./markedupfiles/262.txt,1,368,False,100,3,3,0,False,False,False,100
Tory,373,./markedupfiles/262.txt,1,373,False,1,3,3,100,False,False,False,100
Liam,375,./markedupfiles/262.txt,1,375,False,3,1,5,2,False,False,False,100
Fox,376,./markedupfiles/262.txt,1,376,False,4,0,100,1,False,False,False,100
"""juvenile""",386,./markedupfiles/262.txt,1,386,False,2,100,1,0,False,False,False,100
Labour,393,./markedupfiles/262.txt,1,393,False,100,2,3,1,False,False,False,100
Tuesday,405,./markedupfiles/262.txt,1,405,False,2,3,1,0,False,False,False,100
Brown,408,./markedupfiles/262.txt,1,408,False,5,0,2,0,False,False,False,100
Alan,412,./markedupfiles/262.txt,1,412,False,3,100,1,1,False,False,False,100
Milburn,413,./markedupfiles/262.txt,1,413,False,4,100,2,0,False,False,False,100
Blair,416,./markedupfiles/262.txt,1,416,False,100,1,2,2,False,False,False,100
But,429,./markedupfiles/262.txt,1,429,False,4,100,2,100,False,False,False,100
Liberal,430,./markedupfiles/262.txt,1,430,False,5,100,3,100,False,False,False,100
Democrat,431,./markedupfiles/262.txt,1,431,False,100,3,4,100,False,False,False,100
Charles,433,./markedupfiles/262.txt,1,433,False,100,1,100,100,False,False,False,100
Kennedy,434,./markedupfiles/262.txt,1,434,False,100,0,100,100,False,False,False,100
BBC,436,./markedupfiles/262.txt,1,436,False,1,3,100,3,False,False,False,100
News,437,./markedupfiles/262.txt,1,437,False,2,2,100,2,False,False,False,100
"""The",438,./markedupfiles/262.txt,1,438,False,3,1,100,1,False,False,False,100
This,446,./markedupfiles/262.txt,1,446,False,4,100,2,1,False,False,False,100
Later,455,./markedupfiles/262.txt,1,455,False,4,100,3,0,False,False,False,100
Blair,459,./markedupfiles/262.txt,1,459,False,100,0,3,0,False,False,False,100
The,472,./markedupfiles/262.txt,1,472,False,100,100,5,2,False,False,False,100
Monday's,481,./markedupfiles/262.txt,1,481,False,4,100,1,1,False,True,False,100
Parliamentary,485,./markedupfiles/262.txt,1,485,False,100,100,1,2,False,False,False,100
Labour,486,./markedupfiles/262.txt,1,486,False,100,3,2,1,False,False,False,100
Party,487,./markedupfiles/262.txt,1,487,False,100,2,3,0,False,False,False,100
Peston's,492,./markedupfiles/262.txt,1,492,False,2,100,4,100,False,True,False,100
Donor,0,./markedupfiles/276.txt,1,0,False,100,100,100,100,False,False,False,100
Blair-Brown,2,./markedupfiles/276.txt,1,2,True,100,100,100,100,False,False,False,100
'feud',3,./markedupfiles/276.txt,1,3,False,100,100,100,3,False,True,False,100
The,4,./markedupfiles/276.txt,1,4,False,100,100,100,2,False,False,False,100
Tony,8,./markedupfiles/276.txt,1,8,False,100,100,1,1,False,False,False,100
Blair,9,./markedupfiles/276.txt,1,9,False,100,3,2,0,False,False,False,100
Gordon,11,./markedupfiles/276.txt,1,11,False,100,1,1,1,False,False,False,100
Brown,12,./markedupfiles/276.txt,1,12,False,100,0,2,0,False,False,False,100
Labour,16,./markedupfiles/276.txt,1,16,False,3,1,1,1,False,False,False,100
Duncan,29,./markedupfiles/276.txt,1,29,False,3,100,2,3,False,False,False,100
Bannatyne,30,./markedupfiles/276.txt,1,30,False,4,100,3,2,False,False,False,100
Iraq,36,./markedupfiles/276.txt,1,36,False,100,100,1,0,False,False,False,100
"""poor""",39,./markedupfiles/276.txt,1,39,False,100,1,1,1,False,False,False,100
Asian,43,./markedupfiles/276.txt,1,43,False,2,100,1,100,False,False,False,100
His,46,./markedupfiles/276.txt,1,46,False,5,1,4,2,False,False,False,100
Secretary,51,./markedupfiles/276.txt,1,51,False,3,2,2,3,False,False,False,100
Robin,52,./markedupfiles/276.txt,1,52,False,4,1,3,2,False,False,False,1
Cook,53,./markedupfiles/276.txt,1,53,False,5,0,4,1,False,False,False,2
Brown,58,./markedupfiles/276.txt,1,58,False,4,0,3,1,False,False,False,100
Bannatyne,66,./markedupfiles/276.txt,1,66,False,100,0,3,0,False,False,False,100
Labour,70,./markedupfiles/276.txt,1,70,False,1,2,3,3,False,False,False,100
The,82,./markedupfiles/276.txt,1,82,False,5,3,3,1,False,False,False,100
Tuesday,85,./markedupfiles/276.txt,1,85,False,100,0,1,1,False,False,False,100
Cabinet,95,./markedupfiles/276.txt,1,95,False,100,100,1,1,False,False,False,100
His,100,./markedupfiles/276.txt,1,100,False,100,1,3,2,False,False,False,100
Labour,110,./markedupfiles/276.txt,1,110,False,1,100,3,0,False,False,False,100
Conservatives.,123,./markedupfiles/276.txt,1,123,False,100,3,1,100,False,False,False,100
Robert,124,./markedupfiles/276.txt,1,124,False,100,2,2,3,False,False,False,100
Peston's,125,./markedupfiles/276.txt,1,125,False,100,1,3,2,False,True,False,100
Blair-Brown,134,./markedupfiles/276.txt,1,134,True,100,100,1,1,False,False,False,100
Bannatyne,153,./markedupfiles/276.txt,1,153,False,3,100,4,2,False,False,False,100
"""Disunity",155,./markedupfiles/276.txt,1,155,False,5,3,100,0,False,False,False,100
Cabinet,158,./markedupfiles/276.txt,1,158,False,100,0,1,0,False,False,False,100
"""Gordon",166,./markedupfiles/276.txt,1,166,False,100,1,2,1,False,False,False,100
Brown,167,./markedupfiles/276.txt,1,167,False,100,0,3,0,False,False,False,100
The,197,./markedupfiles/276.txt,1,197,False,100,100,3,100,False,False,False,100
Newcastle,206,./markedupfiles/276.txt,1,206,False,4,2,1,3,False,False,False,100
Iraq.,215,./markedupfiles/276.txt,1,215,False,100,100,1,1,False,False,False,100
And,216,./markedupfiles/276.txt,1,216,False,100,100,2,0,False,False,False,100
"""piecemeal",227,./markedupfiles/276.txt,1,227,False,4,100,1,0,False,False,False,100
"""The",230,./markedupfiles/276.txt,1,230,False,100,100,2,1,False,False,False,100
"""The",243,./markedupfiles/276.txt,1,243,False,100,1,2,1,False,False,False,100
British,256,./markedupfiles/276.txt,1,256,False,2,2,2,2,False,False,False,100
Navy,257,./markedupfiles/276.txt,1,257,False,3,1,3,1,False,False,False,100
Bannatyne,283,./markedupfiles/276.txt,1,283,False,100,0,3,0,False,False,False,100
Dragon's,301,./markedupfiles/276.txt,1,301,False,100,100,5,2,False,True,False,100
Den.,302,./markedupfiles/276.txt,1,302,False,100,100,100,1,False,False,False,100
But,303,./markedupfiles/276.txt,1,303,False,100,100,100,0,False,False,False,100
Labour,310,./markedupfiles/276.txt,1,310,False,100,0,1,0,False,False,False,100
Robin,320,./markedupfiles/276.txt,1,320,False,2,1,3,2,False,False,False,100
Cook,321,./markedupfiles/276.txt,1,321,False,3,0,4,1,False,False,False,100
Brown's,327,./markedupfiles/276.txt,1,327,False,2,100,2,3,False,True,False,100
Labour's,344,./markedupfiles/276.txt,1,344,False,1,100,1,2,False,True,False,100
But,346,./markedupfiles/276.txt,1,346,False,3,100,3,0,False,False,False,100
Blair,354,./markedupfiles/276.txt,1,354,False,100,3,2,0,False,False,False,100
Brown,357,./markedupfiles/276.txt,1,357,False,100,0,2,0,False,False,False,100
"""perceived",360,./markedupfiles/276.txt,1,360,False,2,100,1,0,False,False,False,100
Cook,376,./markedupfiles/276.txt,1,376,False,100,0,4,1,False,False,False,100
"""not",389,./markedupfiles/276.txt,1,389,False,1,100,1,0,False,False,False,100
"""Abstentions",401,./markedupfiles/276.txt,1,401,False,100,1,5,1,False,False,False,100
"Party""",402,./markedupfiles/276.txt,1,402,False,100,0,2,0,False,False,False,100
Labour,408,./markedupfiles/276.txt,1,408,False,1,3,1,1,False,False,False,100
Blair's,418,./markedupfiles/276.txt,1,418,False,3,0,2,1,False,True,False,100
"""unremittingly",423,./markedupfiles/276.txt,1,423,False,2,100,1,100,False,False,False,100
New,424,./markedupfiles/276.txt,1,424,False,3,100,2,100,False,False,False,100
"Labour""",425,./markedupfiles/276.txt,1,425,False,4,100,3,100,False,False,False,100
His,428,./markedupfiles/276.txt,1,428,False,100,1,100,2,False,False,False,100
Dave,432,./markedupfiles/276.txt,1,432,False,2,100,1,1,False,False,False,100
Prentis,433,./markedupfiles/276.txt,1,433,False,3,100,2,0,False,False,False,100
Britain's,437,./markedupfiles/276.txt,1,437,False,100,3,1,100,False,True,False,100
Unison,440,./markedupfiles/276.txt,1,440,False,100,0,4,1,False,False,False,100
Daily,443,./markedupfiles/276.txt,1,443,False,2,100,1,2,False,False,False,100
Record,444,./markedupfiles/276.txt,1,444,False,3,100,2,1,False,False,False,100
Blair,455,./markedupfiles/276.txt,1,455,False,3,0,2,0,False,False,False,100
Labour,460,./markedupfiles/276.txt,1,460,False,2,100,1,100,False,False,False,100
Cardinal,0,./markedupfiles/060.txt,1,0,False,100,3,100,100,False,False,False,100
Iraq,2,./markedupfiles/060.txt,1,2,False,100,1,100,3,False,False,False,100
Billions,5,./markedupfiles/060.txt,1,5,False,1,2,100,0,False,False,False,100
Iraq,12,./markedupfiles/060.txt,1,12,False,4,100,1,0,False,False,False,100
Middle,16,./markedupfiles/060.txt,1,16,False,100,1,1,1,False,False,False,100
East,17,./markedupfiles/060.txt,1,17,False,100,0,2,0,False,False,False,100
Cardinal,25,./markedupfiles/060.txt,1,25,False,2,2,3,2,False,False,False,100
Cormac,26,./markedupfiles/060.txt,1,26,False,3,1,4,1,False,False,False,100
Murphy-O'Connor,27,./markedupfiles/060.txt,1,27,False,4,0,5,0,False,False,False,100
The,30,./markedupfiles/060.txt,1,30,False,2,0,2,1,False,False,False,100
Catholic,34,./markedupfiles/060.txt,1,34,False,3,100,1,1,False,False,False,100
Church,35,./markedupfiles/060.txt,1,35,False,4,100,2,0,False,False,False,100
England,37,./markedupfiles/060.txt,1,37,False,100,2,1,0,False,False,False,100
Wales,39,./markedupfiles/060.txt,1,39,False,100,0,1,1,False,False,False,100
BBC,44,./markedupfiles/060.txt,1,44,False,4,3,1,2,False,False,False,100
Radio,45,./markedupfiles/060.txt,1,45,False,5,2,2,1,False,False,False,100
Christmas,54,./markedupfiles/060.txt,1,54,False,100,100,4,100,False,False,False,100
Midnight,55,./markedupfiles/060.txt,1,55,False,100,100,5,100,False,False,False,100
Mass.,56,./markedupfiles/060.txt,1,56,False,100,100,3,3,False,False,False,100
The,57,./markedupfiles/060.txt,1,57,False,100,100,4,2,False,False,False,100
Christmas,61,./markedupfiles/060.txt,1,61,False,100,1,1,1,False,False,False,100
Iraq,68,./markedupfiles/060.txt,1,68,False,5,3,1,0,False,False,False,100
"""terrible""",71,./markedupfiles/060.txt,1,71,False,100,0,1,1,False,False,False,100
Archbishop,78,./markedupfiles/060.txt,1,78,False,100,2,1,0,False,False,False,100
Canterbury,80,./markedupfiles/060.txt,1,80,False,100,0,1,0,False,False,False,2
Speaking,88,./markedupfiles/060.txt,1,88,False,5,100,2,0,False,False,False,100
BBC,90,./markedupfiles/060.txt,1,90,False,100,100,1,3,False,False,False,100
Radio,91,./markedupfiles/060.txt,1,91,False,100,100,2,2,False,False,False,100
Thought,93,./markedupfiles/060.txt,1,93,False,100,100,4,0,False,False,False,100
Day,96,./markedupfiles/060.txt,1,96,False,100,100,1,1,False,False,False,100
"""billions""",103,./markedupfiles/060.txt,1,103,False,100,0,1,0,False,False,False,100
"""out",116,./markedupfiles/060.txt,1,116,False,2,100,3,0,False,False,False,100
The,124,./markedupfiles/060.txt,1,124,False,100,1,4,3,False,False,False,100
"""make",135,./markedupfiles/060.txt,1,135,False,1,100,1,100,False,False,False,100
"""If",140,./markedupfiles/060.txt,1,140,False,100,100,100,0,False,False,False,100
The,188,./markedupfiles/060.txt,1,188,False,5,1,3,1,False,False,False,100
Friday,197,./markedupfiles/060.txt,1,197,False,100,3,5,1,False,False,False,100
Westminster,208,./markedupfiles/060.txt,1,208,False,100,3,1,1,False,False,False,100
Cathedral,209,./markedupfiles/060.txt,1,209,False,100,2,2,0,False,False,False,100
"""worth",213,./markedupfiles/060.txt,1,213,False,1,100,1,100,False,False,False,100
"""How",217,./markedupfiles/060.txt,1,217,False,5,0,5,0,False,False,False,100
"""How",229,./markedupfiles/060.txt,1,229,False,2,0,2,0,False,False,False,100
Iraq,237,./markedupfiles/060.txt,1,237,False,3,100,1,1,False,False,False,100
Holy,241,./markedupfiles/060.txt,1,241,False,100,100,1,1,False,False,False,100
Land,242,./markedupfiles/060.txt,1,242,False,100,100,2,0,False,False,False,100
"""How",265,./markedupfiles/060.txt,1,265,False,2,0,3,0,False,False,False,100
Christmas,271,./markedupfiles/060.txt,1,271,False,5,100,2,0,False,False,False,100
Christians,275,./markedupfiles/060.txt,1,275,False,100,100,2,0,False,False,False,100
Iraq,277,./markedupfiles/060.txt,1,277,False,100,100,1,0,False,False,False,100
Holy,281,./markedupfiles/060.txt,1,281,False,100,0,1,1,False,False,False,100
Land,282,./markedupfiles/060.txt,1,282,False,100,3,2,0,False,False,False,100
Africa,288,./markedupfiles/060.txt,1,288,False,2,100,1,1,False,False,False,100
Both,307,./markedupfiles/060.txt,1,307,False,3,100,2,0,False,False,False,100
Cardinal,309,./markedupfiles/060.txt,1,309,False,5,100,1,0,False,False,False,100
Archbishop,311,./markedupfiles/060.txt,1,311,False,100,100,1,0,False,False,False,100
Canterbury,313,./markedupfiles/060.txt,1,313,False,100,100,1,100,False,False,False,2
Rowan,315,./markedupfiles/060.txt,1,315,False,100,100,3,2,False,False,False,4
Williams,316,./markedupfiles/060.txt,1,316,False,100,100,4,1,False,False,False,5
Iraq,328,./markedupfiles/060.txt,1,328,False,2,100,1,0,False,False,False,100
Williams,334,./markedupfiles/060.txt,1,334,False,100,0,4,0,False,False,False,100
Friday,362,./markedupfiles/060.txt,1,362,False,100,2,4,0,False,False,False,100
Cardinal,364,./markedupfiles/060.txt,1,364,False,100,0,1,0,False,False,False,100
"""It",373,./markedupfiles/060.txt,1,373,False,3,0,2,0,False,False,False,100
Our,390,./markedupfiles/060.txt,1,390,False,2,2,4,1,False,False,False,100
Downing,423,./markedupfiles/060.txt,1,423,False,1,1,100,1,False,False,False,100
Street,424,./markedupfiles/060.txt,1,424,False,2,0,100,0,False,False,False,100
But,430,./markedupfiles/060.txt,1,430,False,2,100,2,100,False,False,False,100
Prime,431,./markedupfiles/060.txt,1,431,False,3,3,3,3,False,False,False,100
Minister,432,./markedupfiles/060.txt,1,432,False,4,2,4,2,False,False,False,100
Tony,433,./markedupfiles/060.txt,1,433,False,5,1,5,1,False,False,False,1
Blair,434,./markedupfiles/060.txt,1,434,False,100,0,100,0,False,False,False,2
Africa,440,./markedupfiles/060.txt,1,440,False,1,100,2,0,False,False,False,100
Britain,448,./markedupfiles/060.txt,1,448,False,100,100,1,1,False,False,False,100
BNP,0,./markedupfiles/074.txt,1,0,False,100,100,100,100,False,False,False,100
Nick,2,./markedupfiles/074.txt,1,2,False,100,100,100,100,False,False,False,100
Griffin,3,./markedupfiles/074.txt,1,3,False,100,100,100,3,False,False,False,100
The,5,./markedupfiles/074.txt,1,5,False,100,100,100,1,False,False,False,100
British,9,./markedupfiles/074.txt,1,9,False,100,2,1,2,False,False,False,100
National,10,./markedupfiles/074.txt,1,10,False,100,1,2,1,False,False,False,100
Party,11,./markedupfiles/074.txt,1,11,False,100,0,3,0,False,False,False,100
BBC,26,./markedupfiles/074.txt,1,26,False,100,100,1,100,False,False,False,100
Nick,32,./markedupfiles/074.txt,1,32,False,1,1,100,1,False,False,False,100
Griffin,33,./markedupfiles/074.txt,1,33,False,2,0,100,0,False,False,False,100
Tuesday,37,./markedupfiles/074.txt,1,37,False,3,100,1,1,False,False,False,100
West,47,./markedupfiles/074.txt,1,47,False,4,100,4,3,False,False,False,100
Yorkshire,48,./markedupfiles/074.txt,1,48,False,5,3,5,2,False,False,False,100
BNP,61,./markedupfiles/074.txt,1,61,False,5,100,2,100,False,False,False,100
John,64,./markedupfiles/074.txt,1,64,False,100,1,5,1,False,False,False,100
Tyndall,65,./markedupfiles/074.txt,1,65,False,100,0,100,0,False,False,False,100
Sunday,69,./markedupfiles/074.txt,1,69,False,3,100,1,0,False,False,False,100
July,75,./markedupfiles/074.txt,1,75,False,100,100,3,0,False,False,False,100
BBC,77,./markedupfiles/074.txt,1,77,False,100,100,1,100,False,False,False,100
Secret,79,./markedupfiles/074.txt,1,79,False,100,100,3,100,False,False,False,100
Agent,80,./markedupfiles/074.txt,1,80,False,100,100,4,3,False,False,False,100
BNP,85,./markedupfiles/074.txt,1,85,False,100,3,1,3,False,False,False,100
Griffin,88,./markedupfiles/074.txt,1,88,False,100,0,4,0,False,False,False,100
Nine,99,./markedupfiles/074.txt,1,99,False,5,100,2,1,False,False,False,100
West,102,./markedupfiles/074.txt,1,102,False,100,3,1,1,False,False,False,100
Yorkshire,103,./markedupfiles/074.txt,1,103,False,100,2,2,0,False,False,False,100
Leicester,108,./markedupfiles/074.txt,1,108,False,2,0,1,0,False,False,False,100
Seven,116,./markedupfiles/074.txt,1,116,False,100,3,2,0,False,False,False,100
Two,143,./markedupfiles/074.txt,1,143,False,100,100,2,1,False,False,False,100
Keighley,147,./markedupfiles/074.txt,1,147,False,100,0,1,0,False,False,False,100
September,151,./markedupfiles/074.txt,1,151,False,3,100,1,0,False,False,False,100
Leicester,164,./markedupfiles/074.txt,1,164,False,2,0,1,0,False,False,False,100
Monday,168,./markedupfiles/074.txt,1,168,False,3,100,1,0,False,False,False,100
BNP,178,./markedupfiles/074.txt,1,178,False,5,1,5,100,False,False,False,100
Tyndall,182,./markedupfiles/074.txt,1,182,False,2,2,100,0,False,False,False,100
Brighton,184,./markedupfiles/074.txt,1,184,False,4,0,1,0,False,False,False,100
Burnley,193,./markedupfiles/074.txt,1,193,False,2,2,1,1,False,False,False,100
