,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
25,Lucy,34,./data/train/./113.txt,1,34,True,100,100,3,2,False,False,False,100,False,False,False,False
26,Lucys,74,./data/train/./113.txt,1,74,True,100,1,3,2,False,False,False,100,True,False,True,False
27,Lucy,98,./data/train/./113.txt,1,98,True,100,0,1,1,False,False,False,100,False,False,False,False
28,Lucys,187,./data/train/./113.txt,1,187,True,100,2,100,2,False,False,False,100,False,False,False,False
29,Lucy,218,./data/train/./113.txt,1,218,True,1,100,2,0,False,False,False,100,False,False,False,False
30,Lucy,283,./data/train/./113.txt,1,283,True,5,1,2,0,False,False,False,100,False,True,False,False
31,Maggie,311,./data/train/./113.txt,1,311,True,3,0,2,0,False,False,False,100,False,False,False,False
32,Emily,320,./data/train/./113.txt,1,320,True,100,100,3,1,False,False,False,100,False,False,False,False
33,Pelham,323,./data/train/./113.txt,1,323,True,100,1,1,1,False,False,False,100,False,False,False,False
34,Scott-Joynt,381,./data/train/./073.txt,1,381,True,100,100,100,100,False,False,False,100,False,False,True,False
35,Jim,154,./data/train/./098.txt,1,154,True,100,100,4,0,False,False,False,100,False,False,False,False
36,Frost,112,./data/train/./271.txt,1,112,True,5,100,1,2,False,False,False,100,False,False,False,False
37,Morris,41,./data/train/./267.txt,1,41,True,100,0,100,0,False,False,False,100,False,False,True,False
38,Morris,105,./data/train/./267.txt,1,105,True,100,1,1,0,False,False,False,100,True,False,False,False
39,Blair,0,./data/train/./064.txt,1,0,True,100,3,100,100,False,False,False,100,False,False,False,False
40,Kennedy,0,./data/train/./272.txt,1,0,True,100,1,100,1,False,False,False,100,False,False,False,False
41,Howard,0,./data/train/./201.txt,1,0,True,100,2,100,100,False,False,False,100,False,False,False,False
42,Kinnock,0,./data/train/./163.txt,1,0,True,100,0,100,0,False,False,False,100,False,False,False,False
43,Jennifer,514,./data/train/./406.txt,1,514,True,100,100,4,1,False,False,False,100,True,False,False,False
44,John,540,./data/train/./406.txt,1,540,True,4,100,3,1,False,False,False,100,True,False,False,False
45,Blair,0,./data/train/./189.txt,1,0,True,100,3,100,2,False,False,False,100,False,False,False,False
46,Bush,2,./data/train/./189.txt,1,2,True,100,1,100,0,False,False,False,100,False,False,False,False
47,Bush,508,./data/train/./189.txt,1,508,True,2,0,2,0,False,False,False,1,True,False,True,False
48,James,227,./data/train/./228.txt,1,227,True,2,0,3,100,False,False,False,100,True,False,False,False
49,Joseph,473,./data/train/./214.txt,1,473,True,100,0,2,1,False,False,False,100,False,True,False,False
50,Mallon,0,./data/train/./200.txt,1,0,True,100,100,100,1,False,False,False,100,False,False,False,False
51,Tory,357,./data/train/./200.txt,1,357,True,100,0,5,100,False,False,False,100,False,False,True,False
52,Blair,0,./data/train/./014.txt,1,0,True,100,100,100,100,False,False,False,100,False,False,False,False
53,Ferguson,177,./data/train/./174.txt,1,177,True,100,2,1,0,False,False,False,100,False,True,False,False
54,Fergusons,203,./data/train/./174.txt,1,203,True,100,0,1,1,False,False,False,100,False,False,False,False
55,Ferguson,334,./data/train/./174.txt,1,334,True,1,3,5,1,False,False,False,100,False,False,False,False
56,Ferguson,554,./data/train/./174.txt,1,554,True,3,3,2,0,False,False,False,100,False,True,False,False
57,Ferguson,611,./data/train/./174.txt,1,611,True,100,0,3,0,False,False,False,100,True,False,False,False
58,Ferguson,660,./data/train/./174.txt,1,660,True,4,100,1,100,False,False,False,100,False,False,False,False
59,Ferguson,669,./data/train/./174.txt,1,669,True,100,0,2,0,False,False,False,100,False,False,False,False
60,Blair,0,./data/train/./149.txt,1,0,True,100,100,100,1,False,False,False,100,False,False,False,False
61,Hitler,0,./data/train/./039.txt,1,0,True,100,100,100,1,False,False,False,100,False,False,False,False
62,Hitlers,67,./data/train/./039.txt,1,67,True,1,100,1,100,False,False,False,100,True,False,True,False
63,Bolshevik,263,./data/train/./039.txt,1,263,True,1,100,1,1,False,False,False,100,False,False,True,False
64,Hitlers,266,./data/train/./039.txt,1,266,True,4,100,1,1,False,False,False,100,False,False,True,False
65,Sandra,10,./data/train/./011.txt,1,10,True,100,0,100,0,False,False,False,100,False,False,False,False
66,Michael,66,./data/train/./011.txt,1,66,True,100,0,100,0,False,False,False,100,False,False,False,False
67,Sandra,182,./data/train/./011.txt,1,182,True,100,0,100,0,False,False,False,100,False,False,False,False
68,Michael,188,./data/train/./011.txt,1,188,True,3,100,1,0,False,False,False,100,False,False,False,False
69,Brown,0,./data/train/./005.txt,1,0,True,100,100,100,100,False,False,False,100,False,False,False,False
70,Blair,0,./data/train/./401.txt,1,0,True,100,1,100,1,False,False,False,100,False,False,False,False
71,McConnell,0,./data/train/./164.txt,1,0,True,100,2,100,100,False,False,False,100,False,False,False,False
72,Scots,2,./data/train/./164.txt,1,2,True,100,0,100,100,False,False,False,100,False,False,False,False
73,Stephenson,272,./data/train/./164.txt,1,272,True,100,0,5,1,False,False,False,100,True,False,True,False
74,Brown,3,./data/train/./158.txt,1,3,True,100,0,100,100,False,False,False,100,False,False,False,False
75,Conlon,70,./data/train/./012.txt,1,70,True,4,100,1,0,False,False,False,100,False,False,False,False
76,Maguire,72,./data/train/./012.txt,1,72,True,100,100,1,1,False,False,False,100,False,False,False,False
77,Giuseppe,281,./data/train/./012.txt,1,281,True,100,0,100,0,False,False,False,100,False,False,False,False
78,Giuseppe,317,./data/train/./012.txt,1,317,True,5,1,1,1,False,False,False,100,False,False,False,False
79,Blunkett,0,./data/train/./166.txt,1,0,True,100,0,100,1,False,False,False,100,False,False,False,False
80,Napier,49,./data/train/./173.txt,1,49,True,100,0,3,1,False,False,False,100,True,False,True,False
81,Napier,142,./data/train/./173.txt,1,142,True,3,100,5,1,False,False,False,100,True,False,False,False
82,Napier,170,./data/train/./173.txt,1,170,True,100,100,2,0,False,False,False,100,False,False,False,False
83,Fox,0,./data/train/./007.txt,1,0,True,100,100,100,100,False,False,False,100,False,False,False,False
84,Blairs,2,./data/train/./007.txt,1,2,True,100,100,100,100,False,False,False,100,False,False,True,False
85,Tutus,0,./data/train/./205.txt,1,0,True,100,100,100,100,False,False,False,100,False,False,True,False
86,Tutu,83,./data/train/./205.txt,1,83,True,100,0,3,100,False,False,False,1,True,False,True,False
87,Tutu,322,./data/train/./205.txt,1,322,True,100,100,5,1,False,False,False,1,False,False,True,False
88,Clarke,0,./data/train/./220.txt,1,0,True,100,2,100,100,False,False,False,100,False,False,False,False
89,Frost,170,./data/train/./220.txt,1,170,True,100,1,1,0,False,False,False,100,True,False,False,False
90,Blunkett,0,./data/train/./234.txt,1,0,True,100,100,100,100,False,False,False,100,False,False,False,False
91,Kennedy,5,./data/train/./036.txt,1,5,True,2,1,3,1,False,False,False,100,False,False,True,False
92,Falconer,0,./data/train/./180.txt,1,0,True,100,100,100,100,False,False,False,100,False,False,False,False
93,Clarke,0,./data/train/./221.txt,1,0,True,100,100,100,3,False,False,False,100,False,False,False,False
94,Campbell,0,./data/train/./009.txt,1,0,True,100,100,100,100,False,False,False,100,False,False,True,False
95,Campbell,347,./data/train/./009.txt,1,347,True,2,0,5,100,False,False,False,100,False,False,False,False
96,Howard,0,./data/train/./141.txt,1,0,True,100,1,100,2,False,False,False,100,False,False,False,False
97,Musharraf,21,./data/train/./155.txt,1,21,True,100,2,3,0,False,False,False,1,False,False,True,False
98,Musharraf,65,./data/train/./155.txt,1,65,True,2,1,4,2,False,False,False,1,False,False,True,False
99,Musharraf,99,./data/train/./155.txt,1,99,True,100,0,4,1,False,False,False,1,False,False,True,False
100,Musharrafs,276,./data/train/./155.txt,1,276,True,100,0,2,1,False,False,False,1,False,False,True,False
101,Musharraf,323,./data/train/./155.txt,1,323,True,100,0,3,2,False,False,False,1,True,False,True,False
102,Rwandan,3,./data/train/./140.txt,1,3,True,100,2,100,2,False,False,False,100,False,False,False,False
103,Rwandas,93,./data/train/./140.txt,1,93,True,3,100,1,1,False,False,False,100,False,False,False,False
104,Rwandas,150,./data/train/./140.txt,1,150,True,100,100,1,100,False,False,False,100,False,False,False,False
105,Blair,0,./data/train/./197.txt,1,0,True,100,100,100,2,False,False,False,100,False,False,False,False
106,Bushs,183,./data/train/./197.txt,1,183,True,100,1,3,1,False,False,False,1,True,False,True,False
107,Betty,218,./data/train/./008.txt,1,218,True,100,100,2,100,False,False,False,100,False,False,False,False
108,Betty,228,./data/train/./008.txt,1,228,True,4,100,3,0,False,False,False,100,False,False,False,False
109,Lovenduski,460,./data/train/./008.txt,1,460,True,3,100,4,2,False,False,False,100,False,False,True,False
110,Tomlinson,416,./data/train/./020.txt,1,416,True,4,100,1,1,False,False,False,100,False,False,False,False
111,Tomlinson,460,./data/train/./020.txt,1,460,True,3,1,1,1,False,False,False,100,False,False,False,False
112,Ken,3,./data/train/./232.txt,1,3,True,100,100,1,100,False,False,False,100,True,False,True,False
113,Ken,239,./data/train/./232.txt,1,239,True,100,2,1,0,False,False,False,100,False,False,False,False
114,Straw,0,./data/train/./018.txt,1,0,True,100,0,100,0,False,False,False,100,False,False,False,False
115,Jowell,0,./data/train/./187.txt,1,0,True,100,100,100,100,False,False,False,100,False,False,False,False
116,Tories,0,./data/train/./193.txt,1,0,True,100,100,100,100,False,False,False,100,False,False,False,False
117,Howard,0,./data/train/./408.txt,1,0,True,100,0,100,2,False,False,False,100,False,False,False,False
118,Fagin,160,./data/train/./408.txt,1,160,True,1,0,1,0,False,False,False,100,False,False,False,False
119,Shylock,162,./data/train/./408.txt,1,162,True,3,1,3,0,False,False,False,100,False,False,False,False
120,Blair,0,./data/train/./186.txt,1,0,True,100,0,100,2,False,False,False,100,False,False,False,False
121,Clarke,0,./data/train/./227.txt,1,0,True,100,100,100,100,False,False,False,100,False,False,False,False
122,Jamieson,0,./data/train/./219.txt,1,0,True,100,2,100,2,False,False,False,100,False,False,False,False
123,Woolf,0,./data/train/./231.txt,1,0,True,100,0,100,100,False,False,False,100,False,False,False,False
124,Blair,0,./data/train/./184.txt,1,0,True,100,100,100,100,False,False,False,100,False,False,False,False
125,Clarke,0,./data/train/./153.txt,1,0,True,100,0,100,0,False,False,False,100,False,False,False,False
126,Blair,0,./data/train/./026.txt,1,0,True,100,0,100,2,False,False,False,100,False,False,False,False
127,Lucy,600,./data/train/./041.txt,1,600,True,1,1,2,2,False,False,False,100,False,False,False,False
128,Lucy,613,./data/train/./041.txt,1,613,True,100,1,2,1,False,False,False,100,False,False,True,False
129,Sadie,619,./data/train/./041.txt,1,619,True,3,100,1,1,False,False,False,100,False,False,False,False
130,Kelly,0,./data/train/./055.txt,1,0,True,100,100,100,100,False,False,False,100,False,False,False,False
131,Tomlinson,430,./data/train/./055.txt,1,430,True,2,100,1,1,False,False,False,100,False,False,False,False
132,Tomlinson,468,./data/train/./055.txt,1,468,True,3,0,1,1,False,False,False,100,False,False,False,False
133,Blair,0,./data/train/./135.txt,1,0,True,100,0,100,100,False,False,False,100,False,False,False,False
134,Harry,3,./data/train/./120.txt,1,3,True,100,3,100,3,False,False,False,100,False,False,False,False
135,Harry,76,./data/train/./120.txt,1,76,True,3,0,1,0,False,False,False,100,False,False,False,False
136,Harry,114,./data/train/./120.txt,1,114,True,1,0,100,0,False,False,False,100,False,False,False,False
137,Harry,165,./data/train/./120.txt,1,165,True,3,2,1,0,False,False,False,100,False,False,False,False
138,Harry,290,./data/train/./120.txt,1,290,True,100,100,2,0,False,False,False,100,False,False,False,False
139,Straw,5,./data/train/./040.txt,1,5,True,100,2,3,2,False,False,False,100,True,False,False,False
140,Blair,0,./data/train/./295.txt,1,0,True,100,100,100,100,False,False,False,100,False,False,True,False
141,Blairs,141,./data/train/./295.txt,1,141,True,100,100,4,3,False,False,False,100,False,False,False,False
142,Milburn,4,./data/train/./268.txt,1,4,True,1,1,100,1,False,False,False,100,False,False,True,False
143,Brown,0,./data/train/./095.txt,1,0,True,100,0,100,2,False,False,False,100,False,False,False,False
144,Blair,4,./data/train/./095.txt,1,4,True,2,100,1,100,False,False,False,100,True,False,False,False
145,Straw,0,./data/train/./136.txt,1,0,True,100,100,100,1,False,False,False,100,False,False,False,False
146,Aynsley-Green,60,./data/train/./057.txt,1,60,True,100,0,3,0,False,False,False,100,False,False,True,False
147,Aynsley-Green,150,./data/train/./057.txt,1,150,True,2,0,100,2,False,False,False,5,False,False,True,False
148,Aynsley-Green,161,./data/train/./057.txt,1,161,True,100,0,4,0,False,False,False,100,False,False,True,False
149,Blair,0,./data/train/./282.txt,1,0,True,100,100,100,100,False,False,False,100,False,False,False,False
150,Archer,5,./data/train/./296.txt,1,5,True,4,3,1,0,False,False,False,100,False,False,True,False
151,Frost,36,./data/train/./296.txt,1,36,True,5,2,1,1,False,False,False,100,False,False,False,False
152,Nigel,450,./data/train/./292.txt,1,450,True,1,2,100,0,False,False,False,100,False,False,False,False
153,Robert,612,./data/train/./292.txt,1,612,True,100,0,100,0,False,False,False,4,False,False,False,False
154,Robert,634,./data/train/./292.txt,1,634,True,4,0,4,0,False,False,False,100,False,False,True,False
155,Brown,0,./data/train/./127.txt,1,0,True,100,0,100,0,False,False,False,100,False,False,False,False
156,Jowell,0,./data/train/./133.txt,1,0,True,100,100,100,100,False,False,False,100,False,False,False,False
157,Bush,1,./data/train/./126.txt,1,1,True,1,2,100,100,False,False,False,100,False,False,True,False
158,Blair,3,./data/train/./126.txt,1,3,True,3,0,100,100,False,False,False,100,False,False,False,False
159,Bushs,22,./data/train/./126.txt,1,22,True,100,2,2,2,False,False,False,1,False,False,True,False
160,Bush,248,./data/train/./126.txt,1,248,True,100,0,2,1,False,False,False,1,False,False,True,False
161,Bush,384,./data/train/./126.txt,1,384,True,100,100,4,0,False,False,False,1,False,False,True,False
162,Blair,0,./data/train/./046.txt,1,0,True,100,3,100,0,False,False,False,100,False,False,False,False
163,Blunkett,2,./data/train/./046.txt,1,2,True,100,1,1,100,False,False,False,100,False,False,True,False
164,Boothroyd,0,./data/train/./287.txt,1,0,True,100,100,100,1,False,False,False,100,False,False,False,False
165,Frost,137,./data/train/./287.txt,1,137,True,4,100,100,1,False,False,False,100,False,False,True,False
166,Kilroy,0,./data/train/./293.txt,1,0,True,100,100,100,100,False,False,False,100,False,False,False,False
167,Kilroy-Silk,610,./data/train/./293.txt,1,610,True,5,100,5,1,False,False,False,100,False,False,True,False
168,Kilroy-Silk,697,./data/train/./293.txt,1,697,True,100,100,4,0,False,False,False,100,True,False,True,False
169,Kilroy,803,./data/train/./293.txt,1,803,True,5,0,3,0,False,False,False,100,False,False,False,False
170,Kilroy,870,./data/train/./293.txt,1,870,True,100,1,1,100,False,False,False,100,False,False,True,False
171,Kilroy-Silk,936,./data/train/./293.txt,1,936,True,2,0,1,0,False,False,False,100,False,False,False,False
172,Kilroy-Silk,986,./data/train/./293.txt,1,986,True,2,0,1,2,False,False,False,100,False,False,False,False
173,Kilroy-Silks,1081,./data/train/./293.txt,1,1081,True,4,2,1,3,False,False,False,100,False,False,False,False
174,Kilroy-Silk,1176,./data/train/./293.txt,1,1176,True,4,100,4,0,False,False,False,100,False,False,False,False
175,Kilroy,1191,./data/train/./293.txt,1,1191,True,100,1,1,1,False,False,False,100,True,False,True,False
176,Kilroy-Silks,1414,./data/train/./293.txt,1,1414,True,100,100,1,100,False,False,False,100,False,False,True,False
177,Kilroy,1484,./data/train/./293.txt,1,1484,True,100,0,4,0,False,False,False,100,False,False,False,False
178,Kilroy,1542,./data/train/./293.txt,1,1542,True,100,2,1,2,False,False,False,100,True,False,True,False
179,Robert,1609,./data/train/./293.txt,1,1609,True,100,0,1,0,False,False,False,100,False,False,False,False
180,Kilroy-Silk,1658,./data/train/./293.txt,1,1658,True,100,100,1,0,False,False,False,100,False,False,False,False
181,Kilroy-Silk,1663,./data/train/./293.txt,1,1663,True,100,0,2,0,False,False,False,100,False,False,True,False
182,Kilroy-Silk,1696,./data/train/./293.txt,1,1696,True,2,100,1,2,False,False,False,100,False,False,True,False
183,Kilroy,1742,./data/train/./293.txt,1,1742,True,1,2,1,3,False,False,False,100,True,False,False,False
184,Kilroy,1943,./data/train/./293.txt,1,1943,True,4,0,1,0,False,False,False,100,False,False,False,False
185,Kilroy-Silk,1976,./data/train/./293.txt,1,1976,True,3,0,1,0,False,False,False,100,False,False,False,False
186,Kilroy-Silk,2060,./data/train/./293.txt,1,2060,True,1,1,1,1,False,False,False,100,False,False,True,False
187,Kilroy-Silk,2086,./data/train/./293.txt,1,2086,True,100,100,1,2,False,False,False,100,False,False,True,False
188,Kilroy-Silk,2129,./data/train/./293.txt,1,2129,True,100,100,1,1,False,False,False,100,False,False,True,False
189,Kilroy-Silk,2214,./data/train/./293.txt,1,2214,True,100,0,2,1,False,False,False,100,True,False,False,False
190,Kilroy-Silk,2281,./data/train/./293.txt,1,2281,True,100,0,2,1,False,False,False,100,True,False,False,False
191,Kilroy-Silk,2337,./data/train/./293.txt,1,2337,True,100,100,1,1,False,False,False,100,False,False,False,False
192,Hague,0,./data/train/./285.txt,1,0,True,100,100,100,2,False,False,False,100,False,False,False,False
193,Ffion,90,./data/train/./285.txt,1,90,True,100,100,2,2,False,False,False,100,True,True,False,False
194,Blair,0,./data/train/./252.txt,1,0,True,100,2,100,1,False,False,False,100,False,False,False,False
195,Brown,296,./data/train/./252.txt,1,296,True,3,1,1,100,False,False,False,100,False,False,False,False
196,Howard,0,./data/train/./087.txt,1,0,True,100,100,100,100,False,False,False,100,False,False,False,False
197,Charles,171,./data/train/./044.txt,1,171,True,100,100,5,0,False,False,False,100,False,False,False,False
198,William,173,./data/train/./044.txt,1,173,True,100,100,1,0,False,False,False,100,False,False,False,False
199,Harry,175,./data/train/./044.txt,1,175,True,100,100,1,3,False,False,False,100,False,False,False,False
200,Clarke,162,./data/train/./131.txt,1,162,True,100,2,3,0,False,False,False,5,False,False,True,False
201,Rix,164,./data/train/./131.txt,1,164,True,100,0,5,0,False,False,False,100,False,False,False,False
202,Glenn,142,./data/train/./045.txt,1,142,True,5,0,3,2,False,False,False,100,False,False,False,False
203,Howard,0,./data/train/./086.txt,1,0,True,100,3,100,100,False,False,False,100,False,False,False,False
204,Blair,0,./data/train/./253.txt,1,0,True,100,1,100,100,False,False,False,100,False,False,False,False
205,Browns,45,./data/train/./253.txt,1,45,True,4,3,3,100,False,False,False,100,True,False,True,False
206,Brown,314,./data/train/./253.txt,1,314,True,3,1,1,100,False,False,False,100,False,False,False,False
207,Frank,491,./data/train/./253.txt,1,491,True,100,2,5,3,False,False,False,100,False,False,True,False
208,Kennedys,0,./data/train/./284.txt,1,0,True,100,100,100,100,False,False,False,100,False,False,False,False
209,Baron Kinnock,1,./data/train/./289.txt,2,0,True,100,0,100,100,False,False,False,100,False,False,False,False
210,Neil Kinnock,9,./data/train/./289.txt,2,8,True,100,0,100,0,False,False,False,100,False,False,False,False
211,Baron Kinnock,30,./data/train/./289.txt,2,29,True,1,100,2,0,False,False,False,100,False,False,False,False
212,Lord Kinnock,39,./data/train/./289.txt,2,38,True,100,2,3,1,True,False,False,100,False,True,False,False
213,Lord Kinnock,148,./data/train/./289.txt,2,147,True,100,0,3,0,True,False,False,100,False,False,True,False
214,Baroness Amos,155,./data/train/./289.txt,2,154,True,5,100,3,0,False,False,False,1,False,False,True,False
215,Baroness Royall,158,./data/train/./289.txt,2,157,True,100,100,1,0,False,False,False,4,False,False,False,False
216,Lord Kinnock,178,./data/train/./289.txt,2,177,True,5,100,2,0,True,False,False,100,False,False,False,False
217,James Callaghans,295,./data/train/./289.txt,2,294,True,2,100,1,2,False,False,False,100,True,False,False,False
218,Margaret Thatcher,348,./data/train/./289.txt,2,347,True,5,0,1,0,False,False,False,100,False,False,False,False
219,Lord Kinnock,407,./data/train/./289.txt,2,406,True,100,1,1,0,True,False,False,100,False,False,False,False
220,Tony Blair,9,./data/train/./276.txt,2,8,True,100,3,1,0,False,False,False,100,False,False,False,False
221,Gordon Brown,12,./data/train/./276.txt,2,11,True,100,0,1,0,False,False,False,100,False,False,False,False
222,Duncan Bannatyne,30,./data/train/./276.txt,2,29,True,3,100,2,2,False,False,False,100,False,False,False,False
223,Robin Cook,53,./data/train/./276.txt,2,52,True,4,0,3,1,False,False,False,1,False,False,True,False
224,Mr Brown,58,./data/train/./276.txt,2,57,True,3,0,2,1,True,False,False,100,False,False,False,False
225,Mr Bannatyne,66,./data/train/./276.txt,2,65,True,5,0,2,0,True,False,False,100,True,False,False,False
226,Robert Pestons,125,./data/train/./276.txt,2,124,True,100,1,2,2,False,False,False,100,False,False,True,False
227,Mr Bannatyne,153,./data/train/./276.txt,2,152,True,2,100,3,2,True,False,False,100,True,False,False,False
228,Gordon Brown,167,./data/train/./276.txt,2,166,True,100,0,2,0,False,False,False,100,True,False,False,False
229,Mr Bannatyne,283,./data/train/./276.txt,2,282,True,100,0,2,0,True,False,False,100,True,False,False,False
230,Robin Cook,321,./data/train/./276.txt,2,320,True,2,0,3,1,False,False,False,100,True,False,False,False
231,Mr Browns,327,./data/train/./276.txt,2,326,True,1,100,1,3,True,False,False,100,False,False,False,False
232,Mr Blair,354,./data/train/./276.txt,2,353,True,100,3,1,0,True,False,False,100,False,False,False,False
233,Mr Brown,357,./data/train/./276.txt,2,356,True,100,0,1,0,True,False,False,100,False,False,False,False
234,Mr Cook,376,./data/train/./276.txt,2,375,True,100,0,3,1,True,False,False,100,False,False,False,False
235,Mr Blairs,418,./data/train/./276.txt,2,417,True,2,0,1,1,True,False,False,100,False,False,False,False
236,Dave Prentis,433,./data/train/./276.txt,2,432,True,2,100,1,0,False,False,False,100,False,False,False,False
237,Mr Blair,455,./data/train/./276.txt,2,454,True,2,0,1,0,True,False,False,100,False,False,False,False
238,Dr Williams,334,./data/train/./060.txt,2,333,True,100,0,3,0,True,False,False,100,False,False,False,False
239,Tony Blair,433,./data/train/./060.txt,2,432,True,4,1,4,1,False,False,False,100,False,False,True,False
240,Nick Griffin,3,./data/train/./074.txt,2,2,True,100,100,100,1,False,False,False,100,False,False,False,False
241,Nick Griffin,33,./data/train/./074.txt,2,32,True,1,0,100,0,False,False,False,100,False,False,False,False
242,John Tyndall,65,./data/train/./074.txt,2,64,True,100,0,5,0,False,False,False,100,False,False,False,False
243,Mr Griffin,88,./data/train/./074.txt,2,87,True,100,0,3,0,True,False,False,100,False,False,False,False
244,Mr Tyndall,182,./data/train/./074.txt,2,181,True,1,2,100,0,True,False,False,100,False,False,False,False
245,Michael Jack,399,./data/train/./048.txt,2,398,True,4,100,5,3,False,False,False,100,False,False,False,False
246,Mr Jack,460,./data/train/./048.txt,2,459,True,3,0,100,1,True,False,False,100,False,False,True,False
247,Mark Ballard,43,./data/train/./114.txt,2,42,True,100,100,5,2,False,False,False,100,False,False,True,False
248,Martin Mubanga,24,./data/train/./100.txt,2,23,True,2,0,2,1,False,False,False,100,False,False,False,False
249,Mr Mubanga,52,./data/train/./100.txt,2,51,True,3,100,2,1,True,False,False,100,True,False,True,False
250,Mr Mubanga,90,./data/train/./100.txt,2,89,True,4,1,3,0,True,False,False,100,False,True,False,False
251,Mr Mubanga,141,./data/train/./100.txt,2,140,True,100,0,5,1,True,False,False,100,True,False,False,False
252,Mr Mubanga,180,./data/train/./100.txt,2,179,True,100,0,4,1,True,False,False,100,True,False,False,False
253,Mr Mubanga,217,./data/train/./100.txt,2,216,True,100,0,4,1,True,False,False,100,True,False,False,False
254,Louise Christian,253,./data/train/./100.txt,2,252,True,5,100,5,2,False,False,False,100,False,False,False,False
255,Menzies Campbell,282,./data/train/./100.txt,2,281,True,3,100,1,0,False,False,False,100,False,False,True,False
256,Mr Mubangas,299,./data/train/./100.txt,2,298,True,1,0,5,1,True,False,False,100,False,False,False,False
257,Charles Clarke,326,./data/train/./100.txt,2,325,True,100,0,3,100,False,False,False,1,False,False,True,False
258,Mr Mubanga,342,./data/train/./100.txt,2,341,True,100,0,2,0,True,False,False,100,True,False,False,False
259,Mr Mubanga,437,./data/train/./100.txt,2,436,True,3,3,2,0,True,False,False,100,False,True,False,False
260,Mr Mubanga,514,./data/train/./100.txt,2,513,True,2,0,1,0,True,False,False,100,False,False,False,False
261,Stephen Jakobi,552,./data/train/./100.txt,2,551,True,100,0,100,1,False,False,False,100,False,False,False,False
262,Mr Mubangas,559,./data/train/./100.txt,2,558,True,3,100,1,1,True,False,False,100,False,False,False,False
263,Mr Mubanga,595,./data/train/./100.txt,2,594,True,2,100,3,0,True,False,False,100,False,False,False,False
264,Gordon Brown,6,./data/train/./128.txt,2,5,True,100,0,3,0,False,False,False,100,False,False,False,False
265,Oliver Letwin,65,./data/train/./128.txt,2,64,True,3,100,3,0,False,False,False,100,False,False,True,False
266,Mr Brown,77,./data/train/./128.txt,2,76,True,100,100,3,2,True,False,False,100,False,False,False,False
267,Sir Wastealot,79,./data/train/./128.txt,2,78,True,100,3,5,0,True,False,False,100,False,False,True,False
268,Mr Browns,85,./data/train/./128.txt,2,84,True,1,2,4,2,True,False,False,100,False,False,False,False
269,Mr Letwin,114,./data/train/./128.txt,2,113,True,100,0,5,100,True,False,False,100,False,False,False,False
270,Vincent Cable,144,./data/train/./128.txt,2,143,True,100,100,3,0,False,False,False,100,False,False,False,False
271,Mr Brown,151,./data/train/./128.txt,2,150,True,100,100,4,0,True,False,False,100,False,False,False,False
