All-Words,end,filename,n-gram,start,classtype,PRE_DIST_VERB,POST_DIST_VERB,PRE_DIST_STOPWORD,POST_DIST_STOPWORD,PrecedingTitle,Apostrophe,PRE_DIST_FROM_THE,PRE_DIST_FROM_POSITION,NEGATIVE_FEATURE,POSITIVE_FEATURE,Surrounding_Caps,POST_IS_PREPOSITION
Democrat,431,./data/test/./262.txt,1,431,False,100,3,4,100,False,False,False,100,False,False,True,False
Charles,433,./data/test/./262.txt,1,433,False,100,1,100,100,False,False,False,100,False,False,True,False
Kennedy,434,./data/test/./262.txt,1,434,False,100,0,100,100,False,False,False,100,False,False,False,False
BBC,436,./data/test/./262.txt,1,436,False,1,3,100,3,False,False,False,100,False,False,True,False
News,437,./data/test/./262.txt,1,437,False,2,2,100,2,False,False,False,100,False,False,True,False
Later,455,./data/test/./262.txt,1,455,False,4,100,3,0,False,False,False,100,False,False,False,False
Blair,459,./data/test/./262.txt,1,459,False,100,0,3,0,False,False,False,100,False,False,False,False
Mondays,481,./data/test/./262.txt,1,481,False,4,100,1,1,False,False,False,100,True,False,False,False
Parliamentary,485,./data/test/./262.txt,1,485,False,100,100,1,2,False,False,False,100,True,False,True,False
Labour,486,./data/test/./262.txt,1,486,False,100,3,2,1,False,False,False,100,False,False,True,False
Party,487,./data/test/./262.txt,1,487,False,100,2,3,0,False,False,False,100,False,False,True,False
Pestons,492,./data/test/./262.txt,1,492,False,2,100,4,100,False,False,False,100,False,False,False,False
﻿Council,0,./data/test/./101.txt,1,0,False,100,1,100,100,False,False,False,100,False,False,False,False
Welsh,4,./data/test/./101.txt,1,4,False,2,1,100,1,False,False,False,100,False,False,False,False
Finance,26,./data/test/./101.txt,1,26,False,4,3,3,100,False,False,False,100,False,False,True,False
Minister,27,./data/test/./101.txt,1,27,False,5,2,4,3,False,False,False,100,False,False,True,False
Sue,28,./data/test/./101.txt,1,28,False,100,1,5,2,False,False,False,1,False,False,True,False
Essex,29,./data/test/./101.txt,1,29,False,100,0,100,1,False,False,False,2,False,False,False,False
Treasury,49,./data/test/./101.txt,1,49,False,100,0,2,1,False,False,False,100,False,False,True,False
Chancellor,52,./data/test/./101.txt,1,52,False,2,100,1,100,False,False,False,100,False,False,False,False
Gordon,53,./data/test/./101.txt,1,53,False,3,100,2,100,False,False,False,1,False,False,True,False
Brown<\n>,54,./data/test/./101.txt,1,54,False,4,3,3,100,False,False,False,2,False,False,True,False
Welsh,116,./data/test/./101.txt,1,116,False,100,100,1,100,False,False,False,100,True,False,True,False
Local,117,./data/test/./101.txt,1,117,False,100,3,2,3,False,False,False,100,True,False,True,False
Government,118,./data/test/./101.txt,1,118,False,100,2,3,2,False,False,False,100,False,False,True,False
Association,119,./data/test/./101.txt,1,119,False,100,1,4,1,False,False,False,100,False,False,True,False
WLGA,142,./data/test/./101.txt,1,142,False,5,0,2,100,False,False,False,100,False,False,False,False
Bob,145,./data/test/./101.txt,1,145,False,2,3,5,1,False,False,False,100,False,False,True,False
Wellington<\n>,146,./data/test/./101.txt,1,146,False,3,2,100,0,False,False,False,100,False,False,False,False
Torfaen,148,./data/test/./101.txt,1,148,False,5,0,1,1,False,False,False,100,False,False,False,False
Wellington<\n>,176,./data/test/./101.txt,1,176,False,2,1,4,1,False,False,False,100,False,False,False,False
Monday,203,./data/test/./101.txt,1,203,False,100,100,4,0,False,False,False,100,True,False,True,False
Wales,208,./data/test/./101.txt,1,208,False,100,100,2,100,False,False,False,100,True,False,False,False
Essex<\n>,212,./data/test/./101.txt,1,212,False,100,0,100,0,False,False,False,100,False,False,False,False
Essex<\n>,219,./data/test/./101.txt,1,219,False,100,2,4,2,False,False,False,100,False,False,False,False
Essex<\n>,343,./data/test/./101.txt,1,343,False,100,2,5,2,False,False,False,100,True,False,False,False
Wales,360,./data/test/./101.txt,1,360,False,5,0,1,0,False,False,False,100,False,False,False,False
Plaid,388,./data/test/./101.txt,1,388,False,100,100,3,100,False,False,False,100,True,False,True,False
Cymrus,389,./data/test/./101.txt,1,389,False,100,100,4,100,False,False,False,100,True,False,True,False
Dai,393,./data/test/./101.txt,1,393,False,100,100,100,2,False,False,False,100,False,False,True,False
Lloyd<\n>,394,./data/test/./101.txt,1,394,False,100,100,100,1,False,False,False,100,False,False,False,False
Wales,402,./data/test/./101.txt,1,402,False,100,100,100,0,False,False,False,100,False,False,False,False
Labour,419,./data/test/./101.txt,1,419,False,5,100,1,2,False,False,False,100,False,False,True,False
Assembly,420,./data/test/./101.txt,1,420,False,100,100,2,1,False,False,False,100,False,False,True,False
Government,421,./data/test/./101.txt,1,421,False,100,100,3,0,False,False,False,100,False,False,True,False
Mike,448,./data/test/./101.txt,1,448,False,100,100,2,2,False,False,False,100,False,False,True,False
German<\n>,449,./data/test/./101.txt,1,449,False,100,100,3,1,False,False,False,100,False,False,False,False
Liberal,453,./data/test/./101.txt,1,453,False,100,100,1,1,False,False,False,100,False,False,True,False
Democrats,454,./data/test/./101.txt,1,454,False,100,3,2,0,False,False,False,100,False,False,True,False
German<\n>,476,./data/test/./101.txt,1,476,False,3,2,3,3,False,False,False,100,False,False,False,False
Welsh,484,./data/test/./101.txt,1,484,False,5,100,1,100,False,False,False,100,False,False,True,False
Liberal,485,./data/test/./101.txt,1,485,False,100,100,2,3,False,False,False,100,False,False,True,False
Democrat,486,./data/test/./101.txt,1,486,False,100,100,3,2,False,False,False,100,False,False,True,False
Conservative,515,./data/test/./101.txt,1,515,False,3,100,2,100,False,False,False,100,True,False,False,False
Glyn,519,./data/test/./101.txt,1,519,False,100,1,100,2,False,False,False,100,False,False,True,False
Davies<\n>,520,./data/test/./101.txt,1,520,False,100,0,100,1,False,False,False,100,False,False,False,False
Wales,536,./data/test/./101.txt,1,536,False,100,0,1,0,False,False,False,100,True,False,False,False
Around,553,./data/test/./101.txt,1,553,False,100,100,4,0,False,False,False,100,False,False,False,False
Welsh,557,./data/test/./101.txt,1,557,False,100,1,1,1,False,False,False,100,True,False,False,False
Boris,0,./data/test/./075.txt,1,0,True,100,100,100,100,False,False,False,100,False,False,False,False
Ken,4,./data/test/./075.txt,1,4,False,100,1,100,1,False,False,False,100,False,False,True,False
Livingstone,5,./data/test/./075.txt,1,5,False,100,0,100,0,False,False,False,100,False,False,False,False
Nazi,16,./data/test/./075.txt,1,16,False,100,1,1,1,False,False,False,100,False,False,False,False
Jewish,20,./data/test/./075.txt,1,20,False,2,100,1,100,False,False,False,100,True,False,False,False
Tory,22,./data/test/./075.txt,1,22,False,4,3,3,3,False,False,False,100,True,False,True,False
Boris,24,./data/test/./075.txt,1,24,False,100,1,5,1,False,False,False,1,True,False,True,False
Johnson,25,./data/test/./075.txt,1,25,False,100,0,100,0,False,False,False,2,False,False,False,False
Johnson,29,./data/test/./075.txt,1,29,False,3,1,3,100,False,False,False,100,False,False,False,False
Tony,32,./data/test/./075.txt,1,32,False,1,100,100,2,False,False,False,100,False,False,True,False
Blairs,33,./data/test/./075.txt,1,33,False,2,100,100,1,False,False,False,100,False,False,False,False
Jewish,43,./data/test/./075.txt,1,43,False,2,100,2,100,False,False,False,100,False,False,False,False
London,45,./data/test/./075.txt,1,45,False,4,3,4,100,False,False,False,100,False,False,False,False
Livingstone,48,./data/test/./075.txt,1,48,False,100,0,100,1,False,False,False,100,False,False,False,False
Evening,59,./data/test/./075.txt,1,59,False,100,2,1,2,False,False,False,100,False,False,True,False
Standard,60,./data/test/./075.txt,1,60,False,100,1,2,1,False,False,False,100,False,False,True,False
Livingstone,77,./data/test/./075.txt,1,77,False,3,0,2,0,False,False,False,100,False,False,False,False
Labours,81,./data/test/./075.txt,1,81,False,2,2,3,2,False,False,False,100,False,False,False,False
Livingstone,83,./data/test/./075.txt,1,83,False,4,0,5,0,False,False,False,100,False,False,False,False
Blair,108,./data/test/./075.txt,1,108,False,100,100,2,2,False,False,False,100,False,False,False,False
Later,110,./data/test/./075.txt,1,110,False,100,100,4,0,False,False,False,100,False,False,False,False
Jewish,141,./data/test/./075.txt,1,141,False,2,3,1,2,False,False,False,100,True,False,False,False
However,147,./data/test/./075.txt,1,147,False,2,3,2,2,False,False,False,100,False,True,False,False
Johnson,149,./data/test/./075.txt,1,149,False,4,1,4,0,False,False,False,100,False,True,False,False
Liverpudlians,166,./data/test/./075.txt,1,166,False,100,100,1,1,False,False,False,100,False,False,False,False
British,172,./data/test/./075.txt,1,172,False,100,3,1,100,False,False,False,100,False,False,False,False
Ken,174,./data/test/./075.txt,1,174,False,100,1,3,100,False,False,False,100,False,False,True,False
Bigley,175,./data/test/./075.txt,1,175,False,100,0,4,100,False,False,False,100,False,False,False,False
Blair,178,./data/test/./075.txt,1,178,False,2,100,100,2,False,False,False,100,False,False,False,False
Spectator,199,./data/test/./075.txt,1,199,False,5,1,1,100,False,False,False,100,True,False,True,False
BBC,202,./data/test/./075.txt,1,202,False,1,100,4,100,False,False,False,100,False,False,True,False
Radio,203,./data/test/./075.txt,1,203,False,2,100,5,100,False,False,False,100,False,False,True,False
Today,205,./data/test/./075.txt,1,205,False,4,100,100,2,False,False,False,100,False,False,False,False
Ken,211,./data/test/./075.txt,1,211,False,100,100,1,1,False,False,False,100,True,False,True,False
Livingstone,212,./data/test/./075.txt,1,212,False,100,100,2,0,False,False,False,100,True,False,False,False
Evening,218,./data/test/./075.txt,1,218,False,100,100,1,100,False,False,False,100,True,False,True,False
Standard.,219,./data/test/./075.txt,1,219,False,100,100,2,3,False,False,False,100,True,False,True,False
Johnson,221,./data/test/./075.txt,1,221,False,100,100,4,1,False,False,False,100,True,False,True,False
Henley-on-Thames,224,./data/test/./075.txt,1,224,False,100,1,1,2,False,False,False,2,False,False,True,False
Oxfordshire,225,./data/test/./075.txt,1,225,False,100,0,2,1,False,False,False,3,False,False,True,False
Labour,229,./data/test/./075.txt,1,229,False,3,0,2,0,False,False,False,100,False,False,False,False
Jewish,235,./data/test/./075.txt,1,235,False,2,100,2,2,False,False,False,100,False,False,False,False
Labour,244,./data/test/./075.txt,1,244,False,100,1,1,1,False,False,False,100,True,False,False,False
Muslim,254,./data/test/./075.txt,1,254,False,5,2,2,1,False,False,False,100,False,True,False,False
Ken,263,./data/test/./075.txt,1,263,True,5,1,2,100,False,False,False,100,False,False,False,False
Johnson,292,./data/test/./075.txt,1,292,False,100,100,3,3,False,False,False,100,False,False,False,False
October,295,./data/test/./075.txt,1,295,False,100,100,100,0,False,False,False,100,False,False,False,False
Liverpool,302,./data/test/./075.txt,1,302,False,100,100,1,0,False,False,False,100,False,False,False,False
Bigley,312,./data/test/./075.txt,1,312,False,100,100,2,0,False,False,False,100,True,False,True,False
Liverpudlians,320,./data/test/./075.txt,1,320,False,100,0,4,0,False,False,False,100,True,False,False,False
Liverpool,333,./data/test/./075.txt,1,333,False,2,100,2,2,False,False,False,100,False,False,False,False
Hillsborough,339,./data/test/./075.txt,1,339,False,100,100,2,1,False,False,False,100,False,False,False,False
Johnson,346,./data/test/./075.txt,1,346,False,100,0,4,100,False,False,False,100,True,False,False,False
Today,348,./data/test/./075.txt,1,348,False,1,100,100,3,False,False,False,100,False,False,False,False
Ken,395,./data/test/./075.txt,1,395,True,100,2,5,2,False,False,False,100,False,False,False,False
Assembly,0,./data/test/./061.txt,1,0,False,100,100,100,100,False,False,False,100,False,False,False,False
Hundreds,4,./data/test/./061.txt,1,4,False,100,100,100,0,False,False,False,100,False,False,False,False
North,15,./data/test/./061.txt,1,15,False,100,1,1,1,False,False,False,100,True,False,True,False
East,16,./data/test/./061.txt,1,16,False,100,0,2,0,False,False,False,100,True,False,True,False
Royal,19,./data/test/./061.txt,1,19,False,2,1,2,2,False,False,False,100,False,False,True,False
Mail,20,./data/test/./061.txt,1,20,False,3,0,3,1,False,False,False,100,False,False,True,False
County,34,./data/test/./061.txt,1,34,False,5,100,1,1,False,False,False,100,True,False,True,False
Durham,35,./data/test/./061.txt,1,35,False,100,100,2,0,False,False,False,100,True,False,True,False
Officials,41,./data/test/./061.txt,1,41,False,100,100,4,0,False,False,False,100,False,False,False,False
Darlington,43,./data/test/./061.txt,1,43,False,100,100,1,1,False,False,False,100,True,False,True,False
Council,44,./data/test/./061.txt,1,44,False,100,100,2,0,False,False,False,100,True,False,True,False
November,74,./data/test/./061.txt,1,74,False,5,100,2,2,False,False,False,100,True,False,True,False
Darlington,78,./data/test/./061.txt,1,78,False,100,3,1,3,False,False,False,100,False,False,True,False
Council,79,./data/test/./061.txt,1,79,False,100,2,2,2,False,False,False,100,False,False,True,False
Royal,92,./data/test/./061.txt,1,92,False,2,100,1,3,False,False,False,100,False,False,True,False
Mail,93,./data/test/./061.txt,1,93,False,3,100,2,2,False,False,False,100,False,False,True,False
Somewhere,94,./data/test/./061.txt,1,94,False,4,100,3,1,False,False,False,100,False,False,True,False
Royal,111,./data/test/./061.txt,1,111,False,3,1,3,1,False,False,False,100,False,False,True,False
Mail,112,./data/test/./061.txt,1,112,False,4,0,4,0,False,False,False,100,False,False,True,False
Royal,129,./data/test/./061.txt,1,129,False,100,100,1,3,False,False,False,100,False,False,True,False
Mail,130,./data/test/./061.txt,1,130,False,100,100,2,2,False,False,False,100,False,False,True,False
Mowden,143,./data/test/./061.txt,1,143,False,100,100,5,1,False,False,False,100,True,False,False,False
Darlington,146,./data/test/./061.txt,1,146,False,100,1,1,1,False,False,False,100,True,False,False,False
No-one,178,./data/test/./061.txt,1,178,False,5,0,2,0,False,False,False,100,False,False,False,False
Darlington,212,./data/test/./061.txt,1,212,False,100,100,1,100,False,False,False,100,False,False,True,False
Council,213,./data/test/./061.txt,1,213,False,100,100,2,3,False,False,False,100,False,False,True,False
Initially,216,./data/test/./061.txt,1,216,False,100,1,5,0,False,False,False,100,False,False,False,False
Mowden,226,./data/test/./061.txt,1,226,False,100,0,1,0,False,False,False,100,True,False,False,False
Electoral,258,./data/test/./061.txt,1,258,False,100,1,1,100,False,False,False,100,False,False,True,False
Commission,259,./data/test/./061.txt,1,259,False,100,0,2,100,False,False,False,100,False,False,True,False
BBC,261,./data/test/./061.txt,1,261,False,1,100,4,2,False,False,False,100,False,False,True,False
News,262,./data/test/./061.txt,1,262,False,2,3,5,1,False,False,False,100,False,False,True,False
Online,263,./data/test/./061.txt,1,263,False,3,2,100,0,False,False,False,100,False,False,True,False
North,315,./data/test/./061.txt,1,315,False,100,100,1,100,False,False,False,100,True,False,False,False
East,316,./data/test/./061.txt,1,316,False,100,100,2,100,False,False,False,100,False,False,True,False
Blair,10,./data/test/./263.txt,1,10,True,2,100,1,0,False,False,False,100,False,False,False,False
Brown,12,./data/test/./263.txt,1,12,True,4,100,1,0,False,False,False,100,False,False,False,False
Blair,149,./data/test/./263.txt,1,149,False,100,100,2,0,False,False,False,100,False,False,False,False
Brown,152,./data/test/./263.txt,1,152,False,100,100,2,2,False,False,False,100,False,False,False,False
Indeed,183,./data/test/./263.txt,1,183,False,5,100,4,2,False,False,False,100,False,False,False,False
Nothing,195,./data/test/./263.txt,1,195,False,100,100,2,0,False,False,False,100,False,False,False,False
Without,292,./data/test/./263.txt,1,292,False,100,100,2,0,False,False,False,100,False,False,False,False
Clearly,307,./data/test/./263.txt,1,307,False,100,100,2,0,False,False,False,100,True,False,False,False
Dont,465,./data/test/./263.txt,1,465,False,2,100,3,1,False,False,False,100,False,False,False,False
Google,481,./data/test/./263.txt,1,481,False,5,100,1,0,False,False,False,100,True,False,False,False
Russia,550,./data/test/./263.txt,1,550,False,100,2,1,0,False,False,False,100,True,False,False,False
America,552,./data/test/./263.txt,1,552,False,100,0,1,1,False,False,False,100,False,False,False,False
Somehow,661,./data/test/./263.txt,1,661,False,3,2,3,0,False,False,False,100,False,False,False,False
Labour,672,./data/test/./263.txt,1,672,False,100,100,4,1,False,False,False,100,False,False,True,False
Party,673,./data/test/./263.txt,1,673,False,100,100,5,0,False,False,False,100,False,False,True,False
Blair,680,./data/test/./263.txt,1,680,True,100,3,1,0,False,False,False,100,False,False,False,False
Brown,682,./data/test/./263.txt,1,682,True,100,1,1,1,False,False,False,100,False,False,False,False
Solomons,691,./data/test/./263.txt,1,691,True,100,2,3,2,False,False,False,100,False,False,False,False
Every,701,./data/test/./263.txt,1,701,False,4,1,2,2,False,False,False,100,False,False,False,False
Boothroyd,0,./data/test/./117.txt,1,0,True,100,100,100,1,False,False,False,100,False,False,False,False
Lords,3,./data/test/./117.txt,1,3,False,100,3,1,3,False,False,False,100,False,False,False,False
Betty,5,./data/test/./117.txt,1,5,False,100,1,3,1,False,False,False,100,False,False,True,False
Boothroyd,6,./data/test/./117.txt,1,6,False,100,0,4,0,False,False,False,100,False,False,False,False
House,10,./data/test/./117.txt,1,10,False,2,100,1,0,False,False,False,100,False,False,False,False
Lords,12,./data/test/./117.txt,1,12,False,4,2,1,1,False,False,False,100,False,False,False,False
Speaker,16,./data/test/./117.txt,1,16,False,1,3,1,0,False,False,False,100,False,False,False,False
Baroness,29,./data/test/./117.txt,1,29,False,100,2,3,1,False,False,False,100,True,True,True,False
Boothroyd,30,./data/test/./117.txt,1,30,False,100,1,4,0,False,False,False,100,False,True,False,False
Commons,38,./data/test/./117.txt,1,38,False,1,1,1,2,False,False,False,100,False,False,True,False
Speaker,39,./data/test/./117.txt,1,39,False,2,0,2,1,False,False,False,100,False,False,True,False
Tony,43,./data/test/./117.txt,1,43,False,3,1,2,100,False,False,False,100,False,False,True,False
Blair,44,./data/test/./117.txt,1,44,False,4,0,3,3,False,False,False,100,False,False,False,False
BBCs,71,./data/test/./117.txt,1,71,False,2,100,1,1,False,False,False,100,False,False,True,False
Breakfast,72,./data/test/./117.txt,1,72,False,3,100,2,0,False,False,False,100,False,False,True,False
Frost,74,./data/test/./117.txt,1,74,False,5,3,1,100,False,False,False,100,False,False,True,False
Labour,77,./data/test/./117.txt,1,77,False,100,0,4,1,False,False,False,100,False,False,False,False
Lords,84,./data/test/./117.txt,1,84,False,100,100,1,100,False,False,False,100,False,False,False,False
Labour,112,./data/test/./117.txt,1,112,False,5,2,2,3,False,False,False,100,True,False,False,False
Lords,127,./data/test/./117.txt,1,127,False,100,100,4,0,False,False,False,100,True,False,False,False
Lord,131,./data/test/./117.txt,1,131,False,100,1,5,100,True,False,False,100,False,False,True,False
Falconer,132,./data/test/./117.txt,1,132,False,100,0,3,100,False,False,False,100,False,False,False,False
Breakfast,135,./data/test/./117.txt,1,135,False,2,100,100,3,False,False,False,100,False,False,True,False
Frost,137,./data/test/./117.txt,1,137,False,4,100,100,1,False,False,False,100,False,False,True,False
Commons,143,./data/test/./117.txt,1,143,False,100,0,1,0,False,False,False,100,False,False,False,False
House,178,./data/test/./117.txt,1,178,False,4,100,1,0,False,False,False,100,False,False,False,False
Lords,180,./data/test/./117.txt,1,180,False,100,2,3,2,False,False,False,100,False,False,False,False
Cabinet,194,./data/test/./117.txt,1,194,False,100,100,1,0,False,False,False,100,True,False,False,False
Lady,199,./data/test/./117.txt,1,199,False,100,1,4,2,False,False,False,100,False,False,True,False
Boothroyd,200,./data/test/./117.txt,1,200,False,100,0,5,1,False,False,False,100,False,False,False,False
Speaker,216,./data/test/./117.txt,1,216,False,4,1,1,100,False,False,False,100,False,False,False,False
Speaker,224,./data/test/./117.txt,1,224,False,2,100,1,0,False,False,False,100,True,False,False,False
House,227,./data/test/./117.txt,1,227,False,5,100,1,0,False,False,False,100,True,False,False,False
Cabinet,253,./data/test/./117.txt,1,253,False,100,100,2,1,False,False,False,100,True,False,False,False
Speaker,256,./data/test/./117.txt,1,256,False,100,100,1,0,False,False,False,100,True,False,False,False
Lords,259,./data/test/./117.txt,1,259,False,100,100,1,3,False,False,False,100,False,False,False,False
House,271,./data/test/./117.txt,1,271,False,4,1,1,0,False,False,False,100,False,False,False,False
David,0,./data/test/./248.txt,1,0,False,100,100,100,1,False,False,False,100,False,False,True,False
Blunkett,1,./data/test/./248.txt,1,1,False,100,100,100,0,False,False,False,100,False,False,False,False
David,4,./data/test/./248.txt,1,4,False,100,3,2,2,False,False,False,100,True,True,True,False
Blunkett,5,./data/test/./248.txt,1,5,False,100,2,3,1,False,False,False,100,True,True,False,False
Yorkshire,20,./data/test/./248.txt,1,20,False,100,2,2,3,False,False,False,100,True,False,False,False
News,47,./data/test/./248.txt,1,47,False,100,100,5,0,False,False,False,100,False,False,False,False
World,50,./data/test/./248.txt,1,50,False,100,100,4,1,False,False,False,100,False,False,False,False
Trust,64,./data/test/./248.txt,1,64,False,3,100,4,1,False,False,False,100,False,False,False,False
None,148,./data/test/./248.txt,1,148,False,100,100,2,0,False,False,False,100,False,False,False,False
French,208,./data/test/./248.txt,1,208,False,100,1,1,1,False,False,False,100,False,False,False,False
Blunkett,215,./data/test/./248.txt,1,215,False,2,100,5,2,False,False,False,100,False,False,False,False
Dover,223,./data/test/./248.txt,1,223,False,100,0,1,0,False,False,False,100,True,False,False,False
Strengthening,227,./data/test/./248.txt,1,227,False,2,2,3,0,False,False,False,100,True,False,False,False
Shipmans,269,./data/test/./248.txt,1,269,False,3,3,4,3,False,False,False,100,True,False,False,False
Browns,3,./data/test/./274.txt,1,3,True,100,100,3,1,False,False,False,100,False,False,False,False
Gordon,7,./data/test/./274.txt,1,7,False,100,1,2,100,False,False,False,100,False,False,True,False
Brown,8,./data/test/./274.txt,1,8,False,100,0,3,3,False,False,False,100,False,False,False,False
Aids,36,./data/test/./274.txt,1,36,False,100,2,1,0,False,False,False,100,False,True,False,False
HIV,40,./data/test/./274.txt,1,40,False,1,100,1,100,False,False,False,100,False,False,False,False
Brown,44,./data/test/./274.txt,1,44,False,5,100,5,2,False,False,False,100,False,False,False,False
Kenyas,71,./data/test/./274.txt,1,71,False,100,100,1,3,False,False,False,100,False,False,False,False
Browns,106,./data/test/./274.txt,1,106,False,100,100,3,2,False,False,False,100,False,False,False,False
British,127,./data/test/./274.txt,1,127,False,100,2,1,1,False,False,False,100,True,False,False,False
Ever,159,./data/test/./274.txt,1,159,False,4,100,3,1,False,False,False,100,False,False,False,False
Africa,163,./data/test/./274.txt,1,163,False,100,0,2,0,False,False,False,100,False,False,False,False
Ive,169,./data/test/./274.txt,1,169,False,2,2,2,1,False,False,False,100,False,False,False,False
Gordon,191,./data/test/./274.txt,1,191,False,3,100,2,2,False,False,False,100,True,False,True,False
Brown,192,./data/test/./274.txt,1,192,False,4,100,3,1,False,False,False,100,True,False,True,False
Labour,214,./data/test/./274.txt,1,214,False,100,1,1,2,False,False,False,100,False,False,True,False
Party,215,./data/test/./274.txt,1,215,False,100,0,2,1,False,False,False,100,False,False,True,False
Theres,232,./data/test/./274.txt,1,232,False,100,2,2,1,False,False,False,100,False,False,False,False
Blair,240,./data/test/./274.txt,1,240,False,5,1,4,2,False,False,False,100,False,False,False,False
Africa,318,./data/test/./274.txt,1,318,False,4,100,1,0,False,False,False,100,False,False,False,False
Brown,329,./data/test/./274.txt,1,329,False,2,100,2,1,False,False,False,100,False,False,False,False
Berlin,336,./data/test/./274.txt,1,336,False,2,1,1,100,False,False,False,100,False,False,True,False
Wall,337,./data/test/./274.txt,1,337,False,3,0,2,3,False,False,False,100,False,False,True,False
Hes,343,./data/test/./274.txt,1,343,False,3,1,2,2,False,False,False,100,False,False,False,False
Commons,0,./data/test/./066.txt,1,0,False,100,100,100,100,False,False,False,100,False,False,False,False
Eight,4,./data/test/./066.txt,1,4,False,100,100,100,1,False,False,False,100,False,True,False,False
House,9,./data/test/./066.txt,1,9,False,100,100,1,0,False,False,False,100,False,False,False,False
