,3.5mm jack,Battery ,GPS Support,GPU,Internal Storage,Card slot,NFC,Name,OS,Price,Primary Camera,Clock Speed,SIM,Secondary Camera,Sensors,Weight,Resolution
2803,,,,,,,,Bingo T30 Gold With SIM and 32 GB Memory Card Slot and Fitness Tracker Smartwatch,android and ios,‚¹999,,,,,,,
2804,,,,,,,,CREATION4U C4U-DZ-42 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Black Smartwatch,Android Wear,"‚¹1,099",2 MP,,,,,,
2805,,,,,,,,IBS silver watch_17 Smartwatch,Android Wear,"‚¹1,199",2 MP,,,,,249 g,
2806,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with BQ Aquaris E4.5 Silver Smartwatch,Android,"‚¹2,349",,,,,,,
2807,,,,,,,,"IBS with SIM card, 32GB memory card slot, Bluetooth and Fitness Tracker SMART WATCH MOBILE BLACK Smartwatch",android,"‚¹1,299",1.9 MP,,,,,,
2808,,,,,,,,Padraig y1 silver Smartwatch,,"‚¹2,099",,,,,,,
2809,,,,,,,,CREATION4U C4U-DZ-115 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Silver Smartwatch,Android Wear,"‚¹1,099",2 MP,,,,,,
2810,,,,,,,,Wokit DZ09-31 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Brown Smartwatch,"Android, iOS, Windows","‚¹1,099",2 MP,,,,,,
2811,,,,,,,,CREATION4U C4U-DZ-430 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Gold Smartwatch,Android Wear,"‚¹1,099",2 MP,,,,,,
2812,,,,,,,,Wokit DZ09-65 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Black Smartwatch,"Android, iOS, Windows","‚¹1,099",2 MP,,,,,,
2813,,,,,,,,McLaurin DZ09 Brown Smartwatch Smartwatch,,‚¹975,,,,,,,
