Name,Price_INR,In The Box,Model Number,Model Name,Color,Browse Type,SIM Type,Hybrid Sim Slot,Touchscreen,OTG Compatible,Display Size,Resolution,Operating System,Processor Core,Primary Clock Speed,Internal Storage,RAM,Memory Card Slot Type,Primary Camera,Network Type,Supported Networks,Battery Capacity,Warranty Summary,GPRS,Removable Battery,Video Recording,Mini USB Version,Dial Color,Flash,EDGE Features,Audio Jack,Reading Type,Width,Battery Life,Important Apps,Predictive Text Input,Usage,Number of Cores,Sensor,Processor Speed,Sweat Proof,Indicator Type,Number of Buttons,Brand,Pre-installed Browser,Mini HDMI Port,Talk Time,Call Function,Scratch Resistant,Charging Method,Email Support,Speaker Volume,Number of Contact Points,Depth,Calorie Count,WAP Version,Call Divert,Shock Resistant,Operating Range,International Warranty,Display Type,Dual Camera Lens,Sales Package,Maximum Operating Altitude,Operating Frequency,GPU,Display,Standby Time,GPS,Diameter,Supported Memory Card Type,Frame Rate,Service Type,Voice Control,Java Application,Messaging Support,Primary Camera Available,Infrared,Music Player,Quick Charging,Supported Apps,One Touch Button,warranty_summary,Wi-Fi Hotspot,Activity Tracking Function,Call Records,Dial Shape,Thickness,Music Time,Supported Audio Format,Image Editor,Video Call Support,Compatible Device,Touch Enabled,Dual Battery,Bluetooth,3G,Optical Zoom,Display Resolution,Audio Formats,Bluetooth Support,Charger Type,Touch Control,Instant Message,Alarm Clock,Material,TV Out,Audio Features,Additional Content,Strap Color,Battery Type,Sensors,Internal Memory,Altimeter,Voice Input,Activity Tracker Present,Touchscreen Type,NFC,Step Count,Care Instructions,Display Colors,Social Networking Phone,Field of View,Other Features,Charging Time,Call Wait/Hold,User Memory,Chronograph,Full HD Recording,SIM Access,Logs,Keypad,Certification,Compatible Operating System,GPRS Features,Compatible Devices,Date & Time Display,Micro USB Port,User Interface,3G Speed,Conference Call,Expandable Storage,Connectivity Range,Calendar,Size,Backlight Display,JAVA Support,Microphone,Water Resistant,Rechargeable Battery,Notification,Graphics PPI,SMS,Phone Book Memory,Speed Dialing,Expandable Memory,Operating Temperature,Keypad Type,Noise Cancellation,Bluetooth Range,Supported Languages,USB Tethering,USB Connectivity,Wifi Enabled,Water Resistance Depth,Charge Time,Hot SWAP Support,Ringtones Format,Heart Rate Monitor,Compass,Supported Video Format,Other Display Features,HD Playback,Not Covered in Warranty,Closure,Other Connectivity Features,Language,Ideal For,Video Formats,Ergonomic Design,Audio Transparency,Compatible With,Browser,FM Radio Recording,Sound Enhancements,Brand Color,Technology Used,Primary Camera Features,WAP,Wireless Options,Mobile Tracker,Weight,MMS,Height,Map Support,HD Recording,Call Log Memory,Digital Zoom,Secondary Camera,Processor Type,Bluetooth Version,Wireless Charging,Water-Resistant Depth,Third Party App Support,not_covered_in_warranty,Mini USB Port,covered_in_warranty,Video Recording Resolution,Other Multimedia Features,Speaker Phone,Wifi Version,Speaker,Function,Battery Chargeable,Dial Material,Sensor Type,Suitable For,Call Timer,Type,Covered in Warranty,Strap Material,Other Fitness Features,Bluetooth Enabled,Talk time,FM Radio,Warranty Service Type,service_type,Wireless Data Processing,SIM Size,Audio Jack Supported,Stand By Time,Secondary Camera Available,Secondary Clock Speed,Other Dimensions,Notification Type,Secondary Camera Features,Processor Name,Wi-Fi Version,Heart Rate Monitor Present,Other Battery Features,Compatible OS,Hands Free,Smartphone,Games,Upgradable Operating System,Phone Book,Operating System Supported,SMS Memory,Wi-Fi,Resolution Type,Total Memory,Gesture Control,Type of Tracking,HD Game Support,DLNA Support,Series,GPS Support,Call Features,Internet Connectivity,EDGE,Business Phone,Other Watch Functions,Other Camera Features,Micro USB Version,Video Features,Domestic Warranty
OCEAN I DZ09-24 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Silver SmartwatchÂ Â (Black Strap Regular),‚¹999,,OCI- DZ09-24,DZ09-24 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles,,,,,Yes,,,,"Android, iOS, Windows",,,,,,2 MP,,,,,,,,,Silver,,,,,,2 Years,,,Watchphone,,,,,,1,,,,,Yes,,,Yes,,,,,,,,10 m,,TFT,,1 Smartwatch,,,,,,,,,,,Make Calls,,Yes,,,,,,,,,,,Square,,,,,,Blackberry Z10,,,Yes,,,240 X 240 pixel,,,USB Cable,,,Yes,,,,,Black,Li-ion Battery,,,Yes,,,,,,,,,,,,,,No,,,,,,Android 4.1 and above: ios 7.1 and above,,,Date & Time,,,,,,,Yes,Regular,Yes,,1 Microphone,No,Yes,"Ringing reminder when you receive a call, Ringing reminder once your mobile phone disconnected, Diaplay the number or name of incoming calls, Ring reminder when Android smart phone receive a message (including Wechat, Facebook, Whatsup, Twitter, Skype and so on)",,,,,32 GB,,,,,,,,,,,,,,No,,,,Any Physical Damage,Clip-on,,"English, French, Spanish, Arabic, Many more",Unisex,,,,,,,,,,,,,,,,,,,,,,,v 3.0 + EDR,,,Not Supported,,,,,,,,Yes,,,Stainless Steel,,,,,Manufacturer Defects Only,Silicone,,,3 hr,,,,,,,160 hr,,,,"Vibration,Ringing",,,,,,,,,,,,,,No,,,,,,,,,"Reject & Mute Calls, Pre-defined SMS, Take Call",,,,Facebook Whatsapp SIM card Answer or dial calls Phone book Call records SMS Pedometer Calorie monitor Clock Remote camera Camera Video Music player Recorder Radio Searhing internet Remote notifier Anti-lost Bluetooth Calendar Calculator Sleep monitoring Sedentary reminder Mileage Stopwatch Time Sync,"Accelerometer, Gyroscope",,,1 Month
OCEAN I DZ09-149 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Silver SmartwatchÂ Â (Black Strap Regular),‚¹999,,OCI- DZ09-149,DZ09-149 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles,,,,,Yes,,,,"Android, iOS, Windows",,,,,,2 MP,,,,,,,,,Silver,,,,,,2 Years,,,Watchphone,,,,,,1,,,,,Yes,,,Yes,,,,,,,,10 m,,TFT,,1 Smartwatch,,,,,,,,,,,Make Calls,,Yes,,,,,,,,,,,Square,,,,,,LG G Pro Lite,,,Yes,,,240 X 240 pixel,,,USB Cable,,,Yes,,,,,Black,Li-ion Battery,,,Yes,,,,,,,,,,,,,,No,,,,,,Android 4.1 and above: ios 7.1 and above,,,Date & Time,,,,,,,Yes,Regular,Yes,,1 Microphone,No,Yes,"Ringing reminder when you receive a call, Ringing reminder once your mobile phone disconnected, Diaplay the number or name of incoming calls, Ring reminder when Android smart phone receive a message (including Wechat, Facebook, Whatsup, Twitter, Skype and so on)",,,,,32 GB,,,,,,,,,,,,,,No,,,,Any Physical Damage,Clip-on,,"English, French, Spanish, Arabic, Many more",Unisex,,,,,,,,,,,,,,,,,,,,,,,v 3.0 + EDR,,,Not Supported,,,,,,,,Yes,,,Stainless Steel,,,,,Manufacturer Defects Only,Silicone,,,3 hr,,,,,,,160 hr,,,,"Vibration,Ringing",,,,,,,,,,,,,,No,,,,,,,,,"Reject & Mute Calls, Pre-defined SMS, Take Call",,,,Facebook Whatsapp SIM card Answer or dial calls Phone book Call records SMS Pedometer Calorie monitor Clock Remote camera Camera Video Music player Recorder Radio Searhing internet Remote notifier Anti-lost Bluetooth Calendar Calculator Sleep monitoring Sedentary reminder Mileage Stopwatch Time Sync,"Accelerometer, Gyroscope",,,1 Month
CREATION4U C4U-DZ-45 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Gold SmartwatchÂ Â (Gold Strap Regular),"‚¹1,099",,DZ09-45 Compatible With Gionee P1,C4U-DZ-45 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles,,,,,Yes,,1.56 inch,,Android Wear,,,,,,2 MP,,,,6 Months Warranty for Manufacturing Defects,,,,,Multicolor,,,,,,2 years,,,Watchphone,,"Accelerometer, Gyroscope",,,,1,,,,,Yes,,,No,,,,Yes,,,,5 m,,,,1 Smartwatch,,,,,,No,,,,,,,No,,,,,,,,,,,Square,,,,,,Gionee P1,,,Yes,,,240 X 240 pixel,,,USB Cable,,,Yes,,,,,Gold,Li-ion Battery,,,No,,,,,Yes,,,,,,,,,Yes,,,,,,Android 4.1 and above: ios 7.1 and above,,,Date & Time,,,,,,,Yes,Regular,Yes,,,Yes,Yes,"Ringer, Vibration",,,,,32 GB,,,,,,,,,,120 min,,,,No,,,,Any Kind Physical Damage,,,"English,French,German,Italiano Spanish,Portuguese,Hindi,Finnish Russian,Turkish,Arabic,Swedish Thai,Vietnamese,Chinese",Unisex,,,,,,,,,,,,,,,,,,,,,,,v3.0,,,Not Supported,,,,,,,,Yes,,,Stainless steel,,,,,Manufacturing Defects,Silicone,,,,,"On-site Service, Customer needs to call the nearby Authorized Service Center, service engineer will come to the site to get the product repaired or inspected.",,,,,,,,,"Ringer, Vibration",,,,,,,,,,,,,,No,,,"Change Music, Answer Calls",,,,,,"Reject & Mute Calls, Pre-defined SMS, Take Call",,,,Facebook Whatsapp SIM card Answer or dial calls Phone book Call records SMS Pedometer Calorie monitor Clock Remote camera Camera Video Music player Recorder Radio Searhing internet Remote notifier Anti-lost Bluetooth Calendar Calculator Sleep monitoring Sedentary reminder Mileage Stopwatch Time Sync,,,Yes,
OCEAN I DZ09-315 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Brown SmartwatchÂ Â (Brown Strap Regular),‚¹999,,OCI- DZ09-315,DZ09-315 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles,,,,,Yes,,,,"Android, iOS, Windows",,,,,,2 MP,,,,,,,,,Brown,,,,,,2 Years,,,Watchphone,,,,,,1,,,,,Yes,,,Yes,,,,,,,,10 m,,TFT,,1 Smartwatch,,,,,,,,,,,Make Calls,,Yes,,,,,,,,,,,Square,,,,,,Samsung Galaxy Grand Duos,,,Yes,,,240 X 240 pixel,,,USB Cable,,,Yes,,,,,Brown,Li-ion Battery,,,Yes,,,,,,,,,,,,,,No,,,,,,Android 4.1 and above: ios 7.1 and above,,,Date & Time,,,,,,,Yes,Regular,Yes,,1 Microphone,No,Yes,"Ringing reminder when you receive a call, Ringing reminder once your mobile phone disconnected, Diaplay the number or name of incoming calls, Ring reminder when Android smart phone receive a message (including Wechat, Facebook, Whatsup, Twitter, Skype and so on)",,,,,32 GB,,,,,,,,,,,,,,No,,,,Any Physical Damage,Clip-on,,"English, French, Spanish, Arabic, Many more",Unisex,,,,,,,,,,,,,,,,,,,,,,,v 3.0 + EDR,,,Not Supported,,,,,,,,Yes,,,Stainless Steel,,,,,Manufacturer Defects Only,Silicone,,,3 hr,,,,,,,160 hr,,,,"Vibration,Ringing",,,,,,,,,,,,,,No,,,,,,,,,"Reject & Mute Calls, Pre-defined SMS, Take Call",,,,Facebook Whatsapp SIM card Answer or dial calls Phone book Call records SMS Pedometer Calorie monitor Clock Remote camera Camera Video Music player Recorder Radio Searhing internet Remote notifier Anti-lost Bluetooth Calendar Calculator Sleep monitoring Sedentary reminder Mileage Stopwatch Time Sync,"Accelerometer, Gyroscope",,,1 Month
OCEAN I DZ09-73 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Silver SmartwatchÂ Â (Black Strap Regular),‚¹999,,OCI- DZ09-73,DZ09-73 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles,,,,,Yes,,,,"Android, iOS, Windows",,,,,,2 MP,,,,,,,,,Silver,,,,,,2 Years,,,Watchphone,,,,,,1,,,,,Yes,,,Yes,,,,,,,,10 m,,TFT,,1 Smartwatch,,,,,,,,,,,Make Calls,,Yes,,,,,,,,,,,Square,,,,,,HTC One Mini,,,Yes,,,240 X 240 pixel,,,USB Cable,,,Yes,,,,,Black,Li-ion Battery,,,Yes,,,,,,,,,,,,,,No,,,,,,Android 4.1 and above: ios 7.1 and above,,,Date & Time,,,,,,,Yes,Regular,Yes,,1 Microphone,No,Yes,"Ringing reminder when you receive a call, Ringing reminder once your mobile phone disconnected, Diaplay the number or name of incoming calls, Ring reminder when Android smart phone receive a message (including Wechat, Facebook, Whatsup, Twitter, Skype and so on)",,,,,32 GB,,,,,,,,,,,,,,No,,,,Any Physical Damage,Clip-on,,"English, French, Spanish, Arabic, Many more",Unisex,,,,,,,,,,,,,,,,,,,,,,,v 3.0 + EDR,,,Not Supported,,,,,,,,Yes,,,Stainless Steel,,,,,Manufacturer Defects Only,Silicone,,,3 hr,,,,,,,160 hr,,,,"Vibration,Ringing",,,,,,,,,,,,,,No,,,,,,,,,"Reject & Mute Calls, Pre-defined SMS, Take Call",,,,Facebook Whatsapp SIM card Answer or dial calls Phone book Call records SMS Pedometer Calorie monitor Clock Remote camera Camera Video Music player Recorder Radio Searhing internet Remote notifier Anti-lost Bluetooth Calendar Calculator Sleep monitoring Sedentary reminder Mileage Stopwatch Time Sync,"Accelerometer, Gyroscope",,,1 Month
OCEAN I DZ09-88 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Silver SmartwatchÂ Â (Black Strap Regular),‚¹999,,OCI- DZ09-88,DZ09-88 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles,,,,,Yes,,,,"Android, iOS, Windows",,,,,,2 MP,,,,,,,,,Silver,,,,,,2 Years,,,Watchphone,,,,,,1,,,,,Yes,,,Yes,,,,,,,,10 m,,TFT,,1 Smartwatch,,,,,,,,,,,Make Calls,,Yes,,,,,,,,,,,Square,,,,,,Infocus M535,,,Yes,,,240 X 240 pixel,,,USB Cable,,,Yes,,,,,Black,Li-ion Battery,,,Yes,,,,,,,,,,,,,,No,,,,,,Android 4.1 and above: ios 7.1 and above,,,Date & Time,,,,,,,Yes,Regular,Yes,,1 Microphone,No,Yes,"Ringing reminder when you receive a call, Ringing reminder once your mobile phone disconnected, Diaplay the number or name of incoming calls, Ring reminder when Android smart phone receive a message (including Wechat, Facebook, Whatsup, Twitter, Skype and so on)",,,,,32 GB,,,,,,,,,,,,,,No,,,,Any Physical Damage,Clip-on,,"English, French, Spanish, Arabic, Many more",Unisex,,,,,,,,,,,,,,,,,,,,,,,v 3.0 + EDR,,,Not Supported,,,,,,,,Yes,,,Stainless Steel,,,,,Manufacturer Defects Only,Silicone,,,3 hr,,,,,,,160 hr,,,,"Vibration,Ringing",,,,,,,,,,,,,,No,,,,,,,,,"Reject & Mute Calls, Pre-defined SMS, Take Call",,,,Facebook Whatsapp SIM card Answer or dial calls Phone book Call records SMS Pedometer Calorie monitor Clock Remote camera Camera Video Music player Recorder Radio Searhing internet Remote notifier Anti-lost Bluetooth Calendar Calculator Sleep monitoring Sedentary reminder Mileage Stopwatch Time Sync,"Accelerometer, Gyroscope",,,1 Month
OCEAN I DZ09-129 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Silver SmartwatchÂ Â (Black Strap Regular),‚¹999,,OCI- DZ09-129,DZ09-129 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles,,,,,Yes,,,,"Android, iOS, Windows",,,,,,2 MP,,,,,,,,,Silver,,,,,,2 Years,,,Watchphone,,,,,,1,,,,,Yes,,,Yes,,,,,,,,10 m,,TFT,,1 Smartwatch,,,,,,,,,,,Make Calls,,Yes,,,,,,,,,,,Square,,,,,,Karbonn Titanium S5 Plus,,,Yes,,,240 X 240 pixel,,,USB Cable,,,Yes,,,,,Black,Li-ion Battery,,,Yes,,,,,,,,,,,,,,No,,,,,,Android 4.1 and above: ios 7.1 and above,,,Date & Time,,,,,,,Yes,Regular,Yes,,1 Microphone,No,Yes,"Ringing reminder when you receive a call, Ringing reminder once your mobile phone disconnected, Diaplay the number or name of incoming calls, Ring reminder when Android smart phone receive a message (including Wechat, Facebook, Whatsup, Twitter, Skype and so on)",,,,,32 GB,,,,,,,,,,,,,,No,,,,Any Physical Damage,Clip-on,,"English, French, Spanish, Arabic, Many more",Unisex,,,,,,,,,,,,,,,,,,,,,,,v 3.0 + EDR,,,Not Supported,,,,,,,,Yes,,,Stainless Steel,,,,,Manufacturer Defects Only,Silicone,,,3 hr,,,,,,,160 hr,,,,"Vibration,Ringing",,,,,,,,,,,,,,No,,,,,,,,,"Reject & Mute Calls, Pre-defined SMS, Take Call",,,,Facebook Whatsapp SIM card Answer or dial calls Phone book Call records SMS Pedometer Calorie monitor Clock Remote camera Camera Video Music player Recorder Radio Searhing internet Remote notifier Anti-lost Bluetooth Calendar Calculator Sleep monitoring Sedentary reminder Mileage Stopwatch Time Sync,"Accelerometer, Gyroscope",,,1 Month
OCEAN I DZ09-53 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Brown SmartwatchÂ Â (Brown Strap Regular),‚¹999,,OCI- DZ09-53,DZ09-53 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles,,,,,Yes,,,,"Android, iOS, Windows",,,,,,2 MP,,,,,,,,,Brown,,,,,,2 Years,,,Watchphone,,,,,,1,,,,,Yes,,,Yes,,,,,,,,10 m,,TFT,,1 Smartwatch,,,,,,,,,,,Make Calls,,Yes,,,,,,,,,,,Square,,,,,,HTC Desire 326G,,,Yes,,,240 X 240 pixel,,,USB Cable,,,Yes,,,,,Brown,Li-ion Battery,,,Yes,,,,,,,,,,,,,,No,,,,,,Android 4.1 and above: ios 7.1 and above,,,Date & Time,,,,,,,Yes,Regular,Yes,,1 Microphone,No,Yes,"Ringing reminder when you receive a call, Ringing reminder once your mobile phone disconnected, Diaplay the number or name of incoming calls, Ring reminder when Android smart phone receive a message (including Wechat, Facebook, Whatsup, Twitter, Skype and so on)",,,,,32 GB,,,,,,,,,,,,,,No,,,,Any Physical Damage,Clip-on,,"English, French, Spanish, Arabic, Many more",Unisex,,,,,,,,,,,,,,,,,,,,,,,v 3.0 + EDR,,,Not Supported,,,,,,,,Yes,,,Stainless Steel,,,,,Manufacturer Defects Only,Silicone,,,3 hr,,,,,,,160 hr,,,,"Vibration,Ringing",,,,,,,,,,,,,,No,,,,,,,,,"Reject & Mute Calls, Pre-defined SMS, Take Call",,,,Facebook Whatsapp SIM card Answer or dial calls Phone book Call records SMS Pedometer Calorie monitor Clock Remote camera Camera Video Music player Recorder Radio Searhing internet Remote notifier Anti-lost Bluetooth Calendar Calculator Sleep monitoring Sedentary reminder Mileage Stopwatch Time Sync,"Accelerometer, Gyroscope",,,1 Month
OCEAN I DZ09-24 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Brown SmartwatchÂ Â (Brown Strap Regular),‚¹999,,OCI- DZ09-24,DZ09-24 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles,,,,,Yes,,,,"Android, iOS, Windows",,,,,,2 MP,,,,,,,,,Brown,,,,,,2 Years,,,Watchphone,,,,,,1,,,,,Yes,,,Yes,,,,,,,,10 m,,TFT,,1 Smartwatch,,,,,,,,,,,Make Calls,,Yes,,,,,,,,,,,Square,,,,,,Blackberry Z10,,,Yes,,,240 X 240 pixel,,,USB Cable,,,Yes,,,,,Brown,Li-ion Battery,,,Yes,,,,,,,,,,,,,,No,,,,,,Android 4.1 and above: ios 7.1 and above,,,Date & Time,,,,,,,Yes,Regular,Yes,,1 Microphone,No,Yes,"Ringing reminder when you receive a call, Ringing reminder once your mobile phone disconnected, Diaplay the number or name of incoming calls, Ring reminder when Android smart phone receive a message (including Wechat, Facebook, Whatsup, Twitter, Skype and so on)",,,,,32 GB,,,,,,,,,,,,,,No,,,,Any Physical Damage,Clip-on,,"English, French, Spanish, Arabic, Many more",Unisex,,,,,,,,,,,,,,,,,,,,,,,v 3.0 + EDR,,,Not Supported,,,,,,,,Yes,,,Stainless Steel,,,,,Manufacturer Defects Only,Silicone,,,3 hr,,,,,,,160 hr,,,,"Vibration,Ringing",,,,,,,,,,,,,,No,,,,,,,,,"Reject & Mute Calls, Pre-defined SMS, Take Call",,,,Facebook Whatsapp SIM card Answer or dial calls Phone book Call records SMS Pedometer Calorie monitor Clock Remote camera Camera Video Music player Recorder Radio Searhing internet Remote notifier Anti-lost Bluetooth Calendar Calculator Sleep monitoring Sedentary reminder Mileage Stopwatch Time Sync,"Accelerometer, Gyroscope",,,1 Month
CREATION4U C4U-DZ-289 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Silver SmartwatchÂ Â (Silver Strap Regular),"‚¹1,099",,DZ09-289 Compatible With Others,C4U-DZ-289 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles,,,,,Yes,,1.56 inch,,Android Wear,,,,,,2 MP,,,,6 Months Warranty for Manufacturing Defects,,,,,Multicolor,,,,,,2 years,,,Watchphone,,"Accelerometer, Gyroscope",,,,1,,,,,Yes,,,No,,,,Yes,,,,5 m,,,,1 Smartwatch,,,,,,No,,,,,,,No,,,,,,,,,,,Square,,,,,,Others,,,Yes,,,240 X 240 pixel,,,USB Cable,,,Yes,,,,,Silver,Li-ion Battery,,,No,,,,,Yes,,,,,,,,,Yes,,,,,,Android 4.1 and above: ios 7.1 and above,,,Date & Time,,,,,,,Yes,Regular,,,,Yes,Yes,"Ringer, Vibration",,,,,,,,,,,,,,,120 min,,,,No,,,,Any Kind Physical Damage,,,"English,French,German,Italiano Spanish,Portuguese,Hindi,Finnish Russian,Turkish,Arabic,Swedish Thai,Vietnamese,Chinese",Unisex,,,,,,,,,,,,,,,,,,,,,,,v3.0,,,Not Supported,,,,,,,,Yes,,,Stainless steel,,,,,Manufacturing Defects,Silicone,,,,,"On-site Service, Customer needs to call the nearby Authorized Service Center, service engineer will come to the site to get the product repaired or inspected.",,,,,,,,,"Ringer, Vibration",,,,,,,,,,,,,,No,,,"Change Music, Answer Calls",,,,,,"Reject & Mute Calls, Pre-defined SMS, Take Call",,,,Facebook Whatsapp SIM card Answer or dial calls Phone book Call records SMS Pedometer Calorie monitor Clock Remote camera Camera Video Music player Recorder Radio Searhing internet Remote notifier Anti-lost Bluetooth Calendar Calculator Sleep monitoring Sedentary reminder Mileage Stopwatch Time Sync,,,Yes,
Robobull GT08 Smart Watch With Sim and Camera SmartwatchÂ Â (Black Strap Regular),"‚¹1,199",,GT08 Smart Watch With Sim & Camera Gold,GT08 Smart Watch With Sim and Camera,,,,,Yes,,1.63 inch,,Android,,,,,,0.3 MP,,,,1 Month,,,,,,No,,,,,2 Years,,,Fitness & Outdoor,,"Sleep Moniter, Pedometer",,,,1,,,,,Yes,No,,No,Low dB,,,,,,,10 m,,TFT,,"Smart watch, manual, charging Cable",10 m,,,,,No,,,,,No,,Yes,,,,,,,,,,,Square,,,MP3,,,All Android Devices,,,Yes,,,240X240 pixel pixel,,,USB Cable,,,Yes,,,Noise Cancellation,,Black,Li-ion Battery,,64 Mb,Yes,,,,,,,,,,,,,,,,,,,,Android,,,Date & Time,,,,,,,Yes,Regular,Yes,,1 Microphone,No,Yes,"Calendar Reminder, Missed Call Notification",,,,,32 GB,,,,,,,,,,120 min,,,,Yes,,TFT Capacitive Touch Screen,,"Warranty does not cover any external accessories (such as battery, cable, carrying bag), damage caused to the product due to improper installation by customer, normal wear and tear to magnetic heads, audio, video, laser pick-ups and TV picture tubes, pane",,,Multi Language,Unisex,,,,,,,,,,,,,,,,,,No,,,,,v3.0,,,Not Supported,,,,,,,,1 Speaker,,,Stainless steel,,,,,Warranty of the product is limited to manufacturing defects only.,Rubber,,,1 hr,,"On-site Service, Customer needs to call the nearby Authorized Service Center, service engineer will come to the site to get the product repaired or inspected.",,,,,5 hr,,,,Vibration,,,,,,,,,,,,,,No,,,,,,,,,"Reject & Mute Calls, Pre-defined SMS, Take Call",,,,Pedometer,,,No,
CREATION4U C4U-DZ-428 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Gold SmartwatchÂ Â (Gold Strap Regular),"‚¹1,099",,DZ09-428 Compatible With Xolo Q800 X,C4U-DZ-428 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles,,,,,Yes,,1.56 inch,,Android Wear,,,,,,2 MP,,,,6 Months Warranty for Manufacturing Defects,,,,,Multicolor,,,,,,2 years,,,Watchphone,,"Accelerometer, Gyroscope",,,,1,,,,,Yes,,,No,,,,Yes,,,,5 m,,,,1 Smartwatch,,,,,,No,,,,,,,No,,,,,,,,,,,Square,,,,,,Xolo Q800 X,,,Yes,,,240 X 240 pixel,,,USB Cable,,,Yes,,,,,Gold,Li-ion Battery,,,No,,,,,Yes,,,,,,,,,Yes,,,,,,Android 4.1 and above: ios 7.1 and above,,,Date & Time,,,,,,,Yes,Regular,,,,Yes,Yes,"Ringer, Vibration",,,,,,,,,,,,,,,120 min,,,,No,,,,Any Kind Physical Damage,,,"English,French,German,Italiano Spanish,Portuguese,Hindi,Finnish Russian,Turkish,Arabic,Swedish Thai,Vietnamese,Chinese",Unisex,,,,,,,,,,,,,,,,,,,,,,,v3.0,,,Not Supported,,,,,,,,Yes,,,Stainless steel,,,,,Manufacturing Defects,Silicone,,,,,"On-site Service, Customer needs to call the nearby Authorized Service Center, service engineer will come to the site to get the product repaired or inspected.",,,,,,,,,"Ringer, Vibration",,,,,,,,,,,,,,No,,,"Change Music, Answer Calls",,,,,,"Reject & Mute Calls, Pre-defined SMS, Take Call",,,,Facebook Whatsapp SIM card Answer or dial calls Phone book Call records SMS Pedometer Calorie monitor Clock Remote camera Camera Video Music player Recorder Radio Searhing internet Remote notifier Anti-lost Bluetooth Calendar Calculator Sleep monitoring Sedentary reminder Mileage Stopwatch Time Sync,,,Yes,
OCEAN I DZ09-27 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Brown SmartwatchÂ Â (Brown Strap Regular),‚¹999,,OCI- DZ09-27,DZ09-27 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles,,,,,Yes,,,,"Android, iOS, Windows",,,,,,2 MP,,,,,,,,,Brown,,,,,,2 Years,,,Watchphone,,,,,,1,,,,,Yes,,,Yes,,,,,,,,10 m,,TFT,,1 Smartwatch,,,,,,,,,,,Make Calls,,Yes,,,,,,,,,,,Square,,,,,,BQ Aquaris E5,,,Yes,,,240 X 240 pixel,,,USB Cable,,,Yes,,,,,Brown,Li-ion Battery,,,Yes,,,,,,,,,,,,,,No,,,,,,Android 4.1 and above: ios 7.1 and above,,,Date & Time,,,,,,,Yes,Regular,Yes,,1 Microphone,No,Yes,"Ringing reminder when you receive a call, Ringing reminder once your mobile phone disconnected, Diaplay the number or name of incoming calls, Ring reminder when Android smart phone receive a message (including Wechat, Facebook, Whatsup, Twitter, Skype and so on)",,,,,32 GB,,,,,,,,,,,,,,No,,,,Any Physical Damage,Clip-on,,"English, French, Spanish, Arabic, Many more",Unisex,,,,,,,,,,,,,,,,,,,,,,,v 3.0 + EDR,,,Not Supported,,,,,,,,Yes,,,Stainless Steel,,,,,Manufacturer Defects Only,Silicone,,,3 hr,,,,,,,160 hr,,,,"Vibration,Ringing",,,,,,,,,,,,,,No,,,,,,,,,"Reject & Mute Calls, Pre-defined SMS, Take Call",,,,Facebook Whatsapp SIM card Answer or dial calls Phone book Call records SMS Pedometer Calorie monitor Clock Remote camera Camera Video Music player Recorder Radio Searhing internet Remote notifier Anti-lost Bluetooth Calendar Calculator Sleep monitoring Sedentary reminder Mileage Stopwatch Time Sync,"Accelerometer, Gyroscope",,,1 Month
