All-Words,end,filename,n-gram,start,classtype
new,434,./markedupfiles/003.txt,1,434,False
experts,436,./markedupfiles/003.txt,1,436,False
panel,437,./markedupfiles/003.txt,1,437,False
TUC.,441,./markedupfiles/003.txt,1,441,False
hundreds,449,./markedupfiles/003.txt,1,449,False
companies,451,./markedupfiles/003.txt,1,451,False
equal,453,./markedupfiles/003.txt,1,453,False
wage,454,./markedupfiles/003.txt,1,454,False
policies.,455,./markedupfiles/003.txt,1,455,False
Research,456,./markedupfiles/003.txt,1,456,False
conducted,457,./markedupfiles/003.txt,1,457,False
EOC,460,./markedupfiles/003.txt,1,460,False
year,462,./markedupfiles/003.txt,1,462,False
revealed,463,./markedupfiles/003.txt,1,463,False
many,465,./markedupfiles/003.txt,1,465,False
Britons,466,./markedupfiles/003.txt,1,466,False
gap,470,./markedupfiles/003.txt,1,470,False
men,472,./markedupfiles/003.txt,1,472,False
women,474,./markedupfiles/003.txt,1,474,False
result,477,./markedupfiles/003.txt,1,477,False
"""natural",479,./markedupfiles/003.txt,1,479,False
"differences""",480,./markedupfiles/003.txt,1,480,False
sexes.,483,./markedupfiles/003.txt,1,483,False
Women,484,./markedupfiles/003.txt,1,484,False
less,486,./markedupfiles/003.txt,1,486,False
top,491,./markedupfiles/003.txt,1,491,False
positions,492,./markedupfiles/003.txt,1,492,False
FTSE,494,./markedupfiles/003.txt,1,494,False
companies,496,./markedupfiles/003.txt,1,496,False
police,498,./markedupfiles/003.txt,1,498,False
judiciary,500,./markedupfiles/003.txt,1,500,False
unions,503,./markedupfiles/003.txt,1,503,False
according,504,./markedupfiles/003.txt,1,504,False
figures.,507,./markedupfiles/003.txt,1,507,False
And,508,./markedupfiles/003.txt,1,508,False
women,510,./markedupfiles/003.txt,1,510,False
half,514,./markedupfiles/003.txt,1,514,False
income,516,./markedupfiles/003.txt,1,516,False
male,519,./markedupfiles/003.txt,1,519,False
counterparts,520,./markedupfiles/003.txt,1,520,False
average.,522,./markedupfiles/003.txt,1,522,False
Watchdog,0,./markedupfiles/002.txt,1,0,False
probes,1,./markedupfiles/002.txt,1,1,False
e-mail,2,./markedupfiles/002.txt,1,2,False
deletions,3,./markedupfiles/002.txt,1,3,False
The,4,./markedupfiles/002.txt,1,4,False
information,5,./markedupfiles/002.txt,1,5,False
commissioner,6,./markedupfiles/002.txt,1,6,False
urgently,10,./markedupfiles/002.txt,1,10,False
asking,11,./markedupfiles/002.txt,1,11,False
details,13,./markedupfiles/002.txt,1,13,False
Cabinet,15,./markedupfiles/002.txt,1,15,False
Office,16,./markedupfiles/002.txt,1,16,False
telling,18,./markedupfiles/002.txt,1,18,False
staff,19,./markedupfiles/002.txt,1,19,False
delete,21,./markedupfiles/002.txt,1,21,False
e-mails,22,./markedupfiles/002.txt,1,22,False
three,25,./markedupfiles/002.txt,1,25,False
months,26,./markedupfiles/002.txt,1,26,False
old.,27,./markedupfiles/002.txt,1,27,False
Richard,28,./markedupfiles/002.txt,1,28,False
Thomas,29,./markedupfiles/002.txt,1,29,False
"""totally",30,./markedupfiles/002.txt,1,30,False
"condemned""",31,./markedupfiles/002.txt,1,31,False
deletion,33,./markedupfiles/002.txt,1,33,False
e-mails,35,./markedupfiles/002.txt,1,35,False
disclosure,39,./markedupfiles/002.txt,1,39,False
freedom,41,./markedupfiles/002.txt,1,41,False
information,43,./markedupfiles/002.txt,1,43,False
laws,44,./markedupfiles/002.txt,1,44,False
coming,45,./markedupfiles/002.txt,1,45,False
January.,50,./markedupfiles/002.txt,1,50,False
Government,51,./markedupfiles/002.txt,1,51,False
guidance,52,./markedupfiles/002.txt,1,52,False
e-mails,54,./markedupfiles/002.txt,1,54,False
deleted,58,./markedupfiles/002.txt,1,58,False
"""no",62,./markedupfiles/002.txt,1,62,False
current,63,./markedupfiles/002.txt,1,63,False
"purpose""",64,./markedupfiles/002.txt,1,64,False
Thomas,66,./markedupfiles/002.txt,1,66,False
said.,67,./markedupfiles/002.txt,1,67,False
The,68,./markedupfiles/002.txt,1,68,False
Tories,69,./markedupfiles/002.txt,1,69,False
Lib,72,./markedupfiles/002.txt,1,72,False
Dems,73,./markedupfiles/002.txt,1,73,False
questioned,75,./markedupfiles/002.txt,1,75,False
timing,77,./markedupfiles/002.txt,1,77,False
new,80,./markedupfiles/002.txt,1,80,False
rules.,81,./markedupfiles/002.txt,1,81,False
Tory,82,./markedupfiles/002.txt,1,82,False
leader,83,./markedupfiles/002.txt,1,83,False
Michael,84,./markedupfiles/002.txt,1,84,False
Howard,85,./markedupfiles/002.txt,1,85,False
Tony,89,./markedupfiles/002.txt,1,89,False
Blair,90,./markedupfiles/002.txt,1,90,False
demanding,91,./markedupfiles/002.txt,1,91,False
explanation,93,./markedupfiles/002.txt,1,93,False
new,96,./markedupfiles/002.txt,1,96,False
rules,97,./markedupfiles/002.txt,1,97,False
e-mail,99,./markedupfiles/002.txt,1,99,False
retention.,100,./markedupfiles/002.txt,1,100,False
Monday,102,./markedupfiles/002.txt,1,102,False
Lib,103,./markedupfiles/002.txt,1,103,False
Dem,104,./markedupfiles/002.txt,1,104,False
constitutional,105,./markedupfiles/002.txt,1,105,False
affairs,106,./markedupfiles/002.txt,1,106,False
committee,107,./markedupfiles/002.txt,1,107,False
chairman,108,./markedupfiles/002.txt,1,108,False
Alan,109,./markedupfiles/002.txt,1,109,False
Beith,110,./markedupfiles/002.txt,1,110,False
deletion,114,./markedupfiles/002.txt,1,114,False
millions,116,./markedupfiles/002.txt,1,116,False
government,118,./markedupfiles/002.txt,1,118,False
e-mails,119,./markedupfiles/002.txt,1,119,False
ability,123,./markedupfiles/002.txt,1,123,False
key,125,./markedupfiles/002.txt,1,125,False
probes,126,./markedupfiles/002.txt,1,126,False
Hutton,129,./markedupfiles/002.txt,1,129,False
Inquiry.,130,./markedupfiles/002.txt,1,130,False
The,131,./markedupfiles/002.txt,1,131,False
timing,132,./markedupfiles/002.txt,1,132,False
new,135,./markedupfiles/002.txt,1,135,False
rules,136,./markedupfiles/002.txt,1,136,False
Freedom,140,./markedupfiles/002.txt,1,140,False
Information,142,./markedupfiles/002.txt,1,142,False
Act,143,./markedupfiles/002.txt,1,143,False
forces,146,./markedupfiles/002.txt,1,146,False
"""too",148,./markedupfiles/002.txt,1,148,False
unlikely,149,./markedupfiles/002.txt,1,149,False
"coincidence""",154,./markedupfiles/002.txt,1,154,False
Beith,156,./markedupfiles/002.txt,1,156,False
said.,157,./markedupfiles/002.txt,1,157,False
But,158,./markedupfiles/002.txt,1,158,False
Cabinet,160,./markedupfiles/002.txt,1,160,False
Office,161,./markedupfiles/002.txt,1,161,False
spokeswoman,162,./markedupfiles/002.txt,1,162,False
new,170,./markedupfiles/002.txt,1,170,False
laws,171,./markedupfiles/002.txt,1,171,False
"""the",173,./markedupfiles/002.txt,1,173,False
destruction,174,./markedupfiles/002.txt,1,174,False
important,176,./markedupfiles/002.txt,1,176,False
"records"".",177,./markedupfiles/002.txt,1,177,False
Beith,179,./markedupfiles/002.txt,1,179,False
urged,180,./markedupfiles/002.txt,1,180,False
information,182,./markedupfiles/002.txt,1,182,False
commissioner,183,./markedupfiles/002.txt,1,183,False
"""e-mail",189,./markedupfiles/002.txt,1,189,False
"regime""",190,./markedupfiles/002.txt,1,190,False
"""support",192,./markedupfiles/002.txt,1,192,False
freedom,194,./markedupfiles/002.txt,1,194,False
information,196,./markedupfiles/002.txt,1,196,False
"regime"".",197,./markedupfiles/002.txt,1,197,False
Thomas,199,./markedupfiles/002.txt,1,199,False
"""The",201,./markedupfiles/002.txt,1,201,False
new,202,./markedupfiles/002.txt,1,202,False
Act,203,./markedupfiles/002.txt,1,203,False
Parliament,205,./markedupfiles/002.txt,1,205,False
records,213,./markedupfiles/002.txt,1,213,False
disclosure,219,./markedupfiles/002.txt,1,219,False
criminal,222,./markedupfiles/002.txt,1,222,False
"offence.""",223,./markedupfiles/002.txt,1,223,False
already,228,./markedupfiles/002.txt,1,228,False
guidance,230,./markedupfiles/002.txt,1,230,False
retention,233,./markedupfiles/002.txt,1,233,False
e-mails,235,./markedupfiles/002.txt,1,235,False
code,239,./markedupfiles/002.txt,1,239,False
lord,244,./markedupfiles/002.txt,1,244,False
chancellor.,245,./markedupfiles/002.txt,1,245,False
All,246,./markedupfiles/002.txt,1,246,False
e-mails,247,./markedupfiles/002.txt,1,247,False
subject,249,./markedupfiles/002.txt,1,249,False
freedom,252,./markedupfiles/002.txt,1,252,False
information,254,./markedupfiles/002.txt,1,254,False
laws,255,./markedupfiles/002.txt,1,255,False
important,258,./markedupfiles/002.txt,1,258,False
thing,259,./markedupfiles/002.txt,1,259,False
content,262,./markedupfiles/002.txt,1,262,False
e-mail,265,./markedupfiles/002.txt,1,265,False
Thomas,268,./markedupfiles/002.txt,1,268,False
"""If",270,./markedupfiles/002.txt,1,270,False
retain,273,./markedupfiles/002.txt,1,273,False
long-standing,278,./markedupfiles/002.txt,1,278,False
principle,279,./markedupfiles/002.txt,1,279,False
civil,282,./markedupfiles/002.txt,1,282,False
public,285,./markedupfiles/002.txt,1,285,False
authorities.,286,./markedupfiles/002.txt,1,286,False
It's,287,./markedupfiles/002.txt,1,287,False
you've,290,./markedupfiles/002.txt,1,290,False
particular,297,./markedupfiles/002.txt,1,297,False
legitimate,303,./markedupfiles/002.txt,1,303,False
it.,306,./markedupfiles/002.txt,1,306,False
"""But",307,./markedupfiles/002.txt,1,307,False
deliberate,309,./markedupfiles/002.txt,1,309,False
destruction,310,./markedupfiles/002.txt,1,310,False
possibility,314,./markedupfiles/002.txt,1,314,False
later,316,./markedupfiles/002.txt,1,316,False
disclosure,317,./markedupfiles/002.txt,1,317,False
totally,321,./markedupfiles/002.txt,1,321,False
"condemned.""",322,./markedupfiles/002.txt,1,322,False
The,323,./markedupfiles/002.txt,1,323,False
Freedom,324,./markedupfiles/002.txt,1,324,False
Information,326,./markedupfiles/002.txt,1,326,False
Act,327,./markedupfiles/002.txt,1,327,False
England,330,./markedupfiles/002.txt,1,330,False
Wales,331,./markedupfiles/002.txt,1,331,False
Northern,333,./markedupfiles/002.txt,1,333,False
Ireland,334,./markedupfiles/002.txt,1,334,False
next,336,./markedupfiles/002.txt,1,336,False
year.,337,./markedupfiles/002.txt,1,337,False
Similar,338,./markedupfiles/002.txt,1,338,False
Scotland.,349,./markedupfiles/002.txt,1,349,False
public,353,./markedupfiles/002.txt,1,353,False
right,356,./markedupfiles/002.txt,1,356,False
access,358,./markedupfiles/002.txt,1,358,False
information,360,./markedupfiles/002.txt,1,360,False
public,365,./markedupfiles/002.txt,1,365,False
bodies,366,./markedupfiles/002.txt,1,366,False
subject,367,./markedupfiles/002.txt,1,367,False
various,369,./markedupfiles/002.txt,1,369,False
exemptions.,370,./markedupfiles/002.txt,1,370,False
Its,371,./markedupfiles/002.txt,1,371,False
implementation,372,./markedupfiles/002.txt,1,372,False
monitored,375,./markedupfiles/002.txt,1,375,False
information,378,./markedupfiles/002.txt,1,378,False
commissioner.,379,./markedupfiles/002.txt,1,379,False
Labour,0,./markedupfiles/001.txt,1,0,False
maternity,2,./markedupfiles/001.txt,1,2,False
Maternity,5,./markedupfiles/001.txt,1,5,False
new,8,./markedupfiles/001.txt,1,8,False
mothers,9,./markedupfiles/001.txt,1,9,False
new,18,./markedupfiles/001.txt,1,18,False
proposals,19,./markedupfiles/001.txt,1,19,False
Trade,23,./markedupfiles/001.txt,1,23,False
Industry,25,./markedupfiles/001.txt,1,25,False
Secretary,26,./markedupfiles/001.txt,1,26,False
Patricia,27,./markedupfiles/001.txt,1,27,False
Hewitt.,28,./markedupfiles/001.txt,1,28,False
nine,38,./markedupfiles/001.txt,1,38,False
months,39,./markedupfiles/001.txt,1,39,False
Hewitt,43,./markedupfiles/001.txt,1,43,False
GMTV's,45,./markedupfiles/001.txt,1,45,False
Sunday,46,./markedupfiles/001.txt,1,46,False
programme.,47,./markedupfiles/001.txt,1,47,False
Other,48,./markedupfiles/001.txt,1,48,False
letting,51,./markedupfiles/001.txt,1,51,False
maternity,52,./markedupfiles/001.txt,1,52,False
fathers,57,./markedupfiles/001.txt,1,57,False
extending,59,./markedupfiles/001.txt,1,59,False
rights,60,./markedupfiles/001.txt,1,60,False
parents,62,./markedupfiles/001.txt,1,62,False
older,64,./markedupfiles/001.txt,1,64,False
children.,65,./markedupfiles/001.txt,1,65,False
The,66,./markedupfiles/001.txt,1,66,False
Tories,67,./markedupfiles/001.txt,1,67,False
dismissed,68,./markedupfiles/001.txt,1,68,False
maternity,70,./markedupfiles/001.txt,1,70,False
"""desperate""",74,./markedupfiles/001.txt,1,74,False
Liberal,77,./markedupfiles/001.txt,1,77,False
Democrats,78,./markedupfiles/001.txt,1,78,False
misdirected.,82,./markedupfiles/001.txt,1,82,False
Hewitt,84,./markedupfiles/001.txt,1,84,False
"""We",86,./markedupfiles/001.txt,1,86,False
already,88,./markedupfiles/001.txt,1,88,False
length,91,./markedupfiles/001.txt,1,91,False
maternity,93,./markedupfiles/001.txt,1,93,False
weeks,98,./markedupfiles/001.txt,1,98,False
elected,102,./markedupfiles/001.txt,1,102,False
already,105,./markedupfiles/001.txt,1,105,False
weeks.,111,./markedupfiles/001.txt,1,111,False
"""We",112,./markedupfiles/001.txt,1,112,False
going,114,./markedupfiles/001.txt,1,114,False
nine,120,./markedupfiles/001.txt,1,120,False
months,121,./markedupfiles/001.txt,1,121,False
aim,126,./markedupfiles/001.txt,1,126,False
right,131,./markedupfiles/001.txt,1,131,False
full,135,./markedupfiles/001.txt,1,135,False
months,137,./markedupfiles/001.txt,1,137,False
next,143,./markedupfiles/001.txt,1,143,False
"Parliament.""",144,./markedupfiles/001.txt,1,144,False
She,145,./markedupfiles/001.txt,1,145,False
new,147,./markedupfiles/001.txt,1,147,False
mothers,148,./markedupfiles/001.txt,1,148,False
already,150,./markedupfiles/001.txt,1,150,False
entitled,151,./markedupfiles/001.txt,1,151,False
months,154,./markedupfiles/001.txt,1,154,False
many,158,./markedupfiles/001.txt,1,158,False
women,159,./markedupfiles/001.txt,1,159,False
six,166,./markedupfiles/001.txt,1,166,False
months,169,./markedupfiles/001.txt,1,169,False
paid.,171,./markedupfiles/001.txt,1,171,False
"""We",172,./markedupfiles/001.txt,1,172,False
firm,176,./markedupfiles/001.txt,1,176,False
commitment.,177,./markedupfiles/001.txt,1,177,False
definitely,180,./markedupfiles/001.txt,1,180,False
maternity,183,./markedupfiles/001.txt,1,183,False
six,187,./markedupfiles/001.txt,1,187,False
months,188,./markedupfiles/001.txt,1,188,False
nine,194,./markedupfiles/001.txt,1,194,False
months,195,./markedupfiles/001.txt,1,195,False
that's,196,./markedupfiles/001.txt,1,196,False
extra,198,./markedupfiles/001.txt,1,198,False
She,200,./markedupfiles/001.txt,1,200,False
ministers,202,./markedupfiles/001.txt,1,202,False
proposals,207,./markedupfiles/001.txt,1,207,False
fathers,211,./markedupfiles/001.txt,1,211,False
partner's,219,./markedupfiles/001.txt,1,219,False
maternity,220,./markedupfiles/001.txt,1,220,False
period,224,./markedupfiles/001.txt,1,224,False
extending,226,./markedupfiles/001.txt,1,226,False
rights,228,./markedupfiles/001.txt,1,228,False
flexible,230,./markedupfiles/001.txt,1,230,False
working,231,./markedupfiles/001.txt,1,231,False
carers,233,./markedupfiles/001.txt,1,233,False
parents,235,./markedupfiles/001.txt,1,235,False
older,237,./markedupfiles/001.txt,1,237,False
children.,238,./markedupfiles/001.txt,1,238,False
The,239,./markedupfiles/001.txt,1,239,False
Shadow,240,./markedupfiles/001.txt,1,240,False
Secretary,241,./markedupfiles/001.txt,1,241,False
State,243,./markedupfiles/001.txt,1,243,False
Family,246,./markedupfiles/001.txt,1,246,False
Theresa,247,./markedupfiles/001.txt,1,247,False
May,248,./markedupfiles/001.txt,1,248,False
"""These",250,./markedupfiles/001.txt,1,250,False
Gordon,255,./markedupfiles/001.txt,1,255,False
Brown,256,./markedupfiles/001.txt,1,256,False
pre-budget,259,./markedupfiles/001.txt,1,259,False
December,262,./markedupfiles/001.txt,1,262,False
Tony,264,./markedupfiles/001.txt,1,264,False
Blair,265,./markedupfiles/001.txt,1,265,False
recycling,268,./markedupfiles/001.txt,1,268,False
desperate,272,./markedupfiles/001.txt,1,272,False
women,277,./markedupfiles/001.txt,1,277,False
"voters.""",278,./markedupfiles/001.txt,1,278,False
She,279,./markedupfiles/001.txt,1,279,False
Conservatives,282,./markedupfiles/001.txt,1,282,False
proposals,286,./markedupfiles/001.txt,1,286,False
closer,287,./markedupfiles/001.txt,1,287,False
General,290,./markedupfiles/001.txt,1,290,False
Election.,291,./markedupfiles/001.txt,1,291,False
Liberal,292,./markedupfiles/001.txt,1,292,False
Democrat,293,./markedupfiles/001.txt,1,293,False
spokeswoman,294,./markedupfiles/001.txt,1,294,False
women,296,./markedupfiles/001.txt,1,296,False
Sandra,297,./markedupfiles/001.txt,1,297,False
Gidley,298,./markedupfiles/001.txt,1,298,False
"""While",300,./markedupfiles/001.txt,1,300,False
mothers,301,./markedupfiles/001.txt,1,301,False
extra,305,./markedupfiles/001.txt,1,305,False
maternity,306,./markedupfiles/001.txt,1,306,False
Liberal,309,./markedupfiles/001.txt,1,309,False
Democrats,310,./markedupfiles/001.txt,1,310,False
money,313,./markedupfiles/001.txt,1,313,False
"misdirected.""",316,./markedupfiles/001.txt,1,316,False
She,317,./markedupfiles/001.txt,1,317,False
party,320,./markedupfiles/001.txt,1,320,False
boost,322,./markedupfiles/001.txt,1,322,False
maternity,323,./markedupfiles/001.txt,1,323,False
first,327,./markedupfiles/001.txt,1,327,False
six,328,./markedupfiles/001.txt,1,328,False
months,329,./markedupfiles/001.txt,1,329,False
women,333,./markedupfiles/001.txt,1,333,False
